,name_used,summary
Fucus Vesiculosus,Fucus Vesiculosus,"Fucus vesiculosus, known by the common names bladder wrack,  black tang, rockweed, bladder fucus, sea oak, black tany, cut weed, dyers fucus, red fucus, and rock wrack is a seaweed found on the coasts of the North Sea, the western Baltic Sea, and the Atlantic and Pacific Oceans.
Media related to Fucus vesiculosus at Wikimedia Commons
Photos of Fucus vesiculosus on Sealife CollectionThe species is especially common on sheltered shores from the middle littoral to lower intertidal levels.
Phlorotannins in Fucus vesiculosus act as chemical defenses against the marine herbivorous snail, Littorina littorea., while galactolipids act as herbivore deterrents against the sea urchin Arbacia punctulata.
Asexual reproduction in Baltic Sea populations is accomplished by the production of adventitious branches that come loose and reattach to the bottom by the formation of rhizoids.
vesiculosus also in other areas, but asexual formation of new thalli has never been reported outside the Baltic Sea.Edible seaweed"
Gelatin,Gelatin,"Depending upon the process of hydrolysis, peptides will have broad molecular weight ranges associated with physical and chemical methods of denaturation.The amino acid content of hydrolyzed collagen is the same as collagen.
The refining and recovering treatments including filtration, clarification, evaporation, sterilization, drying, rutting, grinding, and sifting to remove the water from the gelatin solution, to blend the gelatin extracted, and to obtain dried, blended, ground final product.Ingestion of hydrolyzed collagen may affect the skin by increasing the density of collagen fibrils and fibroblasts, thereby stimulating collagen production.
Another study found that collagen treatment may actually cause an exacerbation of rheumatoid arthritis symptoms.If the raw material used in the production of the gelatin is derived from bones, dilute acid solutions are used to remove calcium and other salts."
Glucosamine Hydrochloride,Glucosamine Hydrochloride,"Produced commercially by the hydrolysis of shellfish exoskeletons or, less commonly, by fermentation of a grain such as corn or wheat, glucosamine has many names depending on country.Although a common dietary supplement, there is little evidence that it is effective for relief of arthritis or pain, and is not an approved prescription drug.Two studies measured the concentrations of glucosamine in the synovial fluid and plasma after oral administration of glucosamine sulfate to both healthy volunteers and people with osteoarthritis.In the first study, glucosamine sulfate was given to healthy volunteers in doses of 750, 1500, or 3000 mg once daily.
Since glucosamine is classified as a dietary supplement in the United States, evidence of safety is required by FDA regulations, but evidence of efficacy is not required so long as it is not advertised as a treatment for a medical condition.In 2004, the FDA declared there was insufficient evidence for supplement manufacturers to state that glucosamine was effective for treating arthritis, joint degeneration, or cartilage deterioration, a position remaining in effect as of 2018.In most of Europe, glucosamine is approved as a medical drug and is sold in the form of glucosamine sulfate."
Glucosamine Sulfate,Glucosamine Sulfate,"Produced commercially by the hydrolysis of shellfish exoskeletons or, less commonly, by fermentation of a grain such as corn or wheat, glucosamine has many names depending on country.Although a common dietary supplement, there is little evidence that it is effective for relief of arthritis or pain, and is not an approved prescription drug.Two studies measured the concentrations of glucosamine in the synovial fluid and plasma after oral administration of glucosamine sulfate to both healthy volunteers and people with osteoarthritis.In the first study, glucosamine sulfate was given to healthy volunteers in doses of 750, 1500, or 3000 mg once daily.
Since glucosamine is classified as a dietary supplement in the United States, evidence of safety is required by FDA regulations, but evidence of efficacy is not required so long as it is not advertised as a treatment for a medical condition.In 2004, the FDA declared there was insufficient evidence for supplement manufacturers to state that glucosamine was effective for treating arthritis, joint degeneration, or cartilage deterioration, a position remaining in effect as of 2018.In most of Europe, glucosamine is approved as a medical drug and is sold in the form of glucosamine sulfate."
Goji,Goji,"The plant parts are called by the Latin names  lycii fructus (fruit), herba lycii (leaves), etc., in modern official pharmacopeias.Since about 2000, goji berry and derived products became common in developed countries as health foods or alternative medicine remedies, extending from exaggerated and unproven claims about their health benefits.Young wolfberry shoots and leaves are harvested commercially as a leaf vegetable.Since the early 21st century, the dried fruit has been marketed in the Western world as a health food, with unsupported health claims about its benefits.
There have been also commercial products of whole and ground wolfberry seeds, and seed oil.Lycium barbarum had been introduced in the United Kingdom in the 1730s by The Duke of Argyll, but the plant was mostly used for hedges and decorative gardening.The UK Food Standards Agency (FSA) had initially placed goji berry in the Novel Foods list."
Grape,Grape,"In North America, the most common grape juice is purple and made from Concord grapes, while white grape juice is commonly made from Niagara grapes, both of which are varieties of native American grapes, a different species from European wine grapes.
In California, Sultana (known there as Thompson Seedless) grapes are sometimes diverted from the raisin or table market to produce white juice.Resveratrol, a stilbene compound, is found in widely varying amounts among grape varieties, primarily in their skins and seeds.
Vitis labrusca, the North American table and grape juice grapevines (including the Concord cultivar), sometimes used for wine, are native to the Eastern United States and Canada.
In the 19th century, Ephraim Bull of Concord, Massachusetts, cultivated seeds from wild Vitis labrusca vines to create the Concord grape which would become an important agricultural crop in the United States.In most of Europe and North America, dried grapes are referred to as ""raisins"" or the local equivalent."
Grapefruit,Grapefruit,"Grapefruit is a citrus hybrid originating in Barbados as an accidental cross between two introduced species – sweet orange (C.
In the first, the effect is from bergamottin, a natural furanocoumarin in both grapefruit flesh and peel that inhibits the CYP3A4 enzyme, (among others from the P450 enzyme family responsible for metabolizing 90% of drugs).
Hyuganatsu may also be a pummelo hybridThe varieties of Texas and Florida grapefruit include: Oro Blanco, Ruby Red, Pink, Rio Star, Thompson, White Marsh, Flame, Star Ruby, Duncan, and Pummelo HB.The name ""grapefruit"" seems to originate with the way that, unlike normal citrus, the fruits of this tree grow in ""clusters"", vaguely reminiscent of bunches of grapes.The genetic origin of the grapefruit is a hybrid mix.
One ancestor of the grapefruit was the Jamaican sweet orange (Citrus sinensis), itself an ancient hybrid of Asian origin; the other was the Indonesian pomelo (C."
Green Coffee,Green Coffee,"Nonvolatile nitrogenous compounds (including alkaloids, trigonelline, proteins, and free amino acids) and carbohydrates are of major importance in producing the full aroma of roasted coffee and for its biological action.
The free hydrophobic amino acids in fresh green coffee beans contribute to the unpleasant taste, making it impossible to prepare a desirable beverage with such compounds.
The content of diketopiperazines in espresso is about 20 to 30 mg, which is responsible for its bitterness.Caffeine (1,3,7-trimethyl-xanthine) is the alkaloid most present in green and roasted coffee beans.
The content of chlorogenic acids in dried green coffee beans of robusta is 65 mg/g and of arabica 140 mg/g, depending on the timing of harvesting.
Chlorogenic acids increase the solubility of caffeine and are important modulators of taste.Volatile compounds of green coffee beans include short-chain fatty acids, aldehydes, and nitrogen-containing aromatic molecules, such as derivatives of pyrazines (green-herbeaceous-earthy odor)."
Guarana,Guarana,"The main natural phenols found in guarana are (+)-catechin and (-)-epicatechin.The word guarana comes from the Guaraní word guara-ná, which has its origins in the Sateré-Maué word for the plant, warana, that in Tupi-Guarani means ""fruit like the eyes of the people.""
The god then plucked the right eye from the child and planted it in the village, giving rise to domesticated guarana.The Guaranís make a herbal tea by shelling, washing and drying the seeds, followed by pounding them into a fine powder.
The word guaraná is widely used in Brazil and Paraguay as a reference to soft drinks containing guarana extract.In the United States, guarana fruit powder and seed extract have not been determined for status as ""generally recognized as safe"" (GRAS) by the Food and Drug Administration, but rather are approved as food additives for flavor (but not non-flavor) uses.Guarana is used in sweetened or carbonated soft drinks and energy drinks, an ingredient of herbal teas or contained in dietary supplement capsules."
Gymnema,Gymnema,"Common names include gymnema, Australian cowplant, and Periploca of the woods, and the Hindi term gurmar, which means ""sugar destroyer"".The leaves and extracts contain gymnemic acids, the major bioactive constituents that interact with taste receptors on the tongue to temporarily suppress the taste of sweetness.Reduction of sugar intake: G.
Research also suggests that Gymnema sylvestre extracts reduce cravings for sugar.
Diabetes:  Early research suggests when a specific gymnema extract (GS4) is taken orally along with insulin or diabetes medications, blood sugar reduction in people with type 1 or type 2 diabetes is enhanced.
Early research suggests that taking a specific combination of Gymnema sylvestre extract, hydroxycitric acid, and niacin-bound chromium by mouth for 8 weeks might reduce body weight in people who are overweight or obese.
The major biologically active plant molecules are gymnemic acids, a class of triterpenoid saponins, which have the effect of suppressing the taste of sweetness on the tongue from sucrose (sugar), stevia, xylitol, and artificial sweeteners such as aspartame.The sweet-blocking effect of G."
Hibiscus,Hibiscus,"40–90 AD).Several species are widely cultivated as ornamental plants, notably Hibiscus syriacus and Hibiscus rosa-sinensis.A tea made from hibiscus flowers is known by many names around the world and is served both hot and cold.
The beverage is known for its red colour, tart flavour, and vitamin C content.The hibiscus is a national symbol of Haiti, and the national flower of nations including the Solomon Islands and Niue.
In Jamaica, Trinidad and many other islands in the Caribbean, the drink is known as sorrel (Hibiscus sabdariffa; not to be confused with Rumex acetosa, a species sharing the common name sorrel).
.Many species are grown for their showy flowers or used as landscape shrubs, and are used to attract butterflies, bees, and hummingbirds.Hibiscus is a very hardy, versatile plant and in tropical conditions it can enhance the beauty of any garden."
Honey,Honey,"Honey tends to absorb more water in this manner than the individual sugars allow on their own, which may be due to other ingredients it contains.Fermentation of honey usually occurs after crystallization, because without the glucose, the liquid portion of the honey primarily consists of a concentrated mixture of fructose, acids, and water, providing the yeast with enough of an increase in the water percentage for growth.
Evidence does not support the use of honey-based products for the treatment of venous stasis ulcers or ingrown toenail.Individual honeys from different plant sources contain over 100 volatile organic compounds (VOCs), which play a primary role in determining honey flavors and aromas.
The specific composition, color, aroma, and flavor of any batch of honey depend on the flowers foraged by bees that produced the honey.One 1980 study found that mixed floral honey from several United States regions typically contains:"
Hops,Hops,"Hops that have been released from the Charles Faram Wellhopped program include Jester®, Olicana®, Minstrel®, Archer®, Godiva™, Harlequin™ and Mystic™.Particular hop varieties are associated with beer regions and styles, for example pale lagers are usually brewed with European (often German, Polish or Czech) noble hop varieties such as Saaz, Hallertau and Strissel Spalt.
In reality, this means they have a relatively consistent bittering potential as they age, due to beta-acid oxidation, and a flavor that improves as they age during periods of poor storage.In addition to water, cellulose, and various proteins, the chemical composition of hops consists of compounds important for imparting character to beer.The first documented hop cultivation was in 736, in the Hallertau region of present-day Germany, although the first mention of the use of hops in brewing in that country was 1079."
Horny Goat Weed,Horny Goat Weed,"The initial assumption that the plants would only thrive where their native conditions could be closely replicated have proven to be overly cautious, as most varieties are proving extraordinarily amenable to general garden and container cultivation.Epimedium wushanense contains a number of flavanoids.
Various new nursery selections are gradually appearing in the horticulture trade, the best of which are extending the colour and shape range of the flowers available to the gardener.Species of Epimedium are herbaceous perennials, growing from an underground rhizome.
Given suitable conditions most epimediums will form beautiful groundcover plants, often with magnificent new leaves tinted in bronze, copper and reds combining with a huge variety of flower colours and forms in spring.
With all varieties, however, the foliage is best cut off at ground level shortly before new leaves emerge, so as to fully reveal their beauty of form and colour."
Horsetail,Horsetail,"The pattern of spacing of nodes in horsetails, wherein those toward the apex of the shoot are increasingly close together, inspired John Napier to invent logarithms.A superficially similar but entirely unrelated flowering plant genus, mare's tail (Hippuris), is occasionally referred to as ""horsetail"", and adding to confusion, the name mare's tail is sometimes applied to Equisetum.Despite centuries of use in traditional medicine, there is no evidence that Equisetum has any medicinal properties.Equisetum arvense L.
The North American subspecies Equisetum hyemale affine (Engelm.) A.A.Eat. may be treated as a separate species Equisetum prealtum Raf. Equisetum laevigatum A.Braun – smooth horsetail, smooth scouring rush; western 3/4 of North America down into northwestern Mexico; also sometimes known as Equisetum kansanum
ex Weber & Mohr – variegated horsetail, variegated scouring rush; northern (cool temperate) zones worldwide, except for northeasternmost AsiaThe living members of the genus Equisetum are divided into three distinct lineages, which are usually treated as subgenera.
They are most common in northern North America (Canada and the northernmost United States), where the genus is represented by nine species (arvense, fluviatile, palustre, pratense, sylvaticum, hyemale, laevigatum, scirpoides, and variegatum)."
Iodine,Iodine,"Hence hydroiodic acid cannot be concentrated past this point by evaporation of water.Unlike hydrogen fluoride, anhydrous liquid hydrogen iodide is difficult to work with as a solvent, because its boiling point is low, it has a small liquid range, its dielectric constant is low and it does not dissociate appreciably into H2I+ and HI−2 ions – the latter, in any case, are much less stable than the bifluoride ions (HF−2) due to the very weak hydrogen bonding between hydrogen and iodine, though its salts with very large and weakly polarising cations such as Cs+ and NR+4 (R = Me, Et, Bun) may still be isolated."
L-Arginine,L-Arginine,"Schulze and Winterstein synthesized arginine from ornithine and cyanamide in 1899, but some doubts about arginine's structure lingered until Sørensen's synthesis of 1910.L-arginine is generally recognized as safe (GRAS-status) at intakes of up to 20 grams per day.The amino acid side-chain of arginine consists of a 3-carbon aliphatic straight chain, the distal end of which is capped by a guanidinium group, which has a pKa of 12.48, and is therefore always protonated and positively charged at physiological pH.
Arginine is also a precursor for urea, ornithine, and agmatine; is necessary for the synthesis of creatine; and can also be used for the synthesis of polyamines (mainly through ornithine and to a lesser degree through agmatine, citrulline, and glutamate.) The presence of asymmetric dimethylarginine (ADMA), a close relative, inhibits the nitric oxide reaction; therefore, ADMA is considered a marker for vascular disease, just as L-arginine is considered a sign of a healthy endothelium.Arginine is a conditionally essential amino acid in humans and rodents, as it may be required depending on the health status or lifecycle of the individual."
L-Tryptophan,L-Tryptophan,"Auxins (a class of phytohormones) are synthesized from tryptophan.The disorder fructose malabsorption causes improper absorption of tryptophan in the intestine, reduced levels of tryptophan in the blood, and depression.In bacteria that synthesize tryptophan, high cellular levels of this amino acid activate a repressor protein, which binds to the trp operon.
High blood plasma levels of other large neutral amino acids prevent the plasma concentration of tryptophan from increasing brain concentration levels.In 2001 a Cochrane review of the effect of 5-HTP and tryptophan on depression was published.
Contrary to the popular belief that cooked turkey contains an abundance of tryptophan (with this being used as an explanation for sleepiness following consumption of the meat), the tryptophan content in turkey is typical of poultry.As an essential amino acid, tryptophan is not synthesized from simpler substances in humans and other animals, so it needs to be present in the diet in the form of tryptophan-containing proteins."
Lactobacillus,Lactobacillus,"Lactobacillus is the most common probiotic found in food such as yogurt, and it is diverse in its application to maintain human well-being, as it can help treat diarrhea, vaginal infections, and skin disorders such as eczema.Some Lactobacillus species are used as starter cultures in industry for controlled fermentation in the production of wine, yogurt, cheese, sauerkraut, pickles, beer, cider, kimchi, cocoa, kefir, and other fermented foods, as well as animal feeds and the bokashi soil amendment.
Another example is Lactobacillus salivarius, which interacts with many pathogens through the production of salivaricin B, a bacteriocin.Many lactobacilli operate using homofermentative metabolism (they produce only lactic acid from sugars), and some species use heterofermentative metabolism (they can produce either alcohol or lactic acid from sugars).
Lactobacillus produce bacteriocins to suppress pathogenic growth of certain bacteria, as well as lactic acid and H2O2 (hydrogen peroxide)."
Lipase,Lipase,"Lipases perform essential roles in digestion, transport and processing of dietary lipids (e.g. triglycerides, fats, oils) in most, if not all, living organisms.
For example, human pancreatic lipase (HPL), which is the main enzyme that breaks down dietary fats in the human digestive system, converts triglyceride substrates found in ingested oils to monoglycerides and two fatty acids.
albicans in human tissue.A diverse array of genetically distinct lipase enzymes are found in nature, and they represent several types of protein folds and catalytic mechanisms.
However, most are built on an alpha/beta hydrolase fold and employ a chymotrypsin-like hydrolysis mechanism using a catalytic triad consisting of a serine nucleophile, a histidine base, and an acid residue, usually aspartic acid.Lipase at the US National Library of Medicine Medical Subject Headings (MeSH)Lipases are involved in diverse biological processes which range from routine metabolism of dietary triglycerides to cell signaling and inflammation.
Other lipase enzymes, such as pancreatic lipases, are secreted into extracellular spaces where they serve to process dietary lipids into more simple forms that can be more easily absorbed and transported throughout the body."
Lutein,Lutein,"The authors speculated that there may be a cataract prevention benefit for people with low dietary intake of lutein and zeaxanthin, but recommended more research.In humans, the Observed Safe Level (OSL) for lutein, based on a non-government organization evaluation, is 20 mg/day.
Skin health via orally consumed supplements is one of the fastest growing areas of the US$2 billion carotenoid market.This xanthophyll, like its sister compound zeaxanthin, has primarily been used in food and supplement manufacturing as a colorant due to its yellow-red color.
Many songbirds (like golden oriole, evening grosbeak, yellow warbler, common yellowthroat and Javan green magpie, but not American goldfinch or yellow canaries) deposit lutein obtained from the diet into growing tissues to color their feathers.In 2013, findings of the Age-Related Eye Disease Study showed that a dietary supplement formulation containing lutein reduced progression of age-related macular degeneration (AMD) by 25 percent."
Lycopene,Lycopene,"Foods that are not red may also contain lycopene, such as asparagus and parsley.In plants, algae, and other photosynthetic organisms, lycopene is an intermediate in the biosynthesis of many carotenoids, including beta-carotene, which is responsible for yellow, orange, or red pigmentation, photosynthesis, and photoprotection.
The two terminal isoprene groups of lycopene can be cyclized to produce beta-carotene, which can then be transformed into a wide variety of xanthophylls.In a review of literature on lycopene and its potential role as a dietary antioxidant, the European Food Safety Authority concluded that   evidence was insufficient for lycopene having antioxidant effects in humans, particularly in skin, heart function, or vision protection from ultraviolet light.Although lycopene from tomatoes has been tested in humans for cardiovascular diseases and prostate cancer, no effect on any disease was found.
Lycopene dietary supplements (in oil) may be more efficiently absorbed than lycopene from food.Lycopene is not an essential nutrient for humans, but is commonly found in the diet mainly from dishes prepared from tomatoes."
Maca,Maca,"Lepidium meyenii, known as maca or Peruvian ginseng, is an edible herbaceous biennial plant of the family Brassicaceae that is native to South America in the high Andes mountains of Peru.
Hypocotyls grown from Peruvian seeds form with difficulty at low elevations, in greenhouses, or in warm climates.Due to its purported effects on fertility, maca grew in agricultural, commercial and research interest over the decades of the 1990s to 2014.
Some sources consider the maca to be an annual plant, as in favorable years it can complete a lifecycle within a year.Maca is the only member of the genus Lepidium with a fleshy hypocotyl, which is fused with the taproot to form a rough inverted pear-shaped body.
Traditionally, native growers have acknowledged four varieties of maca, based on their root color: cream-yellow, half purple, purple, and black; varying levels of anthocyanin is primarily responsible for the color differences."
Manganese,Manganese,"Manganese exporter, membrane transport proteinExcessive exposure or intake may lead to a condition known as manganism, a neurodegenerative disorder that causes dopaminergic neuronal death and symptoms similar to Parkinson's disease.National Pollutant Inventory – Manganese and compounds Fact Sheet
The proposed mechanism for manganese toxicity is that dysregulation leads to oxidative stress, mitochondrial dysfunction, glutamate-mediated excitoxicity, and aggregation of proteins.Manganese is essential to iron and steel production by virtue of its sulfur-fixing, deoxidizing, and alloying properties, as first recognized by the British metallurgist Robert Forester Mushet (1811–1891) who, in 1856, introduced the element, in the form of Spiegeleisen, into steel for the specific purpose of removing excess dissolved oxygen, sulfur, and phosphorus in order to improve its malleability.
Several colorful oxides of manganese, for example manganese dioxide, are abundant in nature and have been used as pigments since the Stone Age. The cave paintings in Gargas that are 30,000 to 24,000 years old contain manganese pigments.Manganese compounds were used by Egyptian and Roman glassmakers, either to add to, or remove color from glass."
Mangosteen,Mangosteen,"In Vietnam, the ripe fruit is also used as a salad ingredient.The extract of mangosteen peels are traditionally used in Indonesia as the source of natural dye for textile colouring; to acquire brown, dark brown, purple to red hues, especially applied in traditional tenun ikat and batik textiles.Major mangosteen production occurs in Southeast Asia, mainly in Thailand as the country with the most acreage planted, estimated at 4,000 ha in 1965 and 11,000 ha in 2000, giving a total yield of 46,000 tons.
If the exocarp is soft and yielding as it is when ripe and fresh from the tree, the fruit is usually good.The edible endocarp of the mangosteen has the same shape and size as a tangerine 4–6 centimetres (1.6–2.4 in) in diameter, but is white."
Maritime Pine,Maritime Pine,"It is a hard, fast growing pine containing small seeds with large wings.Pinus pinaster is particularly successful in regions with fynbos vegetation because it is adapted to high-intensity fires, thus allowing it to outcompete other species that are not as well adapted to high-intensity fires.
pinaster seedlings (r=–0.41, p<0.05).Several other characteristics contribute to their success in the regions they have invaded, including their ability to grow rapidly and to produce small seeds with large wings.
The small seeds with large wings are beneficial for wind dispersal, which is the key to reaching new areas in regions with fynbos vegetation.
It is a relatively non-variable species, with constant morphology over the entire range.Pinus pinaster is a popular topic in ecology because of its problematic growth and spread in South Africa for the past 150 years after being imported into the region at the end of the 17th century (1685–1693).
The pine tree species invades large areas and more specifically fynbos vegetation."
Methylsulfonylmethane,Methylsulfonylmethane,"An NMR study has also found detectable levels of MSM normally present in the blood and cerebrospinal fluid, suggesting that it derives from dietary sources, intestinal bacterial metabolism, and the body's endogenous methanethiol metabolism.Published clinical trials of MSM did not report any serious side effects, but there are no peer-reviewed data on the effects of its long-term use in humans.Small-scale studies of possible treatments with MSM have been conducted on both animals and humans.
MSM is considered 'Possibly Safe' at therapeutic doses, although further research is still needed to assess its safety for long-term use.A review of two small randomized controlled trials of methylsulfonylmethane in osteoarthritis (OA) knee pain relief ""reported significant improvement in pain outcomes in the treatment group compared to comparator treatments; however, methodological issues and concerns over optimal dosage and treatment period were highlighted."" The two trials included 168 people, of whom 52 received MSM, either 1.5 g/day or 6.0 g/day."
Niacin,Niacin,"With long-term use, the adverse effects of high-dose niacin therapy also include hepatic dysfunction (associated with fatigue, nausea, and loss of appetite), hepatitis, and acute liver failure; these hepatotoxic effects of niacin occur more often when extended-release dosage forms are used.
The extended release formulations generally reduce vasodilation and flushing side effects, but increase the risk of hepatotoxicity compared to the immediate release forms.A formulation of laropiprant (Merck & Co., Inc.) and niacin had previously been approved for use in Europe and marketed as Tredaptive.
The resulting name niacin was derived from nicotinic acid + vitamin.The high doses of niacin used to improve the lipid profile have been shown to elevate blood sugar by 5-10%, thereby worsening existing diabetes mellitus.One review found that niacin therapy was associated with an increase in the risk of new-onset diabetes over 3.6 years from 4.9% to 5.5%.Niacin is available as a prescription product, and in the United States as a dietary supplement."
Niacinamide,Niacinamide,"While nicotinic acid (niacin) may be used for this purpose, nicotinamide has the benefit of not causing skin flushing.
NAD+ and NADP+ are coenzymes in a wide variety of enzymatic oxidation-reduction reactions, most notably glycolysis, the citric acid cycle, and the electron transport chain.
If humans ingest nicotinamide, it will likely undergo a series of reactions that transform it into NAD, which can then undergo a transformation to form NADP+.
In NAD+, the nitrogen in the aromatic nicotinamide ring is covalently bonded to adenine dinucleotide.
This higher energy product later releases its energy with the release of a hydride, and in the case of the electron transport chain, it assists in forming adenosine triphosphate.When one mole of NADH is oxidized, 158.2 kJ of energy will be released.Nicotinamide is the preferred treatment for pellagra, caused by niacin deficiency.
While niacin may be used, nicotinamide has the benefit of not causing skin flushing.Nicotinamide has minimal side effects."
Oats,Oak,"The Kaiser's Oak, located at the village of Gommecourt in Artois, France, named in honour of Kaiser Wilhelm II, symbolically marked from late 1914 to April 1917 the furthest point in the West of the German Imperial Army during World War One. The Wye Oak in Maryland was the United States' largest white oak tree before it blew down in a storm in 2002, at an estimated age of 460 years.
The Fagaceae, or beech family, to which the oaks belong, is a very slow evolving clade compared to other angiosperms, and the patterns of hybridization and introgression in Quercus pose a great challenge to the concept of a species since a species is often defined as a group of ""actually or potentially interbreeding populations which are reproductively isolated from other such groups."" By this definition, many species of Quercus would be lumped together according to their geographic and ecological habitat, despite clear distinctions in morphology and, to a large extent, genetic data.The oak is a common symbol of strength and endurance and has been chosen as the national tree of many countries."
Olive,Olive,"The olive, known by the botanical name Olea europaea, meaning ""European olive"", is a species of small tree in the family Oleaceae, found in the Mediterranean Basin from Portugal to the Levant, the Arabian Peninsula, and southern Asia as far east as China, as well as the Canary Islands and Réunion.
Traditional cures, using the natural microflora on the fruit to induce fermentation, lead to two important outcomes: the leaching out and breakdown of oleuropein and other unpalatable phenolic compounds, and the generation of favourable metabolites from bacteria and yeast, such as organic acids, probiotics, glycerol, and esters, which affect the sensory properties of the final table olives.
As very little acid is produced by the yeast fermentation, lactic, acetic, or citric acid is often added to the fermentation stage to stabilize the process.Picholine or directly-brined type (olives with fermentation): Applied to green, semiripe, or ripe olives, they are soaked in lye typically for longer periods than Spanish style (e.g. 10–72 hours) until the solution has penetrated three-quarters of the way into the fruit."
Omega-6 Fatty Acids,Omega-6 Fatty Acids,"Members of the family can have pro-inflammatory or anti-inflammatory effects.The biological effects of the omega-6 fatty acids are largely produced during and after physical activity for the purpose of promoting growth and during the inflammatory cascade to halt cell damage and promote cell repair by their conversion to omega-6 eicosanoids that bind to diverse receptors found in every tissue of the body.Industry-sponsored studies have suggested that omega-6 fatty acids should be consumed in a 1:1 ratio to omega-3, though it has been observed that the diet of many individuals today is at a ratio of about 16:1, mainly from vegetable oils.
A ratio of 2.5-to-1 reduced rectal cell proliferation in patients with colorectal cancer, whereas a ratio of 4-to-1 had no effect.Excess omega-6 fatty acids from vegetable oils interfere with the health benefits of omega-3 fats, in part because they compete for the same rate-limiting enzymes."
Oregano,Oregano,"A closely related plant is marjoram from Turkey, which differs significantly in taste though, because phenolic compounds are missing from its essential oil.
hirtum strains/landraces, small, hardy, dark, compact, thick, silvery-haired leaves, usually with purple undersides, excellent reputation for flavor and pungency, as well as medicinal uses, strong, archetypal oregano flavor (Greek kaliteri: the best)
They have a reputation for sweet and spicy tones, with little bitterness, and are prized for their flavor and compatibility with various recipes and sauces.Oregano is a culinary herb, used for the flavor of its leaves, which can be more flavorful when dried than fresh.
The dried and ground leaves are most often used in Greece to add flavor to Greek salad, and is usually added to the lemon-olive oil sauce that accompanies fish or meat grills and casseroles.Accepted subspecies:"
Oscillococcinum,Oscillococcinum,"Homeopaths claim that the molecules leave an ""imprint"" in the dilution that causes a healing effect on the body, although there is no evidence that supports this mechanism or efficacy beyond placebo.Oscillococcinum was originally proposed by the French physician  Joseph Roy, based on his misidentification of an oscillating bacterium he named oscillococcus in victims of the Spanish flu epidemic of 1917-1918.
Another petition complains that Boiron’s web ad for this product implies that it has received FDA approval."" Ronald Lindsay, CFI and CSI president and chief executive officer, contends, ""If Boiron is going to sell snake oil, the least they can do is use English on their labels.”A class action lawsuit was filed against Boiron on behalf of ""all California residents who purchased Oscillo at any time within the past four years."" The lawsuit charges that Boiron ""falsely advertises that Oscillo has the ability to cure the flu because it contains an active ingredient it claims is proven to get rid of flu symptoms in 48 hours."" The lawsuit also states that the listed active ingredient in Oscillococcinum (Oscillo) ""is actually Muscovy Duck Liver and Heart ..."
Palm Oil,Palm Oil,"Additionally, in 1992, in response to concerns about deforestation, the Government of Malaysia pledged to limit the expansion of palm oil plantations by retaining a minimum of half the nation's land as forest cover.Many processed foods either contain palm oil or various ingredients made from it.The highly saturated nature of palm oil renders it solid at room temperature in temperate regions, making it a cheap substitute for butter or hydrogenated vegetable oils in uses where solid fat is desirable, such as the making of pastry dough and baked goods.
These milk substitutes contain 30% milk powder and the remainder of raw protein made from skimmed milk powder, whey powder, and vegetable fats, mostly coconut oil and palm oil.Thailand is the world's third largest producer of crude palm oil, producing approximately two million tonnes per year, or 1.2% of global output."
Pantothenic Acid,Pantothenic Acid,"These AIs are similar to the U.S. AIs. The EFSA also reviewed the safety question and reached the same conclusion as in United States - that there was not sufficient evidence to set a UL for pantothenic acid.For U.S. food and dietary supplement labeling purposes the amount in a serving is expressed as a percent of Daily Value (%DV).
As intake increases 10-fold, however, absorption rate decreases to 10%.Although pantothenic acid supplementation is under preliminary research for a variety of human diseases, there is insufficient evidence to date that it has any effect.Content of pantothenic acid varies among manufactured and natural foods, especially fortified ready-to-eat cereals,  infant formulas, energy bars and dried foods.
Deficiency symptoms in other nonruminant animals include disorders of the nervous, gastrointestinal, and immune systems, reduced growth rate, decreased food intake, skin lesions and changes in hair coat, and alterations in lipid and carbohydrate metabolism.No dietary requirement for pantothenic acid has been established as synthesis of pantothenic acid by ruminal microorganisms appears to be 20 to 30 times more than dietary amounts."
Papaya,Papaya,"The roots can also be severely and rapidly infected, causing the plant to brown and wilt away, collapsing within days.Raw papaya pulp contains 88% water, 11% carbohydrates, and negligible fat and protein (table).
The infected papaya will turn yellow and drop to the ground after infestation by the papaya fruit fly.The two-spotted spider mite is a 0.5-mm-long brown or orange-red or a green, greenish yellow translucent oval pest.
If the spider mites are not controlled, they can cause the death of the fruit.The papaya whitefly lays yellow, oval eggs that appear dusted on the undersides of the leaves.
The unripe green fruit can be eaten cooked, and is used as an ingredient in salads and stews.The black seeds of the papaya are edible and have a sharp, spicy taste."
Pau D'Arco,"Pau d'Arco, Pará",Pau d'Arco is a municipality in the state of Pará in the Northern region of Brazil.List of municipalities in Pará
