,InteractionIdId,name_used,summary,url,toc
coffee and tea,306,The Coffee Bean & Tea Leaf,"The Coffee Bean & Tea Leaf (sometimes shortened to simply ""Coffee Bean"" or ""The Coffee Bean"") is an American coffee chain founded in 1963. It is owned and operated by International Coffee & Tea, LLC, which has its corporate headquarters in Los Angeles, California. As of 2017, the chain has over 1,000 self-owned and franchised stores in the United States and 31 other countries.On 24 July 2019, Jollibee Foods Corporation announced its $350 million acquisition, alongside a $100 million investment within the company.",https://en.wikipedia.org/wiki/The_Coffee_Bean_%26_Tea_Leaf,"[('History',), ('Products', 'Coffee'), ('Products', 'Teas'), ('Products', 'CBTL single-serve system'), ('Products', 'Kosher and halal'), ('Locations',), ('Partnerships',), ('In popular culture',), ('See also',), ('References',), ('External links',)]"
colchicine,210,Colchicine,"Colchicine is a medication used to treat gout and Behçet's disease.
In gout, it is less preferred to NSAIDs or steroids.
Other uses include the prevention of pericarditis and familial Mediterranean fever.
It is taken by mouth.Common side effects include gastrointestinal upset, particularly at high doses.
Severe side effects may include low blood cells and rhabdomyolysis.
Excessive doses may result in death.
Colchicine works by decreasing inflammation via multiple mechanisms.Colchicine, in the form of the autumn crocus, has been used as early as 1500 BC to treat joint swelling.
It was approved for medical use in the United States in 1961.
It is available as a generic medication in the United Kingdom where a month's supply costs the NHS about £7.27, as of 2019.
In the United States, the wholesale cost of this amount is about US$252.20.
In 2016, it was the 251st most prescribed medication in the United States with more than a million prescriptions.",https://en.wikipedia.org/wiki/Colchicine,"[('Medical uses', 'Gout'), ('Medical uses', 'Other conditions'), ('Contraindications',), ('Adverse effects',), ('Toxicity', 'Mechanism of toxicity'), ('Drug interactions',), ('Mechanism of action',), ('History', 'United States Unapproved Drugs Initiative'), ('History', 'Marketing exclusivity in the United States'), ('History', 'Orphan drug'), ('Society and culture', 'Regulation'), ('Society and culture', 'Formulations and dosing'), ('Society and culture', 'Biosynthesis'), ('Society and culture', 'Botanical use'), ('References',), ('External links',)]"
copper,284,Copper,"Copper is used as a conductor of heat and electricity, as a building material, and as a constituent of various metal alloys, such as sterling silver used in jewelry, cupronickel used to make marine hardware and coins, and constantan used in strain gauges and thermocouples for temperature measurement.
3500 BC.In the Roman era, copper was principally mined on Cyprus, the origin of the name of the metal, from aes сyprium (metal of Cyprus), later corrupted to сuprum (Latin), whence coper (Old English) and copper, first used around 1530.Commonly encountered compounds are copper(II) salts, which often impart blue or green colors to such minerals as azurite, malachite, and turquoise, and have been used widely and historically as pigments.
Copper used in buildings, usually for roofing, oxidizes to form a green verdigris (or patina).
Copper is sometimes used in decorative art, both in its elemental metal form and in compounds as pigments.",https://en.wikipedia.org/wiki/Copper,"[('Characteristics', 'Physical'), ('Characteristics', 'Chemical'), ('Characteristics', 'Isotopes'), ('Characteristics', 'Occurrence'), ('Production', 'Reserves'), ('Production', 'Methods'), ('Production', 'Recycling'), ('Alloys',), ('Compounds', 'Binary compounds'), ('Compounds', 'Coordination chemistry'), ('Compounds', 'Organocopper chemistry'), ('Compounds', 'Copper(III) and copper(IV)'), ('History', 'Prehistoric', 'Copper Age'), ('History', 'Prehistoric', 'Bronze Age'), ('History', 'Ancient and post-classical'), ('History', 'Modern'), ('Applications', 'Wire and cable'), ('Applications', 'Electronics and related devices'), ('Applications', 'Electric motors'), ('Applications', 'Architecture'), ('Applications', 'Antibiofouling'), ('Applications', 'Antimicrobial'), ('Applications', 'Speculative investing'), ('Applications', 'Folk medicine', 'Compression clothing'), ('Degradation',), ('Biological role', 'Biochemistry'), ('Biological role', 'Nutrition', 'Absorption'), ('Biological role', 'Nutrition', 'Dietary recommendations'), ('Biological role', 'Deficiency'), ('Biological role', 'Toxicity'), ('Biological role', 'Human exposure'), ('See also',), ('References',), ('Notes',), ('Further reading',), ('External links',)]"
cordyceps,89,Cordyceps,"Cordyceps  is a genus of ascomycete fungi (sac fungi) that includes about 400 species. Most Cordyceps species are endoparasitoids, parasitic mainly on insects and other arthropods (they are thus entomopathogenic fungi); a few are parasitic on other fungi.  The generic name Cordyceps is derived from the Greek word κορδύλη kordýlē, meaning ""club"", and the Latin word caput, meaning ""head"".The genus has a worldwide distribution and most of the approximately 400 species that have been described are from Asia (notably Nepal, China, Japan, Bhutan, Korea, Vietnam, and Thailand). Cordyceps species are particularly abundant and diverse in humid temperate and tropical forests.",https://en.wikipedia.org/wiki/Cordyceps,"[('Subtaxa',), ('Biology',), ('Research',), ('Traditional Chinese medicine',), ('Gallery',), ('References',), ('Further reading',), ('External links',)]"
creatine,90,Creatine,"Creatine ( or ) is an organic compound with the nominal formula (H2N)(HN)CN(CH3)CH2CO2H.  This species exists in various modifications (tautomers) in solution.  Creatine is found in vertebrates where it facilitates recycling of adenosine triphosphate (ATP), the energy currency of the cell, primarily in muscle and brain tissue. Recycling is achieved by converting adenosine diphosphate (ADP) back to ATP via donation of phosphate groups. Creatine also acts as a buffer.",https://en.wikipedia.org/wiki/Creatine,"[('History',), ('Biosynthesis', 'Phosphocreatine system'), ('Genetic deficiencies',), ('Supplement health effects', 'Use', 'Nutritional supplement'), ('Supplement health effects', 'Therapeutic use'), ('Supplement health effects', 'Medical use'), ('Supplement health effects', 'Adverse effects'), ('Supplement health effects', 'Interactions'), ('Supplement health effects', 'Contamination'), ('Supplement health effects', 'Food safety'), ('Chemistry',), ('Pharmacokinetics',), ('Research', 'ALS'), ('Research', 'Muscle disorders'), ('Research', ""Parkinson's disease""), ('See also',), ('References',), ('External links',)]"
cruciferous vegetables,252,Cruciferous vegetables,"Cruciferous vegetables are vegetables of the family Brassicaceae (also called Cruciferae) with many genera, species, and cultivars being raised for food production such as cauliflower, cabbage, kale, garden cress, bok choy, broccoli, Brussels sprouts and similar green leaf vegetables.  The family takes its alternative name (Cruciferae, New Latin for ""cross-bearing"") from the shape of their flowers, whose four petals resemble a cross.
Ten of the most common cruciferous vegetables eaten by people, known colloquially in North America as cole crops and in Britain and Ireland as ""brassicas"", are in a single species (Brassica oleracea); they are not distinguished from one another taxonomically, only by horticultural category of cultivar groups.  Numerous other genera and species in the family are also edible.  Cruciferous vegetables are one of the dominant food crops worldwide. They are high in vitamin C and soluble fiber and contain multiple nutrients and phytochemicals.",https://en.wikipedia.org/wiki/Cruciferous_vegetables,"[('List of cruciferous vegetables',), ('Research', 'Drug and toxin metabolism'), ('Research', 'Taste'), ('Research', 'Contraindications'), ('References',)]"
cyclodextrin,234,Cyclodextrin,"Cyclodextrins  are a family of cyclic oligosaccharides, consisting of a macrocyclic ring of glucose subunits joined by α-1,4 glycosidic bonds. Cyclodextrins are produced from starch by enzymatic conversion.  They are used in food, pharmaceutical, drug delivery, and chemical industries, as well as agriculture and environmental engineering.Cyclodextrins are composed of 5 or more α-D-glucopyranoside units linked 1->4, as in amylose (a fragment of starch). The largest cyclodextrin contains 32 1,4-anhydroglucopyranoside units, while as a poorly characterized mixture, at least 150-membered cyclic oligosaccharides are also known. Typical cyclodextrins contain a number of glucose monomers ranging from six to eight units in a ring, creating a cone shape:

α (alpha)-cyclodextrin: 6 glucose subunits
β (beta)-cyclodextrin: 7 glucose subunits
γ (gamma)-cyclodextrin: 8 glucose subunits

",https://en.wikipedia.org/wiki/Cyclodextrin,"[('Applications', 'Drug delivery'), ('Applications', 'Chromatography'), ('Applications', 'Other'), ('Structure',), ('Synthesis', 'Derivatives'), ('Research',), ('History',), ('Safety',), ('References',)]"
"cyclosporine (neoral, sandimmune)",27,Ciclosporin,"It is also used as eye drops for keratoconjunctivitis sicca (dry eyes).Common side effects include high blood pressure, headache, kidney problems, increased hair growth, and vomiting.
Blood levels of the medication should be checked to decrease the risk of side effects.
It does this by forming a complex with cyclophilin to block the phosphatase activity of calcineurin, which in turn decreases the production of inflammatory cytokines by T‐lymphocytes.Ciclosporin was isolated in 1971 from the fungus Tolypocladium inflatum and came into medical use in 1983.
In 2016, the wholesale cost in the developing world was about US$106 a month.
In the United Kingdom, it cost the NHS about £121 per month.
The wholesale price in the United States was about US$173 per month.
In 2016, it was the 213th most prescribed medication in the United States with more than 2 million prescriptions.",https://en.wikipedia.org/wiki/Ciclosporin,"[('Medical uses',), ('Side effects',), ('Pharmacology', 'Mechanism of action'), ('Pharmacology', 'Pharmacokinetics'), ('Biosynthesis', 'Gene cluster'), ('History',), ('Society and culture', 'Name'), ('Society and culture', 'Available forms'), ('Research', 'Neuroprotection'), ('Research', 'Cardiac disease'), ('Veterinary use',), ('See also',), ('References',), ('External links',)]"
danshen,91,Darshan (film),"Darshan is a 2004 Kannada suspense thriller film starring Darshan and Navaneeth in leading roles, along with a supporting cast of Srujan Lokesh, Srinath, and Chithra Shenoy.",https://en.wikipedia.org/wiki/Darshan_(film),"[('Plot',), ('Cast',), ('Soundtrack',)]"
dapoxetine (priligy),211,Dapoxetine,"Dapoxetine, marketed as Priligy  and Westoxetin among other names, is a medication used for the treatment of premature ejaculation (PE) in men 18–64 years old.
Dapoxetine works by inhibiting the serotonin transporter, increasing serotonin's action at the post synaptic cleft, and as a consequence promoting ejaculatory delay.
As a member of the selective serotonin reuptake inhibitor (SSRI) family, dapoxetine was initially created as an antidepressant.
However, unlike other SSRIs, dapoxetine is absorbed and eliminated rapidly in the body.
Its fast acting property makes it suitable for the treatment of PE but not as an antidepressant.Originally created by Eli Lilly pharmaceutical company, dapoxetine was sold to Johnson & Johnson in 2003 and submitted as a New Drug Application to the Food and Drug Administration (FDA) for the treatment of PE in 2004.
Dapoxetine is sold in several European and Asian countries, and in Mexico.
In the US, dapoxetine has been in phase III development since 2003.",https://en.wikipedia.org/wiki/Dapoxetine,"[('Medical uses', 'Premature ejaculation'), ('Contraindications',), ('Adverse effects', 'Overdose'), ('Adverse effects', 'Interactions', 'With phosphodiesterase inhibitors (PDE5 inhibitors)'), ('Adverse effects', 'Interactions', 'With ethanol'), ('Mechanism of actions',), ('Pharmacokinetics',), ('Safety and tolerability',), ('Synthesis',), ('Regulatory history',), ('Trade names',), ('See also',)]"
"dextromethorphan (robitussin dm, and others)",29,Dextromethorphan,"Dextromethorphan (DXM or DM) is a medication most often used as a cough suppressant in over-the-counter cold and cough medicines. It is sold in syrup, tablet, spray, and lozenge forms.
It is in the morphinan class of medications with sedative, dissociative, and stimulant properties (at lower doses). In its pure form, dextromethorphan occurs as a white powder.DXM is also used recreationally. When exceeding approved dosages, dextromethorphan acts as a dissociative hallucinogen. It has multiple mechanisms of action, including actions as a nonselective serotonin reuptake inhibitor and a sigma-1 receptor agonist. DXM and its major metabolite, dextrorphan, also act as an NMDA receptor antagonist at high doses, which produces effects similar to, yet distinct from, the dissociative states created by other dissociative anesthetics such as ketamine, nitrous oxide, and phencyclidine.
It was patented in 1949 and approved for medical use in 1953.",https://en.wikipedia.org/wiki/Dextromethorphan,"[('Medical uses', 'Cough suppression'), ('Medical uses', 'Neuropsychiatric disorders'), ('Contraindications',), ('Adverse effects', 'Neurotoxicity'), ('Adverse effects', 'Dependence and withdrawal'), ('Overdose',), ('Interactions',), ('Pharmacology', 'Pharmacodynamics'), ('Pharmacology', 'Pharmacokinetics', 'Metabolism'), ('Chemistry',), ('History',), ('Society and culture', 'Marketing'), ('Society and culture', 'Recreational use'), ('Research',), ('See also',), ('References',), ('External links',)]"
digoxin (lanoxin),49,Digoxin,"Digoxin, sold under the brand name Lanoxin among others, is a medication used to treat various heart conditions.
Digoxin is taken by mouth or by injection into a vein.Common side effects include breast enlargement with other side effects generally due to an excessive dose.
These side effects may include loss of appetite, nausea, trouble seeing, confusion, and an irregular heartbeat.
Digoxin is in the cardiac glycoside family of medications.Digoxin was first isolated in 1930 from the foxglove plant, Digitalis lanata.
It is on the World Health Organization's List of Essential Medicines, the most effective and safe medicines needed in a health system.
The wholesale cost in the developing world is about US$0.21 to $6.60 a month.
In the United States it generally costs less than $25 per month, as of 2015.
In 2016 it was the 145th most prescribed medication in the United States with more than 4 million prescriptions.",https://en.wikipedia.org/wiki/Digoxin,"[('Medical use', 'Irregular heartbeat'), ('Medical use', 'Heart failure'), ('Medical use', 'Abortion'), ('Side effects',), ('Overdose',), ('Pharmacology', 'Pharmacodynamics'), ('Pharmacology', 'Pharmacokinetics'), ('Pharmacology', 'Pharmacomicrobiomics'), ('History',), ('Society and culture', 'Trade names'), ('See also',), ('References',), ('Further reading',), ('External links',)]"
dipyridamole (persantine),56,Dipyridamole,Dipyridamole (trademarked as Persantine and others) is a medication that inhibits blood clot formation when given chronically and causes blood vessel dilation when given at high doses over a short time.,https://en.wikipedia.org/wiki/Dipyridamole,"[('Medical uses', 'Stroke'), ('Medical uses', 'Other uses'), ('Drug interactions',), ('Overdose',), ('Mechanisms of action',), ('Experimental Studies',), ('See also',)]"
disulfiram (antabuse),57,Disulfiram,"Disulfiram (sold under the trade names Antabuse) is a drug used to support the treatment of chronic alcoholism by producing an acute sensitivity to ethanol (drinking alcohol).
Disulfiram works by inhibiting the enzyme acetaldehyde dehydrogenase, causing many of the effects of a hangover to be felt immediately following alcohol consumption.
Disulfiram plus alcohol, even small amounts, produce flushing, throbbing in head and neck, throbbing headache, respiratory difficulty, nausea, copious vomiting, sweating, thirst, chest pain, palpitation, dyspnea, hyperventilation, fast heart rate, low blood pressure, fainting, marked uneasiness, weakness, vertigo, blurred vision, and confusion.
In severe reactions there may be respiratory depression, cardiovascular collapse, abnormal heart rhythms, heart attack, acute congestive heart failure, unconsciousness, convulsions, and death.In the body, alcohol is converted to acetaldehyde, which is then broken down by acetaldehyde dehydrogenase.
When dehydrogenase enzyme is inhibited, acetaldehyde builds up, causing the unpleasant effects.
Disulfiram should be used in conjunction with counseling and support.
Disulfiram has been studied as a possible treatment for cancer and latent HIV infection.",https://en.wikipedia.org/wiki/Disulfiram,"[('Alcohol dependence',), ('Side effects in absence of alcohol',), ('Similarly acting substances',), ('History',), ('Cancer',), ('HIV',), ('Occupational safety',), ('See also',), ('References',), ('External links',)]"
drying medications (anticholinergic drugs),26,Anticholinergic,"An anticholinergic agent is a substance that blocks the action of the neurotransmitter acetylcholine at synapses in the central and the peripheral nervous system. These agents inhibit parasympathetic nerve impulses by selectively blocking the binding of the neurotransmitter acetylcholine to its receptor in nerve cells. The nerve fibers of the parasympathetic system are responsible for the involuntary movement of smooth muscles present in the gastrointestinal tract, urinary tract, lungs, and many other parts of the body. Anticholinergics are divided into three categories in accordance with their specific targets in the central and peripheral nervous system: antimuscarinic agents, ganglionic blockers, and neuromuscular blockers.",https://en.wikipedia.org/wiki/Anticholinergic,"[('Medical uses',), ('Recreational uses',), ('Side effects', 'Toxicity'), ('Pharmacology',), ('Examples',), ('Plant sources',), ('Use as a deterrent',)]"
echinacea,92,Echinacea,"Echinacea  is a genus, or group of herbaceous flowering plants in the daisy family. The genus Echinacea has ten species, which are commonly called coneflowers. They are found only in eastern and central North America, where they grow in moist to dry prairies and open wooded areas. They have large, showy heads of composite flowers, blooming from early to late summer. The generic name is derived from the Greek word ἐχῖνος (ekhinos), meaning ""sea urchin"", due to the spiny central disk. These flowering plants and their parts have different uses. Some species are cultivated in gardens for their showy flowers. Echinacea purpurea is used in folk medicine. Two of the species, E. tennesseensis and E. laevigata, are listed in the United States as endangered species.",https://en.wikipedia.org/wiki/Echinacea,"[('Description',), ('Species',), ('Research', 'Common cold'), ('Research', 'Cancer'), ('Side effects', 'Children under 12 years old'), ('Side effects', 'Pregnancy'), ('Side effects', 'Lactation'), ('Side effects', 'General precaution'), ('Other uses',), ('History',), ('See also',), ('References',), ('Further reading',), ('External links',)]"
echinachea,240,Echinacea,"Echinacea  is a genus, or group of herbaceous flowering plants in the daisy family. The genus Echinacea has ten species, which are commonly called coneflowers. They are found only in eastern and central North America, where they grow in moist to dry prairies and open wooded areas. They have large, showy heads of composite flowers, blooming from early to late summer. The generic name is derived from the Greek word ἐχῖνος (ekhinos), meaning ""sea urchin"", due to the spiny central disk. These flowering plants and their parts have different uses. Some species are cultivated in gardens for their showy flowers. Echinacea purpurea is used in folk medicine. Two of the species, E. tennesseensis and E. laevigata, are listed in the United States as endangered species.",https://en.wikipedia.org/wiki/Echinacea,"[('Description',), ('Species',), ('Research', 'Common cold'), ('Research', 'Cancer'), ('Side effects', 'Children under 12 years old'), ('Side effects', 'Pregnancy'), ('Side effects', 'Lactation'), ('Side effects', 'General precaution'), ('Other uses',), ('History',), ('See also',), ('References',), ('Further reading',), ('External links',)]"
edta,328,Ethylenediaminetetraacetic acid,"Ethylenediaminetetraacetic acid (EDTA), also known by several other names, is a chemical used for both industrial and medical purposes. It was synthesized for the first time in 1935 by Ferdinand Münz.It is an aminopolycarboxylic acid and a colorless, water-soluble solid. Its conjugate base is ethylenediaminetetraacetate. It is widely used to dissolve limescale. Its usefulness arises because of its role as a hexadentate (""six-toothed"") ligand and chelating agent, i.e., its ability to sequester metal ions such as Ca2+ and Fe3+. After being bound by EDTA into a metal complex, metal ions remain in solution but exhibit diminished reactivity. EDTA is produced as several salts, notably disodium EDTA, calcium disodium EDTA, and tetrasodium EDTA (typically as the hydrate).",https://en.wikipedia.org/wiki/Ethylenediaminetetraacetic_acid,"[('Uses', 'Industry'), ('Uses', 'Medicine'), ('Uses', 'Alternative medicine'), ('Uses', 'Cosmetics'), ('Uses', 'Laboratory applications'), ('Side effects',), ('Synthesis',), ('Nomenclature',), ('Coordination chemistry principles',), ('Environmental fate', 'Abiotic degradation'), ('Environmental fate', 'Biodegradation'), ('Alternatives', 'Iminodisuccinic acid (IDS)'), ('Alternatives', 'Polyaspartic acid'), ('Alternatives', 'Ethylenediamine-N,N′-disuccinic acid (EDDS)'), ('Alternatives', 'Methylglycinediacetic acid (MGDA)'), ('Alternatives', 'L-Glutamic acid N,N-diacetic acid, tetrasodium salt (GLDA)'), ('Methods of detection and analysis',), ('References',), ('External links',)]"
egg whites,46,Egg white,"Egg white is the clear liquid (also called the albumen or the glair/glaire) contained within an egg.
In chickens it is formed from the layers of secretions of the anterior section of the hen's oviduct during the passage of the egg.
It forms around fertilized or unfertilized egg yolks.
The primary natural purpose of egg white is to protect the yolk and provide additional nutrition for the growth of the embryo (when fertilized).
Egg white consists primarily of about 90% water into which about 10% proteins (including albumins, mucoproteins, and globulins) are dissolved.
Unlike the yolk, which is high in lipids (fats), egg white contains almost no fat, and carbohydrate content is less than 1%.
Egg whites contain about 56% of the protein in the egg.
Egg white has many uses in food (e.g. meringue, mousse) and also many other uses (e.g. in the preparation of vaccines such as those for influenza).",https://en.wikipedia.org/wiki/Egg_white,"[('Composition',), ('Foam', 'Stabilizing foam for culinary purposes', 'Copper bowl'), ('Health issues',), ('Uses',), ('See also',), ('References',), ('Further reading',), ('External links',)]"
ephedra (ma huang),93,Ephedra sinica,"Ephedra sinica (also known as Chinese ephedra or Ma Huang) is a plant species native to Mongolia, Russia (Buryatiya, Chita, Primorye), and northeastern China (Gansu, Hebei, Heilongjiang, Jilin, Liaoning, Nei Mongol, Ningxia, Shaanxi, Shanxi).",https://en.wikipedia.org/wiki/Ephedra_sinica,"[('See also',)]"
ephedrine,58,Ephedrine,"Ephedrine is a medication and stimulant.
It can be taken by mouth or by injection into a muscle, vein, or just under the skin.
Onset with intravenous use is fast, while injection into a muscle can take 20 minutes, and by mouth can take an hour for effect.
When given by injection it lasts about an hour and when taken by mouth it can last up to four hours.Common side effects include trouble sleeping, anxiety, headache, hallucinations, high blood pressure, fast heart rate, loss of appetite, and inability to urinate.
Serious side effects include stroke, heart attack, and abuse.
It is on the World Health Organization's List of Essential Medicines, the most effective and safe medicines needed in a health system.
Dietary supplements containing ephedrine are illegal in the United States, with the exception of those used in traditional Chinese medicine, where its presence is noted by má huáng.",https://en.wikipedia.org/wiki/Ephedrine,"[('Medical use', 'Weight loss'), ('Recreational use', 'Detection of use'), ('Contraindications',), ('Adverse effects',), ('Other uses',), ('Chemistry and nomenclature',), ('Sources', 'Agricultural'), ('Sources', 'Synthetic'), ('Sources', 'Biosynthetic'), ('Mechanism of action',), ('History',), ('Legality', 'Canada'), ('Legality', 'United States'), ('Legality', 'Australia'), ('Legality', 'South Africa'), ('Legality', 'Germany'), ('See also',), ('References',)]"
erythromycin,212,Erythromycin,"Erythromycin is an antibiotic used for the treatment of a number of bacterial infections.
It may also be used during pregnancy to prevent Group B streptococcal infection in the newborn, as well as to improve delayed stomach emptying.
An eye ointment is routinely recommended after delivery to prevent eye infections in the newborn.Common side effects include abdominal cramps, vomiting, and diarrhea.
More serious side effects may include Clostridium difficile colitis, liver problems, prolonged QT, and allergic reactions.
It is generally safe in those who are allergic to penicillin.
Erythromycin also appears to be safe to use during pregnancy.
While generally regarded as safe during breastfeeding, its use by the mother during the first two weeks of life may increase the risk of pyloric stenosis in the baby.
It is on the World Health Organization's List of Essential Medicines, which lists the most effective and safe medicines needed in a health system.",https://en.wikipedia.org/wiki/Erythromycin,"[('Medical uses', 'Available forms'), ('Adverse effects',), ('Interactions',), ('Pharmacology', 'Mechanism of action'), ('Pharmacology', 'Pharmacokinetics'), ('Pharmacology', 'Metabolism'), ('Chemistry', 'Composition'), ('Chemistry', 'Synthesis'), ('Chemistry', 'Erythromycin related compounds'), ('History',), ('Society and culture', 'Cost'), ('Society and culture', 'Brand names'), ('See also',), ('References',), ('External links',)]"
eslicarbazepine (aptiom),111,Eslicarbazepine acetate,"Eslicarbazepine acetate (ESL), sold under the brand names Aptiom and Zebinix among others, is an anticonvulsant medication approved for use in Europe and the United States as monotherapy or as additional therapy for partial-onset seizures epilepsy.Similarly to oxcarbazepine, ESL behaves as a prodrug to (S)-(+)-licarbazepine. As such, their mechanisms of action are identical.

",https://en.wikipedia.org/wiki/Eslicarbazepine_acetate,"[('Contraindications',), ('Adverse effects',), ('Overdose',), ('Interactions',), ('Pharmacology', 'Mechanism of action'), ('Pharmacology', 'Pharmacokinetics'), ('Pharmacology', 'Pharmacogenomics'), ('Chemistry',), ('History',), ('Research',)]"
estrogens,7,Estrogen,"Estrogen, or oestrogen, is the primary female sex hormone.
There are three major endogenous estrogens in females that have estrogenic hormonal activity: estrone, estradiol, and estriol.
Estrogens are synthesized in all vertebrates as well as some insects.
Their presence in both vertebrates and insects suggests that estrogenic sex hormones have an ancient evolutionary history.
The three major naturally occurring forms of estrogen in women are estrone (E1), estradiol (E2), and estriol (E3).
Quantitatively, estrogens circulate at lower levels than androgens in both men and women.
While estrogen levels are significantly lower in males compared to females, estrogens nevertheless also have important physiological roles in males.Like all steroid hormones, estrogens readily diffuse across the cell membrane.
Once inside the cell, they bind to and activate estrogen receptors (ERs) which in turn modulate the expression of many genes.",https://en.wikipedia.org/wiki/Estrogen,"[('Types and examples',), ('Biological function', 'Overview of actions'), ('Biological function', 'Female pubertal development', 'Breast development'), ('Biological function', 'Female reproductive system'), ('Biological function', 'Neuroprotection and DNA repair'), ('Biological function', 'Brain and behavior', 'Sex drive'), ('Biological function', 'Brain and behavior', 'Cognition'), ('Biological function', 'Brain and behavior', 'Mental health'), ('Biological function', 'Brain and behavior', 'Parenthood'), ('Biological function', 'Brain and behavior', 'Binge eating'), ('Biological function', 'Brain and behavior', 'Masculinization in rodents'), ('Biological function', 'Skeletal system'), ('Biological function', 'Cardiovascular system'), ('Biological function', 'Immune system'), ('Biological function', 'Associated conditions'), ('Biochemistry', 'Biosynthesis'), ('Biochemistry', 'Distribution'), ('Biochemistry', 'Metabolism'), ('Biochemistry', 'Excretion'), ('Biochemistry', 'Levels'), ('Medical use',), ('Chemistry',), ('History',), ('Society and culture', 'Etymology'), ('Society and culture', 'Environment'), ('Society and culture', 'Cosmetics'), ('See also',), ('References',), ('External links',)]"
ethinyl estradiol,103,Ethinylestradiol,"Ethinylestradiol (EE) is an estrogen medication which is used widely in birth control pills in combination with progestins.
Rare but serious side effects include blood clots, liver damage, and cancer of the uterus.EE is an estrogen, or an agonist of the estrogen receptors, the biological target of estrogens like estradiol.
Compared to estradiol, EE has greatly improved bioavailability when taken by mouth, is more resistant to metabolism, and shows relatively increased effects in certain parts of the body like the liver and uterus.
These differences make EE more favorable for use in birth control pills than estradiol, though also result in an increased risk of blood clots and certain other rare adverse effects.EE was developed in the 1930s and was introduced for medical use in 1943.
Today, EE is found in almost all combined forms of birth control pills and is nearly the exclusive estrogen used for this purpose, making it one of if not the most widely used estrogens.",https://en.wikipedia.org/wiki/Ethinylestradiol,"[('Medical uses', 'Available forms'), ('Contraindications',), ('Side effects', 'Long-term effects', 'Venous thromboembolism'), ('Side effects', 'Long-term effects', 'Cardiovascular toxicity'), ('Side effects', 'Long-term effects', 'Cholestatic hepatotoxicity'), ('Side effects', 'Long-term effects', 'Endometrial cancer'), ('Overdose',), ('Interactions',), ('Pharmacology', 'Pharmacodynamics', 'Antiandrogenic and antigonadotropic effects'), ('Pharmacology', 'Pharmacodynamics', 'Effects on liver protein synthesis'), ('Pharmacology', 'Pharmacodynamics', 'Differences from estradiol'), ('Pharmacology', 'Pharmacokinetics', 'Absorption'), ('Pharmacology', 'Pharmacokinetics', 'Distribution'), ('Pharmacology', 'Pharmacokinetics', 'Metabolism'), ('Pharmacology', 'Pharmacokinetics', 'Elimination'), ('Chemistry', 'Analogues'), ('History',), ('Society and culture', 'Generic names'), ('Society and culture', 'Brand names'), ('Society and culture', 'Availability'), ('References',), ('Further reading',)]"
ethosuximide,59,Ethosuximide,"Ethosuximide, sold under the brand name Zarontin among others, is a medication used to treat absence seizures.
Ethosuximide is taken by mouth.Side effects are generally minimal.
Common side effects include loss of appetite, abdominal pain, diarrhea, and feeling tired.
Serious side effects include suicidal thoughts, low blood cell levels, and lupus erythematosus.
It is unclear if use during pregnancy or under the age of three is safe for the baby.
Ethosuximide is in the succinimide family of medications.
How exactly it works is unclear.Ethosuximide was approved for medical use in the United States in 1960.
It is on the World Health Organization's List of Essential Medicines, the most effective and safe medicines needed in a health system.
Ethosuximide is available as a generic medication.
The wholesale cost in the developing world is about US$27.77 per month.
In the United States the wholesale cost as of 2016 is about US$41.55 per month for a typical dose.",https://en.wikipedia.org/wiki/Ethosuximide,"[('Medical uses',), ('Adverse effects', 'Central nervous system', 'Common'), ('Adverse effects', 'Central nervous system', 'Rare'), ('Adverse effects', 'Gastrointestinal'), ('Adverse effects', 'Genitourinary'), ('Adverse effects', 'Blood'), ('Adverse effects', 'Skin'), ('Adverse effects', 'Eyes'), ('Drug interactions',), ('Mechanism of action',), ('Availability',), ('Stereochemistry',), ('See also',), ('References',), ('External links',)]"
ethosuximide (zarontin),315,Ethosuximide,"Ethosuximide, sold under the brand name Zarontin among others, is a medication used to treat absence seizures.
Ethosuximide is taken by mouth.Side effects are generally minimal.
Common side effects include loss of appetite, abdominal pain, diarrhea, and feeling tired.
Serious side effects include suicidal thoughts, low blood cell levels, and lupus erythematosus.
It is unclear if use during pregnancy or under the age of three is safe for the baby.
Ethosuximide is in the succinimide family of medications.
How exactly it works is unclear.Ethosuximide was approved for medical use in the United States in 1960.
It is on the World Health Organization's List of Essential Medicines, the most effective and safe medicines needed in a health system.
Ethosuximide is available as a generic medication.
The wholesale cost in the developing world is about US$27.77 per month.
In the United States the wholesale cost as of 2016 is about US$41.55 per month for a typical dose.",https://en.wikipedia.org/wiki/Ethosuximide,"[('Medical uses',), ('Adverse effects', 'Central nervous system', 'Common'), ('Adverse effects', 'Central nervous system', 'Rare'), ('Adverse effects', 'Gastrointestinal'), ('Adverse effects', 'Genitourinary'), ('Adverse effects', 'Blood'), ('Adverse effects', 'Skin'), ('Adverse effects', 'Eyes'), ('Drug interactions',), ('Mechanism of action',), ('Availability',), ('Stereochemistry',), ('See also',), ('References',), ('External links',)]"
