,name_used,summary
castor bean,castor bean,"Ricinus communis, the castor bean or castor oil plant, is a species of perennial flowering plant in the spurge family, Euphorbiaceae.
It is the sole species in the monotypic genus, Ricinus, and subtribe, Ricininae.
It reproduces with a mixed pollination system which favors selfing by geitonogamy but at the same time can be an out-crosser by anemophily (wind pollination) or entomophily (insect pollination).Its seed is the castor bean, which, despite its name, is not a true bean.
Castor is indigenous to the southeastern Mediterranean Basin, Eastern Africa, and India, but is widespread throughout tropical regions (and widely grown elsewhere as an ornamental plant).Castor seed is the source of castor oil, which has a wide variety of uses.
The seeds contain between 40% and 60% oil that is rich in triglycerides, mainly ricinolein.
The seed also contains ricin, a water-soluble toxin, which is also present in lower concentrations throughout the plant.
An unrelated plant species, Fatsia japonica (false castor oil plant), is similar in appearance but is from Japan."
catclaw buttercup root,List of flora of the Sonoran Desert Region by common name,"The Sonoran Desert is located in the southwestern United States and northwestern Mexico in North America.
The Sonoran Desert Region, as defined by the Arizona-Sonora Desert Museum, includes the Sonoran Desert and some surrounding areas. All of Sonora, the Baja California Peninsula, and the islands of the Gulf of California are included. Also included are parts of Sinaloa and Chihuahua, some Pacific islands off the coast of Baja California (excluding Guadalupe Island), and southern Arizona and southern California in the United States.This region has 4,004 species of plants from 1201 genera in 182 families. Many lack common names. Many have more than one common name, but only one is listed. Native and non-native taxa are included."
caulis sinomenii,Reuptake enhancer,"A reuptake enhancer (RE), also sometimes referred to as a reuptake activator, is a type of reuptake modulator which enhances the plasmalemmal transporter-mediated reuptake of a neurotransmitter from the synapse into the pre-synaptic neuron, leading to a decrease in the extracellular concentrations of the neurotransmitter and therefore a decrease in neurotransmission.
The antidepressant tianeptine was once claimed to be a (selective) serotonin reuptake enhancer (SRE or SSRE), but the role of serotonin reuptake in its mechanism is doubtful.
Tianeptine has no affinity for the serotonin transporter, neither increases nor decreases extracellular levels of serotonin in cortico-limbic structures of conscious rats, and it didn't show any other long-term effect on the serotonin pathway.
Thus, tianeptine's role as an SSRE may have been the coincidence of a yet unknown mechanism of action.
The flavone luteoline as well as some of its derivatives enhance the reuptake at the dopamine transporter, extracts of Caulis Sinomenii activate DA/NE transporters."
celosiae semen,Shihu Yeguang Wan,"Shihu Yeguang Wan (Chinese: 石斛夜光丸) is a brownish-black pill used in Traditional Chinese medicine to ""replenish yin of the kidney, quench liver-fire and improve eyesight"". It tastes sweet and slightly bitter. It is used where there is ""deficiency of yin of the liver and the kidney with rousing of fire causing cataract with impaired vision""."
cherokee rose fruit,cherokee rose fruit,"It was one of the first of the darker color group of tomatoes sometimes described as ""blacks""; the variety Purple Calabash, with its highly irregularly shaped fruits, arose in a very few seed catalogs in the mid 1900s.
In 1995, a skin color mutation of Cherokee Purple arose in Craig LeHoullier's North Carolina garden.
It was named Cherokee Chocolate, and the yellow skin gives the variety a brownish mahogany hue.
Cherokee Green arose in Craig's garden in 1997 from a planting of Cherokee Chocolate.
After growing the tomato in his 1991 garden, confirming the unique purplish coloration and considering the history shared by Mr Green, Craig named the variety Cherokee Purple and sent it to Jeff McCormack of Southern Exposure Seed Exchange.
Jeff enjoyed the flavor of the tomato and his company first listed the variety in its 1993 seed catalog."
chicory,chicory,"Common chicory, Cichorium intybus, is a somewhat woody, perennial herbaceous plant of the dandelion family Asteraceae, usually with bright blue flowers, rarely white or pink. Many varieties are cultivated for salad leaves, chicons (blanched buds), or roots (var. sativum), which are baked, ground, and used as a coffee substitute and food additive. In the 21st century, inulin, an extract from chicory root, has been used in food manufacturing as a sweetener and source of dietary fiber.Chicory is grown as a forage crop for livestock. It lives as a wild plant on roadsides in its native Europe, and is now common in North America, China, and Australia, where it has become widely naturalized. ""Chicory"" is also the common name in the United States for curly endive (Cichorium endivia); these two closely related species are often confused."
chinese cinquefoil,chinese cinquefoil,"Potentilla  is a genus containing over 300 species of annual, biennial and perennial herbaceous flowering plants in the rose family, Rosaceae. They are usually called cinquefoils in English. Potentilla are generally only found throughout the northern continents of the world (holarctic), though some may even be found in montane biomes of the New Guinea Highlands. Several other cinquefoils formerly included here are now separated in distinct genera - notably the popular garden shrub P. fruticosa, now Dasiphora fruticosa.
Some species are called tormentils, though this is often used specifically for common tormentil (P. erecta). Others are referred to as barren strawberries, which may also refer to P. sterilis in particular, or to the closely related but not congeneric Waldsteinia fragarioides."
chinese gall,chinese gall,"Rhus chinensis, the Chinese sumac, or nutgall tree, is a plant species in the genus Rhus.
Galls produced on the species that are called Chinese gall, Galla Chinensis, or Wu Bei Zi (五倍子) in Chinese, are a source of gallotannins, molecules of hydrolyzable tannins. Infestation of the tree by Chinese sumac aphids  (Melaphis chinensis Bell) may lead to production of a gall that is valued as a commercial product in China.
Chinese galls are used in traditional Chinese medicine for coughs, diarrhea, night sweats, dysentery, and intestinal and uterine bleeding.  Some research has suggested that chemical compounds found in Rhus chinensis possess in vitro antiviral, antibacterial, anticancer, hepatoprotective, antidiarrheal, and antioxidant activities. However, it is important to note that this evidence is not substantiated by multiple international researchers.  The aqueous extracts of the gall also inhibit alpha-glucosidase activity in vitro."
chinese honeylocust abnormal fruit,chinese honeylocust abnormal fruit,"Galls (from Latin galla, 'oak-apple') or cecidia (from Greek kēkidion, anything gushing out) are a kind of swelling growth on the external tissues of plants, fungi, or animals. Plant galls are abnormal outgrowths of plant tissues, similar to benign tumors or warts in animals. They can be caused by various parasites, from viruses, fungi and bacteria, to other plants, insects and mites.  Plant galls are often highly organized structures so that the cause of the gall can often be determined without the actual agent being identified. This applies particularly to some insect and mite plant galls. The study of plant galls is known as cecidology.
In human pathology, a gall is a raised sore on the skin, usually caused by chafing or rubbing."
chinese lobelia herb,chinese lobelia herb,"Chinese herbology (simplified Chinese: 中药学; traditional Chinese: 中藥學; pinyin: zhōngyào xué) is the theory of traditional Chinese herbal therapy, which accounts for the majority of treatments in traditional Chinese medicine (TCM).
A Nature editorial described TCM as ""fraught with pseudoscience"", and said that the most obvious reason why it has not delivered many cures is that the majority of its treatments have no logical mechanism of action.The term herbology is misleading in the sense that, while plant elements are by far the most commonly used substances, animal, human, and mineral products are also utilized, among which some are poisonous.
Thus, the term ""medicinal"" (instead of herb) is usually preferred as a translation for 药 (pinyin: yào).Research into the effectiveness of traditional Chinese herbal therapy is of poor quality and often tainted by bias, with little or no rigorous evidence of efficacy.
There are concerns over a number of potentially toxic Chinese herbs."
chinese nutmeg yew,chinese nutmeg yew,"Torreya grandis (Chinese: 香榧(pinyin=Xiāngfěi) is a species of conifer in either the family Taxaceae, or Cephalotaxaceae.
T. grandis is a large tree that can attain height of 25 metres (82 ft), and possibly as high as 39 metres (128 ft).
T. grandis is endemic to eastern and south-eastern China; it is found in the coastal provinces Fujian, Zhejiang, and Jiangsu, as well as in Anhui, Guizhou, Hunan, and Jiangxi inland.
T. grandis is used as an ornamental tree in Europe and North America.Although known and utilized by the Chinese for centuries, the first European to discover Torreya grandis was Robert Fortune, who was hiking in the mountains of northeast Zhejiang in search of seeds, particularly those of ""golden pine-tree"" (Larix kaempferi).
Encountering first two young cultivated trees, he managed to get guided to a valley with mature trees and purchased the seeds.
The seeds brought to England could be grown successfully there.Torreya grandis cv.
It is believed to originate from the mountains of NE Zhejiang."
chinese plum,chinese plum,"Chinese plum is a common name for several plants and may refer to:

Prunus mume with its plum blossoms
Prunus salicina
Loquat, Eriobotrya japonica"
chinese rose flower,chinese rose flower,"A rose is a woody perennial flowering plant of the genus Rosa, in the family Rosaceae, or the flower it bears.
There are over three hundred species and thousands of cultivars.
They form a group of plants that can be erect shrubs, climbing, or trailing, with stems that are often armed with sharp prickles.
Flowers vary in size and shape and are usually large and showy, in colours ranging from white through yellows and reds.
Most species are native to Asia, with smaller numbers native to Europe, North America, and northwestern Africa.
Species, cultivars and hybrids are all widely grown for their beauty and often are fragrant.
Roses have acquired cultural significance in  many societies.
Rose plants range in size from compact, miniature roses, to climbers that can reach seven meters in height.
Different species hybridize easily, and this has been used in the development of the wide range of garden roses."
chinese tamarisk twig,Tamarix chinensis,"Tamarix chinensis is a species of tamarisk known by the common names five-stamen tamarisk and Chinese tamarisk or saltcedar.
It is native to China and Korea, and it is known in many other parts of the world as an introduced species and sometimes an invasive noxious weed.
It easily inhabits moist habitat with saline soils.
It has been known to reach 12 metres.
The inflorescence is a dense raceme of flowers a few cm long.
It reproduces vegetatively from its roots and also from its foliage if it happens to be covered by soil, as in sediment-rich flooding.
Despite its reputation as a noxious weed, the tree can be useful for wood, in honey production, and as a nesting site for various birds.In its native habitat in China the plant forms thickets that act as useful barriers on the margins of waterways, including saline ocean shores."
chinese white olive,chinese white olive,"Canarium is a genus of about 100 species of tropical and subtropical trees, in the family Burseraceae.  They grow naturally across tropical Africa, south and southeast Asia, Indochina, Malesia, Australia and western Pacific Islands; including from southern Nigeria east to Madagascar, Mauritius, Sri Lanka and India; from Burma, Malaysia and Thailand through the Malay Peninsula and Vietnam to south China, Taiwan and the Philippines; through Borneo, Indonesia, Timor and New Guinea, through to the Solomon Islands, New Caledonia, Fiji, Samoa, Tonga and Palau.They grow up to large evergreen trees of 40–50 m (130–160 ft) tall, and have alternately arranged, pinnate leaves."
chondroitin sulfate,chondroitin sulfate,"Chondroitin sulfate is a sulfated glycosaminoglycan (GAG) composed of a chain of alternating sugars (N-acetylgalactosamine and glucuronic acid). It is usually found attached to proteins as part of a proteoglycan. A chondroitin chain can have over 100 individual sugars, each of which can be sulfated in variable positions and quantities.  Chondroitin sulfate is an important structural component of cartilage and provides much of its resistance to compression. Along with glucosamine, chondroitin sulfate has become a widely used dietary supplement for treatment of osteoarthritis."
chrysanthemum flower,chrysanthemum flower,"Chrysanthemums (), sometimes called mums or chrysanths, are flowering plants of the genus Chrysanthemum in the family Asteraceae. They are native to Asia and northeastern Europe. Most species originate from East Asia and the center of diversity is in China. Countless horticultural varieties and cultivars exist."
cicada slough,cicada slough,"Maohou is a Chinese folk art form, and a form of Miniature Art. Artists build miniature sculptures using cicada sloughs and Magnolia buds. An old Beijing art form, Maohou sculpture came into being during the Qing dynasty. Legend has it that a Beijing herbal medicine shopkeeper designed such miniature toys for his son using the two traditional medicine ingredients since he was too poor to buy any toys."
cinnamon bark,cinnamon bark,"Cinnamon ( SIN-ə-mən) is a spice obtained from the inner bark of several tree species from the genus Cinnamomum.
Cinnamon is used mainly as an aromatic condiment and flavouring additive in a wide variety of cuisines, sweet and savoury dishes, breakfast cereals, snackfoods, tea and traditional foods.
The aroma and flavour of cinnamon derive from its essential oil and principal component, cinnamaldehyde, as well as numerous other constituents, including eugenol.
The term ""cinnamon"" also is used to describe its mid-brown colour.
Cinnamon is the name for several species of trees and the commercial spice products that some of them produce.
All are members of the genus Cinnamomum in the family Lauraceae.
Only a few Cinnamomum species are grown commercially for spice.
Cinnamomum verum is sometimes considered to be ""true cinnamon"", but most cinnamon in international commerce is derived from the related species Cinnamomum cassia, also referred to as ""cassia"".
In 2016, Indonesia and China produced 75% of the world's supply of cinnamon."
cinnamon twig,cinnamon twig,"Cinnamon ( SIN-ə-mən) is a spice obtained from the inner bark of several tree species from the genus Cinnamomum.
Cinnamon is used mainly as an aromatic condiment and flavouring additive in a wide variety of cuisines, sweet and savoury dishes, breakfast cereals, snackfoods, tea and traditional foods.
The aroma and flavour of cinnamon derive from its essential oil and principal component, cinnamaldehyde, as well as numerous other constituents, including eugenol.
The term ""cinnamon"" also is used to describe its mid-brown colour.
Cinnamon is the name for several species of trees and the commercial spice products that some of them produce.
All are members of the genus Cinnamomum in the family Lauraceae.
Only a few Cinnamomum species are grown commercially for spice.
Cinnamomum verum is sometimes considered to be ""true cinnamon"", but most cinnamon in international commerce is derived from the related species Cinnamomum cassia, also referred to as ""cassia"".
In 2016, Indonesia and China produced 75% of the world's supply of cinnamon."
citron,citron,"The citron (Citrus medica) is a large fragrant citrus fruit with a thick rind. It is one of the original citrus fruits from which all other citrus types developed through natural hybrid speciation or artificial hybridization.  Though citron cultivars take on a wide variety of physical forms, they are all closely related genetically.  It is used widely in Asian cuisine, and also in traditional medicines, perfume, and for religious rituals and offerings.  Hybrids of citrons with other citrus are commercially prominent, notably lemons and many limes."
clam shell,clam shell,"Clam is a common name for several kinds of bivalve molluscs.
The word is often applied only to those that are edible and live as infauna, spending most of their lives halfway buried in the sand of the seafloor.
Clams have two shells of equal size connected by two adductor muscles and have a powerful burrowing foot.
Clams in the culinary sense do not live attached to a substrate (whereas oysters and mussels do) and do not live near the bottom (whereas scallops do).
In culinary usage, clams are commonly eaten marine bivalves, as in clam digging and the resulting soup, clam chowder.
Many edible clams such as palourde clams are oval or triangular; however, razor clams have an elongated parallel-sided shell, suggesting an old-fashioned straight razor.Some clams have life cycles of only one year, while at least one may be over 500 years old.
All clams have two calcareous shells or valves joined near a hinge with a flexible ligament, and all are filter feeders."
clematis root,clematis root,"Dit da jow is a common Chinese liniment used as a folk remedy to supposedly heal external injuries, such as bruises or sore muscles."
clinopodium herb,clinopodium herb,"Clinopodium douglasii, or yerba buena, is a rambling aromatic herb of western and northwestern North America, ranging from maritime Alaska southwards to California. The plant takes the form of a sprawling, mat-forming perennial, and is especially abundant close to the coast.  The name ""yerba buena"" derives from Spanish for ""good herb"" and is applied to various other plants. Molecular evidence places the species within the Clinopodium complex rather than Micromeria."
clove,clove,"Cloves are the aromatic flower buds of a tree in the family Myrtaceae, Syzygium aromaticum. They are native to the Maluku Islands (or Moluccas) in Indonesia, and are commonly used as a spice. Cloves are available throughout the year due to different harvest seasons in different countries."
cluster mallow fruit,cluster mallow fruit,"Malva sylvestris is a species of the mallow genus Malva in the family of Malvaceae and is considered to be the type species for the genus.  Known as common mallow to English-speaking Europeans,
it acquired the common names of cheeses, high mallow  and tall mallow (mauve des bois by the French)
as it migrated from its native home in Western Europe, North Africa and Asia through the English-speaking world.M. sylvestris is a vigorous plant with showy flowers of bright mauve-purple, with dark veins, standing 3–4 feet (0.91–1.22 m) high and growing freely in meadows, hedgerows and in fallow fields."
cockscomb flower ,cockscomb flower ,"Celosia ( see-LOH-shee-ə) is a small genus of edible and ornamental plants in the amaranth family, Amaranthaceae. The generic name is derived from the Ancient Greek word κήλεος (kḗleos), meaning ""burning"", and refers to the flame-like flower heads. Species are commonly known as woolflowers, or, if the flower heads are crested by fasciation, cockscombs. The plants are well known in East Africa's highlands and are used under their Swahili name, mfungu."
coco-grass rhizome,coco-grass rhizome,"Cyperus rotundus (coco-grass, Java grass, nut grass, purple nut sedge or purple nutsedge, red nut sedge, Khmer kravanh chruk) is a species of sedge (Cyperaceae) native to Africa, southern and central Europe (north to France and Austria), and southern Asia.
The word cyperus derives from the Greek κύπερος, kyperos, and rotundus is from Latin, meaning ""round"".
The earliest attested form of the word cyperus is the Mycenaean Greek 𐀓𐀞𐀫, ku-pa-ro, written in Linear B syllabic script.Cyperus rotundus is a perennial plant, that may reach a height of up to 140 cm (55 in).
The names ""nut grass"" and ""nut sedge"" – shared with the related species Cyperus esculentus – are derived from its tubers, that somewhat resemble nuts, although botanically they have nothing to do with nuts.
The root system of a young plant initially forms white, fleshy rhizomes, up to 25 mm (1.0 in) in dimension, in chains.
Other rhizomes grow horizontally or downward, and form dark reddish-brown tubers or chains of tubers."
coconut water,coconut water,"Coconut water, less commonly coconut juice, is the clear liquid inside coconuts (fruits of the coconut palm). In early development, it serves as a suspension for the endosperm of the coconut during the nuclear phase of development. As growth continues, the endosperm matures into its cellular phase and deposits into the rind of the coconut pulp. The liquid inside young coconuts is often preferred to the liquid of a ripened coconut.

"
cod liver oil,cod liver oil,"Cod liver oil is a dietary supplement derived from liver of cod fish (Gadidae). As with most fish oils, it contains the omega-3 fatty acids eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA).  Cod liver oil also contains vitamin A and vitamin D. Historically, it was given to children because vitamin D had been shown to prevent rickets, a consequence of vitamin D deficiency."
codonopsis root,codonopsis root,"Codonopsis pilosula, also known as dang shen or poor man's ginseng, is a perennial species of flowering plant in the bellflower family. It is native to Asia, where it grows in forests, meadows, and scrub."
cogongrass rhizome,Imperata cylindrica,"Imperata cylindrica (commonly known as cogongrass  or kunai grass )) is a species of perennial rhizomatous grass native to tropical and subtropical Asia, Micronesia, Melanesia, Australia, Africa, and southern Europe. It has also been introduced to Latin America, the Caribbean, and the southeastern United States. It is a highly flammable fire-adapted species, and can spread rapidly by colonizing disturbed areas and encouraging more frequent wildfires."
coltsfoot flower,coltsfoot flower,"King-to Nin Jiom Pei Pa Koa (Chinese: 京都念慈菴川貝枇杷膏; pinyin: Jīngdū niàn cí ān chuānbèi pípá gāo), commonly known as Nin Jiom Pei Pa Koa or simply Nin Jiom Herbal Cough Syrup, is a traditional Chinese natural herbal remedy used for the relief of sore throat, coughs, hoarseness and aphonia. It is a throat demulcent and expectorant."
common clubmoss herb,common clubmoss herb,"Ivesia lycopodioides is a species of flowering plant in the rose family known by the common name clubmoss mousetail, or clubmoss ivesia. It is native to the Sierra Nevada and to regions east of the range in California. It may also be found beyond the state line into Nevada. This is a perennial herb which grows in the crevices of rock ledges in the mountains and in wet high-elevation meadows. It produces a rosette of flat to cylindrical leaves up to 15 centimeters long, each of which is made up of many tiny, lobed leaflets. The stems may grow erect or drooping to 30 centimeters long and each holds an inflorescence of clustered flowers. Each flower has hairy, greenish triangular sepals and much larger oval-shaped petals of bright yellow. In the center of the flower are usually five stamens and several pistils. There are three subspecies.

"
common cnidium fruit,common cnidium fruit,"Dit da jow is a common Chinese liniment used as a folk remedy to supposedly heal external injuries, such as bruises or sore muscles."
common monkshood daughter root,common monkshood daughter root,"Monk's Hood is a medieval mystery novel by Ellis Peters, set in December 1138.
It is the third novel in The Cadfael Chronicles.
Gervase Bonel dies from monkshood oil put in his food.
Brother Cadfael made the oil.
Cadfael assesses the motives of Bonel's family and household staff, including his Welsh natural son and his stepson, and deals with Bonel's widow who was once Cadfael's sweetheart long ago.
The sergeant views the case differently from Cadfael.
The author was commended by one reviewer for her ability to draw characters who are distinctly medieval, ""not modern men and women masquerading in medieval garb,"" while dealing with fine points of medieval Welsh law.
Another reviewer missed the lively character of the second novel, Hugh Beringar, wishing him to be more involved in this plot, yet saying ""Peters does wonders with the medieval scene and with complex character relationships."""
common reed rhizome,common reed rhizome,"Sparganium eurycarpum is a species of bur-reed known by the common names broadfruit bur-reed and giant bur-reed.
It is a clonal perennial, spreading by below-ground rhizomes.
The common name, bur-reed, arises from the distinctive round clusters of fruits that take the form of a mace.
It can be distinguished from all other species of bur-reed by the presence of two stigmas.
This species frequently occurs in areas with spring flooding, and may be emersed during periods of lower water.
The buried rhizomes provide one method to survive periods of drought, fire, or ice scour.
It also produces large seeds, which can accumulate in the soil as buried reserves.
It can form dense stands under the right conditions; for example, Sparganium is one of the four main vegetation types in the Ottawa River, Canada.
Muskrats feed on the plant, particularly its rhizomes, while the seeds are an important food source for waterfowl.[1]"
common scouring rush herb,common scouring rush herb,"Equisetum (; horsetail, snake grass, puzzlegrass) is the only living genus in Equisetaceae, a family of vascular plants that reproduce by spores rather than seeds.Equisetum is a ""living fossil"", the only living genus of the entire class Equisetopsida, which for over 100 million years was much more diverse and dominated the understory of late Paleozoic forests.
The genus Calamites of the family Calamitaceae, for example, is abundant in coal deposits from the Carboniferous period.
The pattern of spacing of nodes in horsetails, wherein those toward the apex of the shoot are increasingly close together, inspired John Napier to invent logarithms.A superficially similar but entirely unrelated flowering plant genus, mare's tail (Hippuris), is occasionally referred to as ""horsetail"", and adding to confusion, the name mare's tail is sometimes applied to Equisetum.Despite centuries of use in traditional medicine, there is no evidence that Equisetum has any medicinal properties."
cordyceps,cordyceps,"Cordyceps  is a genus of ascomycete fungi (sac fungi) that includes about 400 species. Most Cordyceps species are endoparasitoids, parasitic mainly on insects and other arthropods (they are thus entomopathogenic fungi); a few are parasitic on other fungi.  The generic name Cordyceps is derived from the Greek word κορδύλη kordýlē, meaning ""club"", and the Latin word caput, meaning ""head"".The genus has a worldwide distribution and most of the approximately 400 species that have been described are from Asia (notably Nepal, China, Japan, Bhutan, Korea, Vietnam, and Thailand). Cordyceps species are particularly abundant and diverse in humid temperate and tropical forests."
coriander,coriander,"Coriander (; Coriandrum sativum) is an annual herb in the family Apiaceae. It is also known as Chinese parsley, and in North America the stems and leaves are usually called cilantro (). All parts of the plant are edible, but the fresh leaves and the dried seeds (as a spice) are the parts most traditionally used in cooking.
Most people perceive the taste of coriander leaves as a tart, lemon/lime taste, but a smaller group of about 3–21% of people tested (depending on ethnicity) think the leaves taste like dish soap,  linked to a gene which detects some specific aldehydes that are also used as odorant substances in many soaps and detergents."
coriolus versicolor,coriolus versicolor,"Trametes versicolor – also known as Coriolus versicolor and Polyporus versicolor – is a common polypore mushroom found throughout the world. Meaning 'of several colours', versicolor reliably describes this fungus that displays different colors. For example, because its shape and multiple colors are similar to those of a wild turkey, T. versicolor is commonly called turkey tail."
corn silk,corn silk,"Corn silk is a common name for the shiny, thread-like, weak fibers that grow as part of ears of corn (maize); the tuft or tassel of silky fibers that protrude from the tip of the ear of corn. The ear is enclosed in modified leaves called husks. Each individual fiber is an elongated style, attached to an individual ovary. The term probably originated somewhere between 1850 and 1855."
cornelian cherry,cornelian cherry,"Cornus mas (Cornelian cherry, European cornel or Cornelian cherry dogwood) is a species of flowering plant in the dogwood family Cornaceae native to Southern Europe and Southwestern Asia."
corydalis tuber,corydalis tuber,"Corydalis yanhusuo is a plant species in the genus Corydalis. The Chinese name for Corydalis yanhusuo is yan hu suo (Chinese: 延胡索; pinyin: yán hú suǒ; literally: 'extended barbarian rope'). The Japanese common name is engosaku (エンゴサク) and the Korean common name is hyeonhosaek (현호색). English common names include yanhusuo, corydalis, and Asian corydalis. The tuber of this plant, frequently mislabeled as the root, is an important therapeutic agent in traditional Chinese medicine. It is native to high-altitude grasslands across China including in the provinces of Anhui, Henan, Hubei, Hunan, Jiangsu, and Zhejiang, but is more widely cultivated."
costus root,costus root,"Costus is a group of perennial herbaceous plants in the family (Costaceae) described by Linnaeus as a genus in 1753.
It is widespread through tropical and subtropical regions of Asia, Africa, and the Americas.Costus is often characterized and distinguished from relatives such as Zingiber (true ginger) by its spiraling stems.
The genus as a whole is thus often called spiral gingers, but this can also refer to C.
Costus spectabilis is the floral emblem of Nigeria; its flowers are represented (erroneously in red instead of yellow color) on its coat of arms.
It is important not to confuse Costus speciosus, C.
with the herb known by the common name ""costus"".
Some species are of importance to herbivores, such as caterpillars of the restricted demon (Notocrypta curvifascia) which feed on Costus speciosus (crêpe ginger).
The crêpe ginger is also a source of diosgenin, a compound used for the commercial production of various steroids, such as progesterone."
cow-bezoar,cow-bezoar,"A bezoar is a mass found trapped in the gastrointestinal system, though it can occur in other locations. A pseudobezoar is an indigestible object introduced intentionally into the digestive system.There are several varieties of bezoar, some of which have inorganic constituents and others organic. The term has both a modern (medical, scientific) and a traditional usage."
crataegi folium,List of kampo herbs,"In 1967, the Japanese Ministry of Health, Labour and Welfare approved four kampo medicines for reimbursement under the National Health Insurance (NHI) program.
In 1976, 82 kampo medicines were approved by the Ministry of Health, Labour and Welfare.
Currently, 148 kampo medicines are approved for reimbursement.
The 14th edition of the Japanese Pharmacopoeia (JP) (日本薬局方 Nihon yakkyokuhō) lists 165 herbal ingredients that are approved to be used in kampo remedies.
Tsumura (ツムラ) is the leading maker;[3] they make 128 of the 148 kampo]] medicines.
The ""count"" column shows in how many of these 128 formulae the herb is found.
The most common herb  is Glycyrrhizae Radix (Chinese liquorice root).
Other common herbs are Zingiberis Rhizoma (ginger) (51 of 128 formulae) and Paeoniae Radix (Chinese peony root) (44 of 128 formulae).
""庶"" is usually substituted in Chinese and Japanese.
""梨"" is usually substituted in Chinese.
""梨"" or ""藜"" is usually substituted in Japanese."
creatine,creatine,"Creatine ( or ) is an organic compound with the nominal formula (H2N)(HN)CN(CH3)CH2CO2H.  This species exists in various modifications (tautomers) in solution.  Creatine is found in vertebrates where it facilitates recycling of adenosine triphosphate (ATP), the energy currency of the cell, primarily in muscle and brain tissue. Recycling is achieved by converting adenosine diphosphate (ADP) back to ATP via donation of phosphate groups. Creatine also acts as a buffer."
croton fruit,croton fruit,"Croton is an extensive flowering plant genus in the spurge family, Euphorbiaceae. The plants of this genus were described and introduced to Europeans by Georg Eberhard Rumphius.  The common names for this genus are rushfoil and croton, but the latter also refers to Codiaeum variegatum. The generic name comes from the Greek κρότος (krótos), which means ""tick"" and refers to the shape of the seeds of certain species."
crow-dipper rhizome,crow-dipper rhizome,"Pinellia ternata (Chinese: 半夏, Japanese: カラスビシャク), crow-dipper, is a plant native to China, Japan, and Korea, but also grows as an invasive weed in parts of Europe (Austria, Germany) and North America (California, Ontario, northeastern United States). The leaves are trifoliate, while the flowers are of the spathe and spadix form typical of plants in Araceae."
cuscuta seed,cuscuta seed,"Cuscuta ( ) (dodder) is a genus of about 100–170 species of yellow, orange, or red (rarely green) parasitic plants. Formerly treated as the only genus in the family Cuscutaceae, it now is accepted as belonging in the morning glory family, Convolvulaceae, on the basis of the work of the Angiosperm Phylogeny Group. The genus is found throughout the temperate and tropical regions of the world, with the greatest species diversity in subtropical and tropical regions; the genus becomes rare in cool temperate climates, with only four species native to northern Europe.Folk names include: strangle tare, scaldweed, beggarweed, lady's laces, fireweed, wizard's net, devil's guts, devil's hair, devil's ringlet, goldthread, hailweed, hairweed, hellbine, love vine, pull-down, strangleweed, angel hair, and witch's hair."
"cutch, black catechu","cutch, black catechu","Senegalia catechu is a deciduous, thorny tree which grows up to 15 m (50 ft) in height. The plant is called khair  in Hindi, and kachu in Malay, hence the name was Latinized to ""catechu"" in Linnaean taxonomy, as the type-species from which the extracts cutch and catechu are derived. Common names for it include kher, catechu, cachou, cutchtree, black cutch, and black catechu.
Senegalia catechu is found in parts of South Asia and Southeast Asia, including India, Myanmar, Thailand and Indonesia

Through derivatives of the flavanols in its extracts, the species has lent its name to the important catechins, catechols and catecholamines of chemistry and biology."
dahurian rhododendron leaf,dahurian rhododendron leaf,"This list compiles many of the common large shrubs and trees found in Canada. The Canadian flora is depauperate because of the near total glaciation event in the Pleistocene. Due to the vast area of Canada, a tree that is common in one area may be completely absent in another. In particular, many warm-temperate trees can only be grown on the mild Pacific coast (where gardens may contain additional species not listed here).
See also Provincial tree emblems of Canada for the official trees of the Provinces and Territories of Canada."
dandelion,dandelion,"Taraxacum () is a large genus of flowering plants in the family Asteraceae, which consists of species commonly known as dandelions.
The genus is native to Eurasia and North America, but the two commonplace species worldwide, T.
officinale and T.
erythrospermum, were introduced from Europe and now propagate as wildflowers.
The common name dandelion ( DAN-di-ly-ən, from French dent-de-lion, meaning ""lion's tooth"") is given to members of the genus.
Like other members of the family Asteraceae, they have very small flowers collected together into a composite flower head.
Each single flower in a head is called a floret.
In part due to their abundance along with being a generalist species, dandelions are one of the most vital early spring nectar sources for a wide host of pollinators.
Many Taraxacum species produce seeds asexually by apomixis, where the seeds are produced without pollination, resulting in offspring that are genetically identical to the parent plant."
datura flower,datura flower,"Datura is a genus of nine species of poisonous Vespertine flowering plants belonging to the family Solanaceae.
The Mexican common names Toloache and Tolguacha derive from the Nahuatl name Tolohuaxihuitl meaning ""the plant with the nodding head"" (in reference to the nodding seed capsules of Datura species belonging to section Dutra of the genus).
Datura species are native to dry, temperate, and subtropical regions of the Americas and are distributed mostly in Mexico, which is considered the center of its origin.
Its distribution within the Americas and North Africa, however, is most likely restricted to the United States, Mexico and Southern Canada in North America, and Tunisia in Africa where the highest species diversity occurs.
All species of Datura are poisonous, especially their seeds and flowers which can cause respiratory depression, arrhythmias, hallucinations, psychosis, as well as death if taken internally."
