,name_used,summary
Folium Artemisiae Argyi,Fuke Tongjing Wan,"Fuke Tongjing Wan (simplified Chinese: 妇科通经丸; traditional Chinese: 婦科通經丸) is a vermillion waxed pill with yellowish-brown core used in Traditional Chinese medicine to ""remove blood stasis and emmenagogue, to alleviate mental depression, and to relieve pain"". It tastes slightly salty. It is used where there is ""dysmenorrhea, amenorrhea, distension in the chest and diaphragm, distension and pain at loins and abdomen due to the stagnation of qi and blood"". It is typically taken with millet soup or yellow rice wine in the morning before breakfast, and is contraindicated in pregnancy and in patients with amenorrheal abdominalgia or loose stool due to deficiency in qi and blood.Chinese classic herbal formula
Bu Zhong Yi Qi Wan"
Folium Eriobotryae,List of kampo herbs,"In 1967, the Japanese Ministry of Health, Labour and Welfare approved four kampo medicines for reimbursement under the National Health Insurance (NHI) program.
In 1976, 82 kampo medicines were approved by the Ministry of Health, Labour and Welfare.
Currently, 148 kampo medicines are approved for reimbursement.
The 14th edition of the Japanese Pharmacopoeia (JP) (日本薬局方 Nihon yakkyokuhō) lists 165 herbal ingredients that are approved to be used in kampo remedies.
The most common herb  is Glycyrrhizae Radix (Chinese liquorice root).
Other common herbs are Zingiberis Rhizoma (ginger) (51 of 128 formulae) and Paeoniae Radix (Chinese peony root) (44 of 128 formulae).
""庶"" is usually substituted in Chinese and Japanese.
""梨"" or ""藜"" is usually substituted in Japanese.
The ""勿"" in ""藜"" should be replaced with ""刂"".The World of KampoTsumura Herb Handbook (in Japanese)
(ISBN 0-939616-42-4) Eastland Press Herb List Arranged by Pinyin
""Learner's Disney Character Dictionary of Chinese Medicine""Kampo list
Chinese classic herbal formula"
Folium Mori,Hydrangea macrophylla,"Hydrangea macrophylla is a species of flowering plant in the family Hydrangeaceae, native to Japan.
It is a deciduous shrub growing to 2 m (7 ft) tall by 2.5 m (8 ft) broad with large heads of pink or blue flowers in summer and autumn.
This is caused by a color change of the flower pigments in the presence of aluminium ions which can be taken up into hyperaccumulating plants.Hydrangea macrophylla is native to Japan and possibly Korea.
The inflorescence of Hydrangea macrophylla is a corymb, with all flowers placed in a plane or hemisphere, or even a whole sphere in cultivated forms.
The four sepals of decorative flowers have colors ranging from pale pink to red fuchsia purple to blue.
While Hydrangea macrophylla is not considered a particularly difficult plant to grow, it may fail to flower.
H. macrophylla forms flower buds in late summer."
Fructus Akebiae,Hederagenin,"Hederagenin is a triterpenoid which is a chemical constituent of the Hedera helix plant.
Hederagenin is the aglycone part of numerous saponins found in Hedera helix (common ivy), the most prevalent of these being hederacoside C and alpha-hederin.
HeadsUp Plant Protectant is made up of approximately equal ratios of the saponin aglycones oleanolic acid, hederagenin, and phytolaccagenic acid and is intended for use as a seed treatment on tuber (e.g. potato seed pieces), legume, and cereal seeds or as a pre-plant root dip for roots of transplants, at planting, to prevent fungal growth, bacterial growth, and viral plant diseases.
Betulinic acid
Boswellic acid
Glycyrrhetinic acid
Moronic acid
Oleanolic acid
Ursolic acid
Corosolic acid
Maslinic acid
Posselt in 1849 and named hederic acid.
However, Posselt was not able to isolate a pure substance or obtain an exact formula: his hederic acid was hederagenin mixed with some tannin impurity."
Fructus Amomi,Jintan (Japanese medicine),"Jintan (仁丹) is the patented name of a popular Japanese medicine/candy developed by Morishita Hiroshi (1869-1943) and sold from the early twentieth century to today.
Originally marketed as a cure-all for a number of ailments, Jintan is today thought of as a breath freshener only.
Morishita Hiroshi was the eldest son of a priest at the Nunakuma-Shrine (沼名前神社, Numakuma jinja) in Fukuyama (Hiroshima prefecture).
After his father died, Morishita went to Osaka and started to develop pharmaceutical products.
He was also a pioneer of Japanese advertising.Jintan has about 16 ingredients including cinnamon, mint, cumin, clove, and Fructus Amomi.
The silver coated pellet-like pills were advertised from 1904 through the end of World War II.
Osaka: Jintan, 1995.
Machida Shinobu: Jintan ha naze nigai?
Meiji-Taishōki no yakuhin kōkoku- zuhanshū.
Tokyo, Borantia jōhō-nettowaaku, 1997.Jintan website
Jintan MuseumDuring the Russo-Japanese War the packaging was re-designed as a Meiji period soldier in court dress with bicorne."
Fructus Amomi Rotundus,Xiangsha Yangwei Wan,"Xiangsha Yangwei Wan (simplified Chinese: 香砂养胃丸; traditional Chinese: 香砂養胃丸) is a black pill with a dark brown core, and is used in Traditional Chinese medicine to ""regulate the function of the stomach"". It is slightly aromatic and tastes pungent and slightly bitter. It is used when there are symptoms of ""anorexia, vomiting of acid fluid, epigastric distension and lassitude"".

Chinese classic herbal formula
Bu Zhong Yi Qi Wan"
Fructus Aristolochiae,Daochi Wan,"Daochi Wan (simplified Chinese: 导赤丸; traditional Chinese: 導赤丸) is a blackish-brown honeyed pill used in Traditional Chinese medicine to ""remove heat, quench fire, relieve dysuria and to relax bowels"". It is used in cases where there are ""ulcers in the mouth or on the tongue, sore throat, fidgetness and distress in the chest, micturition of small amount of red urine, and constipation due to virulent-internal-heat"".  
It tastes sweet and bitter.Chinese classic herbal formula
Bu Zhong Yi Qi Wan"
Fructus Aurantii,Synephrine,"As a pharmaceutical, m-synephrine (phenylephrine) is still used as a sympathomimetic (i.e. for its hypertensive and vasoconstrictor properties), mostly by injection for the treatment of emergencies such as shock, and rarely orally for the treatment of bronchial problems associated with asthma and hay-fever.It is important to distinguish between studies concerning synephrine as a single chemical entity (synephrine can exist in the form of either of two stereoisomers, d- and l-synephrine, which are chemically and pharmacologically distinct), and synephrine which is mixed with other drugs and/or botanical extracts in a ""Supplement"", as well as synephrine which is present as only one chemical component in a naturally-occurring mixture of phytochemicals such as the rind or fruit of a bitter orange."
Fructus Aurantii Immaturus,Synephrine,"As a pharmaceutical, m-synephrine (phenylephrine) is still used as a sympathomimetic (i.e. for its hypertensive and vasoconstrictor properties), mostly by injection for the treatment of emergencies such as shock, and rarely orally for the treatment of bronchial problems associated with asthma and hay-fever.It is important to distinguish between studies concerning synephrine as a single chemical entity (synephrine can exist in the form of either of two stereoisomers, d- and l-synephrine, which are chemically and pharmacologically distinct), and synephrine which is mixed with other drugs and/or botanical extracts in a ""Supplement"", as well as synephrine which is present as only one chemical component in a naturally-occurring mixture of phytochemicals such as the rind or fruit of a bitter orange."
Fructus Chebulae,Pomegranate ellagitannin,"The pomegranate ellagitannins, which include punicalagin isomers, are ellagitannins found in the fruit, rind (peel), bark or heartwood of pomegranates (Punica granatum).Pedunculagin, a compound found in the pericarp of the pomegranate (Punica granatum).
Punicacortein D, a compound found in the bark and heartwood of P.
Punicafolin, a compound found in the leaves of Punica granatum
Punicalagin, a compound found in  the pericarps of P.
Punicalin, a compound found in pomegranates or in the leaves of Terminalia catappa
Granatin A, a compound found in the pericarp of P.
Gallagic acid, a compound found in many ellagitannins
1,2,4,6-tetra-O-galloyl-β-D-glucose, a compound found in the leaves of P.
1,2,3,4,6-penta-O-galloyl-β-D-glucose, a compound found in the leaves of P.
Brevifolin, a compound found in the leaves of P.
Brevifolin carboxylic acid, a compound found in the leaves of P.
1,4,6-tri-O-galloyl-β-C-glucopyranose, a compound found in the leaves of P.
1,4,6-tri-O-galloyl-β-C-glucopyranose, a compound found in the leaves of P."
Fructus Cnidii,Cnidium monnieri,"Cnidium monnieri (L.) Cusson ex Juss., Monnier's snowparsley, is a flowering plant species in the genus Cnidium.
Also known as Shechuangzi, Osthole, Jashoshi, Cnidii Fructus (Fruits of Cnidium).
Dorling Kindersley, London 2003, ISBN 0-7513-3738-2.Cnidium monnieri at the United States Department of Agriculture
Cnidium monnieri in the Flora of ChinaCnidium monnieri produces compound umbels of white five-stellate flowers from April to July.
Jul–Oct.Cnidium monnieri (L.) Cuss.
monnieri, including the main active constituent, coumarins.
Although coumarins have been identified as the main active constituents responsible for the observed pharmacological effects, the molecular mechanisms of their actions are still unknown.
Grows in riparian grasslands and is adventive in North America (Oregon).The plants reach heights of 10 to 80 centimetres.Cnidium monnieri has bipinnate leaves that are alternate.
The linear leaflets are ciliate and petiolate.Cnidium monnieri was already described and the name validly published by Carl Linnaeus."
Fructus Corni,Cornus officinalis,"mas, which is also known as the ""Cornelian cherry."" The correct term would be Korean cornel dogwood or Chinese cornel dogwood since the flower originated from Korea and China.Cornus officinalis
officinalis has been shown to prevent hepatic injuries associated with acetaminophen-induced liver injury-induced hepatotoxicity (in mice) by preventing or alleviating oxidative stress.The chemical constituents isolated from the fruit (Corni fructus) have protective effects on beta cells in vitro, and may control postprandial hyperglycemia by alpha-glucosidase inhibition.Cornel iridoid glycoside, a chemical extracted from Cornus officinalis, promoted neurogenesis and angiogenesis and improved neurological function after ischemia in rats.A randomized, double-blinded, placebo-controlled study found that a Chinese herbal formula that mainly consisted of Cornus officinalis was not only effective at improving erectile function, but it was also safe for the treatment of erectile dysfunction.
A chemical substance isolated from Cornus officinalis also may enhance the motility of human sperm.Cell cultures of C."
Fructus Crotonis,Fuke Tongjing Wan,"Fuke Tongjing Wan (simplified Chinese: 妇科通经丸; traditional Chinese: 婦科通經丸) is a vermillion waxed pill with yellowish-brown core used in Traditional Chinese medicine to ""remove blood stasis and emmenagogue, to alleviate mental depression, and to relieve pain"". It tastes slightly salty. It is used where there is ""dysmenorrhea, amenorrhea, distension in the chest and diaphragm, distension and pain at loins and abdomen due to the stagnation of qi and blood"". It is typically taken with millet soup or yellow rice wine in the morning before breakfast, and is contraindicated in pregnancy and in patients with amenorrheal abdominalgia or loose stool due to deficiency in qi and blood.Chinese classic herbal formula
Bu Zhong Yi Qi Wan"
Fructus Evodiae,Zuojin Wan,"Zuojin Wan   (Chinese: 左金丸) is a yellowish-brown pill used in Traditional Chinese medicine to ""quench liver-fire, regulate the stomach function and relieve pain"". Indications include an ""attack of the stomach by liver-fire marked by epigastric and hypochondriac pain, bitterness in the mouth, heartburn and acid regurgitation, and a dislike for hot drinks"".Chinese classic herbal formula
Bu Zhong Yi Qi Wan"
Fructus Forsythiae,Baohe Wan,"Baohe Wan (Chinese: 保和丸) is a greyish-brown, slightly sour and astringent pill used in Traditional Chinese medicine to ""stimulate digestion, remove retained food and regulate the stomach function"". It is used in cases where there is ""retention of undigested food with epigastric and abdominal distension, foul belching, acid regurgitation and loss of appetite"".Chinese classic herbal formula
Bu Zhong Yi Qi Wan"
Fructus Gardeniae,Huanglian Shangqing Wan,"Huanglian Shangqing Wan (simplified Chinese: 黄连上清丸; traditional Chinese: 黃連上清丸) is a blackish-brown pill used in Traditional Chinese medicine to ""remove heat , ease constipation, dispel wind and relieve pain"".  It is aromatic, and it tastes bitter. It is used where there is ""Wind-heat in the upper part of the body, vertigo and head distension, painful and swollen gums, sores in the mouth or tongue, swollen throat, ear-ache, tinnitus, congestive conjunctivitis, constipation, or dark urine"".  The binding agent is honey. Each pill weighs about 6 grams.Chinese classic herbal formula
Bu Zhong Yi Qi Wan"
Fructus Kochiae,Momordin (saponin),"Momordin is one of several saponins derived from oleanolic acid, a triterpenoid.
balsamina), as well as in other Asian herbal medicine plants such as Kochia scoparia and Ampelopsis radix.Momordins include:
Momordin I, oleanolic acid 3-O-α-L-arabinopyranosyl(1→3)-β-D-glucuronopyranoside.
Found in the root of Momordica cochinchinensis where it constitutes 10% of the dried methanol extract.
Momordin Ic or (3β)-17-carboxy-28-norolean-12-en-3-yl 3'-O-(β-D-xylopyranosyl)-β-D-glucuronide (C41H64O13), CAS number 96990-18-0.
It is obtained as colorless fine crystals that decompose at 240 °C.
Momordin Id, from M.
Momordin Id, from M.
Momordin Id, from M.
Momordin Ie, CAS 96158-13-3.
Colorless needles, soluble in methanol, that melt at 240−245 °C.
Momordin IIa, from M.
Momordin IIb, from M.
Momordin IIc, either the same as oleanic acid or  (quinoside D)[β-D-glucopyranosyl 3-O-[β-D-xylopyranosyl-(1→3)-O-(β-D-glucopyranosyluronic acid)] oleanolate]
Momordin IId, from M.
Momordin IIe, CAS 96158-12-2.
Momordin III, 3β-hydroxy-11α, 12α-epoxy-olean-28,13-olide 3-O-α-L-arabinopyranosyl(1→3)-β-D-glucuronopyranoside.
Momordin (protein), unrelated enzymes (proteins) from Momordica and other plants."
Fructus Leonuri,Tongjing Wan,"Tongjing Wan (simplified Chinese: 痛经丸; traditional Chinese: 痛經丸) is a brownish-black pill used in Traditional Chinese medicine to ""promote blood flow, dispel cold, regulate menstruation and relieve pain"". It tastes slightly sweet and bitter. It is used where there is ""abdominal pain during menstruation due to stagnation of blood by cold "". Tongjing Wan is to be taken before menstruation.Chinese classic herbal formula
Bu Zhong Yi Qi Wan"
Fructus Ligustri lucidi,Ligustrum lucidum,"Ligustrum lucidum (broad-leaf privet, Chinese privet glossy privet, tree privet or wax-leaf privet) is a species of privet (genus Ligustrum), a flowering plant in the olive family, Oleaceae, native to the southern half of China and naturalized in many places: Spain, Italy, Algeria, Canary Islands, New Zealand, Lesotho, South Africa, Japan, Korea, Australia, Norfolk Island, Chiapas, Central America, Argentina, and the southern United States (California, Arizona, Maryland, and the southeast from Texas to North Carolina).
The Latin specific epithet lucidum means ""bright"" or ""shiny"", referring to the leaves.Plants for a Future: Ligustrum lucidumLigustrum lucidum is an evergreen tree growing to 10 m (33 ft) tall and broad.
It is classed as a noxious weed in New South Wales, Australia, and is similarly listed in New Zealand's National Pest Plant Accord.The seeds are known as nu zhen zi (female chastity seed/berry) in traditional Chinese medicine and are believed to nourish liver and kidney yin and jing in the treatment of tinnitus (ringing in the ears), vertigo (dizziness), premature graying of the hair, and soreness/weakness of the lower back and knees."
Fructus Lycii,Goji,"The plant parts are called by the Latin names  lycii fructus (fruit), herba lycii (leaves), etc., in modern official pharmacopeias.Since about 2000, goji berry and derived products became common in developed countries as health foods or alternative medicine remedies, extending from exaggerated and unproven claims about their health benefits.Young wolfberry shoots and leaves are harvested commercially as a leaf vegetable.Since the early 21st century, the dried fruit has been marketed in the Western world as a health food, with unsupported health claims about its benefits.
There have been also commercial products of whole and ground wolfberry seeds, and seed oil.Lycium barbarum had been introduced in the United Kingdom in the 1730s by The Duke of Argyll, but the plant was mostly used for hedges and decorative gardening.The UK Food Standards Agency (FSA) had initially placed goji berry in the Novel Foods list."
Fructus Momordicae,Fructus Momordicae,"The plant is cultivated for its fruit, whose extract is nearly 300 times sweeter than sugar and has been used in China as a low-calorie sweetener for cooling drinks and in traditional Chinese medicine.
The plant's fruit is often called in English language publications luo han guo or lo han kuo (from the Chinese luóhàn guǒ, 罗汉果/羅漢果).The scientific species name honors Gilbert Hovey Grosvenor, who as president of the National Geographic Society, helped to fund an expedition in the 1930s to find the living plant in China where it was being cultivated.Germination of seeds is slow and may take several months.
Seeds of the fruit, which had been bought in a Chinese shop in San Francisco, were entered into the botanic description of the species in 1941.The first research into the sweet component of luo han guo is attributed to C."
Fructus Mori,Shouwu Wan,"Shouwu Wan  (simplified Chinese: 首乌丸; traditional Chinese: 首烏丸) is a black pill used in Traditional Chinese medicine to ""replenish the liver and the kidney, strengthen the tendons and bones, and blacken the hair"". It tastes sweet and slightly bitter. It is used where there is ""deficiency syndrome of the liver and the kidney marked by dizziness, blurring of vision, tinnitus, aching of the loins, numbness of the limbs and premature greying of hair and beard, and hyperlipemia"".  The binding agent is honey.Chinese classic herbal formula
Bu Zhong Yi Qi Wan"
Fructus Mume,Smoked plum,"Smoked plum is the smoked fruit of Asian plums, used in East Asian cuisine and medicine.
It is called wūméi (乌梅; 烏梅) in Chinese, omae (오매; 烏梅) in Korean, and ubai (烏梅; うばい) in Japanese.Latin (pharmaceutical) name for smoked plums is Mume Fructus.In Traditional Korean medicine, smoked plums are considered conductant for the liver channel, spleen channel, lung channel, and large intestine channel.
It is reported to relieve phlegm, inhibit intestinal motility, and fight bacteria in pharmacologic experiments.In China, smoked plums are used to make suānméitāng, a sour plum drink.
In Korea, smoked plums are used to make traditional teas and drinks such as omae-cha (smoked plum tea) and jeho-tang (medicinal summer drink).Smoked plums, matte black to dark brown, with a rugged surface, have a unique flavor with a sour taste.
The fruit kernel is hard, olate, yellowish brown, 1–1.4 centimetres (0.39–0.55 in) long, 1 centimetre (0.39 in) wide, and 0.5 centimetres (0.20 in) thick, with a dotted surface."
Fructus Perillae,Chaihu Shugan Wan,"Chaihu Shugan Wan (Chinese: 柴胡舒肝丸) is a blackish-brown honeyed pill used in Traditional Chinese medicine to ""disperse stagnated liver-qi, to activate the flow of qi, to relieve distension and pain"".  It is used in cases where there is ""stagnation of liver qi, distension of chest and hypochondria, indigestion, and acid eructation"".Chinese classic herbal formula
Bu Zhong Yi Qi Wan"
Fructus Piperis,Chinese herbology,"Thus, the term ""medicinal"" (instead of herb) is usually preferred as a translation for 药 (pinyin: yào).Research into the effectiveness of traditional Chinese herbal therapy is of poor quality and often tainted by bias, with little or no rigorous evidence of efficacy.
Each of the Five Flavors corresponds to one of the zàng organs, which in turn corresponds to one of the Five Phases: A flavor implies certain properties and presumed therapeutic ""actions"" of a substance: saltiness ""drains downward and softens hard masses""; sweetness is ""supplementing, harmonizing, and moistening""; pungent substances are thought to induce sweat and act on qi and blood; sourness tends to be astringent (涩; 澀) in nature; bitterness ""drains heat, purges the bowels, and eliminates dampness"".The rhizome of Coptis chinensis is one of the bitterest herbs used in Chinese medicine."
Fructus Polygoni Orientalis,Chinese herbology,"Thus, the term ""medicinal"" (instead of herb) is usually preferred as a translation for 药 (pinyin: yào).Research into the effectiveness of traditional Chinese herbal therapy is of poor quality and often tainted by bias, with little or no rigorous evidence of efficacy.
Each of the Five Flavors corresponds to one of the zàng organs, which in turn corresponds to one of the Five Phases: A flavor implies certain properties and presumed therapeutic ""actions"" of a substance: saltiness ""drains downward and softens hard masses""; sweetness is ""supplementing, harmonizing, and moistening""; pungent substances are thought to induce sweat and act on qi and blood; sourness tends to be astringent (涩; 澀) in nature; bitterness ""drains heat, purges the bowels, and eliminates dampness"".The rhizome of Coptis chinensis is one of the bitterest herbs used in Chinese medicine."
Fructus Quisqualis,Combretum indicum,"Combretum indicum, also known as the Rangoon creeper or Chinese honeysuckle, is a vine with red flower clusters and native to tropical Asia.
It is not closely related to the true honeysuckle species Lonicera tragophylla which is also called the Chinese honeysuckle.The plant is used as an herbal medicine.
Decoctions of the root, seed or fruit can be used as antihelmintic to expel parasitic worms or for alleviating diarrhea.
Leaves can be used to relieve pain caused by fever.
The roots are used to treat rheumatism.The seeds of this and related species, Quisqualis fructus and Q.
It is toxic to the parasite and kills it in the digestive tract.QUISQUALIS INDICA Linn
Quisqualis indica L.
Quisqualis indica (PIER species info)
Madhumalati (Quisqualis indica)
The flowers are fragrant and tubular and their color varies from white to pink to red.
The niyog-niyogan is usually dispersed by water."
Fructus Rosae laevigatae,Shouwu Wan,"Shouwu Wan  (simplified Chinese: 首乌丸; traditional Chinese: 首烏丸) is a black pill used in Traditional Chinese medicine to ""replenish the liver and the kidney, strengthen the tendons and bones, and blacken the hair"". It tastes sweet and slightly bitter. It is used where there is ""deficiency syndrome of the liver and the kidney marked by dizziness, blurring of vision, tinnitus, aching of the loins, numbness of the limbs and premature greying of hair and beard, and hyperlipemia"".  The binding agent is honey.Chinese classic herbal formula
Bu Zhong Yi Qi Wan"
Fructus Tribuli,Mingmu Dihuang Wan,"Mingmu Dihuang Pills (simplified Chinese: 明目地黄丸; traditional Chinese: 明目地黃丸) is a blackish-brown pill used in Traditional Chinese medicine to ""nourish yin of the liver and the kidney, and to improve eyesight"". Its odor is slightly aromatic. It tastes sweet, bitter and astringent. It is used where there is ""deficiency of yin of the liver and the kidney marked by dryness of the eye, photophobia, blurred vision and lacrimination during exposure to the wind"". The binding agent is honey.

Chinese classic herbal formula
Bu Zhong Yi Qi Wan
Chinese ophthalmology"
Fructus Viticis,Huanglian Shangqing Wan,"Huanglian Shangqing Wan (simplified Chinese: 黄连上清丸; traditional Chinese: 黃連上清丸) is a blackish-brown pill used in Traditional Chinese medicine to ""remove heat , ease constipation, dispel wind and relieve pain"".  It is aromatic, and it tastes bitter. It is used where there is ""Wind-heat in the upper part of the body, vertigo and head distension, painful and swollen gums, sores in the mouth or tongue, swollen throat, ear-ache, tinnitus, congestive conjunctivitis, constipation, or dark urine"".  The binding agent is honey. Each pill weighs about 6 grams.Chinese classic herbal formula
Bu Zhong Yi Qi Wan"
Galla Chinensis,Galla Chinensis,"Rhus chinensis, the Chinese sumac, or nutgall tree, is a plant species in the genus Rhus.
Galls produced on the species that are called Chinese gall, Galla Chinensis, or Wu Bei Zi (五倍子) in Chinese, are a source of gallotannins, molecules of hydrolyzable tannins. Infestation of the tree by Chinese sumac aphids  (Melaphis chinensis Bell) may lead to production of a gall that is valued as a commercial product in China.
Chinese galls are used in traditional Chinese medicine for coughs, diarrhea, night sweats, dysentery, and intestinal and uterine bleeding.  Some research has suggested that chemical compounds found in Rhus chinensis possess in vitro antiviral, antibacterial, anticancer, hepatoprotective, antidiarrheal, and antioxidant activities. However, it is important to note that this evidence is not substantiated by multiple international researchers.  The aqueous extracts of the gall also inhibit alpha-glucosidase activity in vitro.Plants for a Future"
Ganoderma Lucidum seu Japonicum,Chinese herbology,"Thus, the term ""medicinal"" (instead of herb) is usually preferred as a translation for 药 (pinyin: yào).Research into the effectiveness of traditional Chinese herbal therapy is of poor quality and often tainted by bias, with little or no rigorous evidence of efficacy.
Each of the Five Flavors corresponds to one of the zàng organs, which in turn corresponds to one of the Five Phases: A flavor implies certain properties and presumed therapeutic ""actions"" of a substance: saltiness ""drains downward and softens hard masses""; sweetness is ""supplementing, harmonizing, and moistening""; pungent substances are thought to induce sweat and act on qi and blood; sourness tends to be astringent (涩; 澀) in nature; bitterness ""drains heat, purges the bowels, and eliminates dampness"".The rhizome of Coptis chinensis is one of the bitterest herbs used in Chinese medicine."
Ginkgo Folium,Ginkgo Folium,"While it may seem improbable that a single species may exist as a contiguous entity for many millions of years, many of the ginkgo's life-history parameters fit: Extreme longevity; slow reproduction rate; (in Cenozoic and later times) a wide, apparently contiguous, but steadily contracting distribution; and (as far as can be demonstrated from the fossil record) extreme ecological conservatism (restriction to disturbed streamside environments).The relationship of ginkgo to other plant groups remains uncertain.
Ginkgo, therefore, presents an ""ecological paradox"" because while it possesses some favorable traits for living in disturbed environments (clonal reproduction) many of its other life-history traits are the opposite of those exhibited by modern plants that thrive in disturbed settings (slow growth, large seed size, late reproductive maturity).Carl Linnaeus described the species in 1771, the specific epithet biloba derived from the Latin bis, ""two"" and loba, ""lobed"", referring to the shape of the leaves."
Herba Artemisiae Scopariae,Lidan Paishi Pian,"Lidan Paishi Pian (simplified Chinese: 利胆排石片; traditional Chinese: 利膽排石片) is a sugar-coated tablet or film-coated tablet with a brown core, used in Traditional Chinese medicine to ""remove damp-heat, increase the flow of bile and expel calculi"". It tastes bitter and salty.
It is used when there are symptoms of ""cholelithiasis, infection of the biliary tract, and cholecystitis"".A traditional Chinese doctor typically prescribes about 6 to 10 tablets for expelling calculi, and about 4 to 6 tablets for treating inflammation, twice a day.Chinese classic herbal formula
Bu Zhong Yi Qi Wan"
Herba Cistanches,Herba Cistanches,"They lack chlorophyll and obtain nutrients and water from the host plants whose roots they parasitize.Along with other members of the genus, Cistanche deserticola is the primary source of the Chinese herbal medicine cistanche (Chinese: 肉苁蓉, pinyin ròucōngróng).
Most of the medicinal claims have never been evaluated through clinical testing, and those claims that have been examined under controlled medical study are not supported.A variety of pharmacological effects of extracts or chemical compounds isolated from different species of Cistanche have been reported in in vitro studies or in rodent models.
Polysaccharides isolated from Cistanche deserticola have in vitro immunomodulatory effects in high doses, ""promoting the phagocytic and secretory functions of the phagocytic ability of peritoneal macrophage"".
Cistanche salsa extracts enhance antibody production in isolated human lymph node lymphocytes in vitro.
High doses of the chemical compound acteoside, isolated from Cistanche tubulosa, affected biomarkers related to aging in mice."
Herba Ephedrae,Gou pi gao,"Gou Pi Gao, translated word for word, literally means dog skin plaster, which is indicative of its history.Gou Pi Gao was traditionally literally a dog skin plaster, with herbal medicines smeared onto a dog skin.
In addition, modern chemicals are often added to the adhesive ""herbal"" mixture on the plaster, including ingredients such as menthol and camphor.Gou Pi Gao can be used to treat primarily muscle and tendon pains, caused by muscle sprains, tears, rheumatism, tendinitis and various other conditions.
The adhesive plaster is applied to the area in pain, and left on for 3–5 hours (preferably with heat treatment in order to increase the medicine's effectiveness).
Afterwards, it is removed, and the skin is left to rest for 2–3 hours, after which the Gou Pi Gao is reapplied.
Certain medical conditions, such as pregnancy, may result in a higher risk factor in taking the medicine, and one should contact his/her doctor to prevent the risk of complications."
Herba Hedyotis Diffusae,Hedyotis diffusa,"Hedyotis diffusa (Chinese: 白花蛇舌草; pinyin: báihuā shéshécǎo; literally: 'white flower snake-tongue grass', sometimes abbreviated to 蛇舌草 shéshécǎo) is a kind of herb used in traditional Chinese medicine. It is sometimes combined with Siraitia grosvenorii (simplified Chinese: 罗汉果; traditional Chinese: 羅漢果; pinyin: luóhànguǒ) to make hot drinks like Lohoguo of Guongsei (simplified Chinese: 罗汉果蛇舌草精; traditional Chinese: 羅漢果蛇舌草精; pinyin: luóhànguǒ shéshécǎo jīng) or Luohanguo Pearl and Sheshecao Beverage.Wild Hedyotis diffusa can be found in China, Japan, and Nepal."
Herba Houttuyniae,List of kampo herbs,"In 1967, the Japanese Ministry of Health, Labour and Welfare approved four kampo medicines for reimbursement under the National Health Insurance (NHI) program.
In 1976, 82 kampo medicines were approved by the Ministry of Health, Labour and Welfare.
Currently, 148 kampo medicines are approved for reimbursement.
The 14th edition of the Japanese Pharmacopoeia (JP) (日本薬局方 Nihon yakkyokuhō) lists 165 herbal ingredients that are approved to be used in kampo remedies.
The most common herb  is Glycyrrhizae Radix (Chinese liquorice root).
Other common herbs are Zingiberis Rhizoma (ginger) (51 of 128 formulae) and Paeoniae Radix (Chinese peony root) (44 of 128 formulae).
""庶"" is usually substituted in Chinese and Japanese.
""梨"" or ""藜"" is usually substituted in Japanese.
The ""勿"" in ""藜"" should be replaced with ""刂"".The World of KampoTsumura Herb Handbook (in Japanese)
(ISBN 0-939616-42-4) Eastland Press Herb List Arranged by Pinyin
""Learner's Disney Character Dictionary of Chinese Medicine""Kampo list
Chinese classic herbal formula"
Herba Inulae,Huanglian Shangqing Wan,"Huanglian Shangqing Wan (simplified Chinese: 黄连上清丸; traditional Chinese: 黃連上清丸) is a blackish-brown pill used in Traditional Chinese medicine to ""remove heat , ease constipation, dispel wind and relieve pain"".  It is aromatic, and it tastes bitter. It is used where there is ""Wind-heat in the upper part of the body, vertigo and head distension, painful and swollen gums, sores in the mouth or tongue, swollen throat, ear-ache, tinnitus, congestive conjunctivitis, constipation, or dark urine"".  The binding agent is honey. Each pill weighs about 6 grams.Chinese classic herbal formula
Bu Zhong Yi Qi Wan"
Herba Leonuri,Herba Leonuri,"Leonurus cardiaca, known as motherwort, is an herbaceous perennial plant in the mint family, Lamiaceae.
Originally from Central Asia and southeastern Europe, it is now found worldwide, spread largely due to its use as a herbal remedy.The herb contains the alkaloid leonurine.
Introduced to North America as a bee foraging plant and to attract bumble bees, this perennial herb is now considered invasive.
In 15th century Europe, motherwort was considered by some herbalists to protect against evil spirits.Leonurus cardiaca has a squarish stem which is clad in short hairs and is often purplish, especially near the nodes.
Flowers appear in leaf axils on the upper part of the plant and have three-lobed bracts.
The calyx of each flower is bell-shaped and has five lobes.
The upper lip is convex and covered with white hairs and the lower lip is three-lobed and downward-curving and spotted with red."
