,ConditionId,name_used,summary,url,toc
arsenic poisoning,273,Arsenic poisoning,"Arsenic poisoning is a medical condition that occurs due to elevated levels of arsenic in the body.
If arsenic poisoning occurs over a brief period of time symptoms may include vomiting, abdominal pain, encephalopathy, and watery diarrhea that contains blood.
Long-term exposure can result in thickening of the skin, darker skin, abdominal pain, diarrhea, heart disease, numbness, and cancer.The most common reason for long-term exposure is contaminated drinking water.
Recommended levels in water are less than 10–50 µg/L (10–50 parts per billion).
Diagnosis is by testing the urine, blood, or hair.Prevention is by using water that does not contain high levels of arsenic.
For acute poisonings treating dehydration is important.
Hemodialysis may also be used.Through drinking water, more than 200 million people globally are exposed to higher than safe levels of arsenic.
Acute poisoning is uncommon.
The toxicity of arsenic has been described as far back as 1500 BC in the Ebers papyrus.",https://en.wikipedia.org/wiki/Arsenic_poisoning,"[('Signs and symptoms', 'Cancer'), ('Causes', 'Drinking water', 'Groundwater'), ('Causes', 'Food'), ('Causes', 'Soil'), ('Causes', 'Air'), ('Causes', 'Pesticides'), ('Causes', 'Copper smelting'), ('Pathophysiology', 'Mechanism'), ('Pathophysiology', 'Kinetics'), ('Pathophysiology', 'Heat shock response'), ('Pathophysiology', 'Oxidative stress'), ('Diagnosis',), ('Treatment', 'Chelation'), ('Treatment', 'Nutrition'), ('History',), ('Legislation', 'Challenges to implementation'), ('Pregnancy',), ('See also',), ('References',), ('Further reading',), ('External links',)]"
arteries,227,Artery,"An artery (plural arteries) (from Greek  ἀρτηρία (artēria), meaning 'windpipe, artery') is a blood vessel that takes blood  away from the heart to all parts of the body (tissues, lungs, etc.). Most arteries carry oxygenated blood; the two exceptions are the pulmonary and the umbilical arteries, which carry deoxygenated blood to the organs that oxygenate it. The effective arterial blood volume is that extracellular fluid which fills the arterial system.
The arteries are part of the circulatory system, which is responsible for the delivery of oxygen and nutrients to all cells, as well as the removal of carbon dioxide and waste products, the maintenance of optimum blood pH, and the circulation of proteins and cells of the immune system.",https://en.wikipedia.org/wiki/Artery,"[('Structure', 'Development'), ('Function', 'Aorta'), ('Function', 'Capillaries'), ('Clinical significance',), ('History',), ('See also',), ('References',), ('External links',)]"
arteriosclerosis,228,Arteriosclerosis,"Arteriosclerosis is the thickening, hardening, and loss of elasticity of the walls of arteries. This process gradually restricts the blood flow to one's organs and tissues and can lead to severe health risks brought on by atherosclerosis, which is a specific form of arteriosclerosis caused by the buildup of fatty plaques, cholesterol, and some other substances in and on the artery walls. It can be brought on by smoking, a bad diet, or many genetic factors. Atherosclerosis is the primary cause of coronary artery disease (CAD) and stroke, with multiple genetic and environmental contributions. Genetic-epidemiologic studies have identified a surprisingly long list of genetic and non-genetic risk factors for CAD. However, such studies indicate that family history is the most significant independent risk factor.",https://en.wikipedia.org/wiki/Arteriosclerosis,"[('Signs and symptoms',), ('Pathophysiology',), ('Diagnosis',), ('Treatment',), ('Epidemiology',), ('History',), ('References',), ('Further reading',)]"
arthralgia,100,Arthralgia,"Arthralgia (from Greek arthro-, joint + -algos, pain) literally means joint pain. Specifically, arthralgia is a symptom of injury, infection, illness (in particular arthritis), or an allergic reaction to medication.According to MeSH, the term ""arthralgia"" should only be used when the condition is non-inflammatory, and the term ""arthritis"" should be used when the condition is inflammatory.",https://en.wikipedia.org/wiki/Arthralgia,"[('Causes',), ('Diagnosis',), ('Treatment',), ('See also',), ('References',)]"
arthritis,11,Arthritis,"Arthritis is a term often used to mean any disorder that affects joints.
Symptoms generally include joint pain and stiffness.
Other symptoms may include redness, warmth, swelling, and decreased range of motion of the affected joints.
In some types of arthritis, other organs are also affected.
The most common forms are osteoarthritis (degenerative joint disease) and rheumatoid arthritis.
Rheumatoid arthritis is an autoimmune disorder that often affects the hands and feet.
Other types include gout, lupus, fibromyalgia, and septic arthritis.
They are all types of rheumatic disease.Treatment may include resting the joint and alternating between applying ice and heat.
In some circumstances, a joint replacement may be useful.Osteoarthritis affects more than 3.8% of people while rheumatoid arthritis affects about 0.24% of people.
In Australia about 15% of people are affected, while in the United States more than 20% have a type of arthritis.",https://en.wikipedia.org/wiki/Arthritis,"[('Classification',), ('Signs and symptoms', 'Disability'), ('Diagnosis', 'Osteoarthritis'), ('Diagnosis', 'Rheumatoid arthritis'), ('Diagnosis', 'Lupus'), ('Diagnosis', 'Gout'), ('Diagnosis', 'Comparison of types'), ('Diagnosis', 'Other'), ('Treatment', 'Physical therapy'), ('Treatment', 'Medications'), ('Treatment', 'Surgery'), ('Treatment', 'Adaptive aids'), ('Treatment', 'Alternative medicine'), ('Epidemiology',), ('History',), ('Terminology',), ('See also',), ('References',), ('External links',)]"
ascariasis,719,Ascariasis,"Ascariasis is a disease caused by the parasitic roundworm Ascaris lumbricoides.
Infections have no symptoms in more than 85% of cases, especially if the number of worms is small.
Symptoms increase with the number of worms present and may include shortness of breath and fever in the beginning of the disease.
Children are most commonly affected, and in this age group the infection may also cause poor weight gain, malnutrition, and learning problems.Infection occurs by eating food or drink contaminated with Ascaris eggs from feces.
It is a type of soil-transmitted helminthiasis and part of a group of diseases called helminthiases.Prevention is by improved sanitation, which includes improving access to toilets and proper disposal of feces.
Other effective agents include tribendimidine and nitazoxanide.About 0.8 to 1.2 billion people globally have ascariasis, with the most heavily affected populations being in sub-Saharan Africa, Latin America, and Asia.
This makes ascariasis the most common form of soil-transmitted helminthiasis.
Another type of Ascaris infects pigs.",https://en.wikipedia.org/wiki/Ascariasis,"[('Signs and symptoms', 'Migrating larvae'), ('Signs and symptoms', 'Intestinal blockage'), ('Signs and symptoms', 'Bowel obstruction'), ('Signs and symptoms', 'Allergies'), ('Signs and symptoms', 'Malnutrition'), ('Signs and symptoms', 'Others'), ('Cause', 'Transmission'), ('Cause', 'Lifecycle'), ('Mechanism',), ('Diagnosis',), ('Prevention',), ('Treatment', 'Medications', 'Other medications'), ('Treatment', 'Surgery'), ('Prognosis',), ('Epidemiology', 'Regions'), ('Epidemiology', 'Infection estimates'), ('Epidemiology', 'Deaths'), ('Research',), ('Other animals',), ('Miscellaneous',), ('References',), ('External links',)]"
asthenopia,513,Eye strain,"When concentrating on a visually intense task, such as continuously focusing on a book or computer monitor, the ciliary muscle tightens.
Aging CRTs also often go slightly out of focus, and this can cause eye strain.
This causes the backlight to turn on and off for shorter intervals as the display becomes dimmer, creating noticeable flickering which causes eye fatigue.
A page or photograph with the same image twice slightly displaced (from a printing mishap, or a camera moving during the shot) can cause eye strain by the brain misinterpreting the image fault as diplopia and trying in vain to adjust the sideways movements of the two eyeballs to fuse the two images into one.
Eye strain can also happen when viewing a blurred image (including images deliberately partly blurred for censorship), due to the ciliary muscle tightening trying in vain to focus the blurring out.",https://en.wikipedia.org/wiki/Eye_strain,"[('Causes',), ('See also',), ('References',), ('External links',)]"
asthma,12,Asthma,"Depending on the person, asthma symptoms may become worse at night or with exercise.Asthma is thought to be caused by a combination of genetic and environmental factors.
Environmental factors include exposure to air pollution and allergens.
Other potential triggers include medications such as aspirin and beta blockers.
Asthma is classified according to the frequency of symptoms, forced expiratory volume in one second (FEV1), and peak expiratory flow rate.
Symptoms can be prevented by avoiding triggers, such as allergens and irritants, and by the use of inhaled corticosteroids.
Long-acting beta agonists (LABA) or antileukotriene agents may be used in addition to inhaled corticosteroids if asthma symptoms remain uncontrolled.
Treatment of rapidly worsening symptoms is usually with an inhaled short-acting beta-2 agonist such as salbutamol and corticosteroids taken by mouth.
It caused about 397,100 deaths in 2015, most of which occurred in the developing world.",https://en.wikipedia.org/wiki/Asthma,"[('Signs and symptoms', 'Associated conditions'), ('Causes', 'Environmental', 'Hygiene hypothesis'), ('Causes', 'Genetic'), ('Causes', 'Medical conditions'), ('Causes', 'Exacerbation'), ('Pathophysiology',), ('Diagnosis', 'Spirometry'), ('Diagnosis', 'Others'), ('Diagnosis', 'Classification', 'Asthma exacerbation'), ('Diagnosis', 'Classification', 'Exercise-induced'), ('Diagnosis', 'Classification', 'Occupational'), ('Diagnosis', 'Classification', 'Aspirin-induced asthma'), ('Diagnosis', 'Classification', 'Alcohol-induced asthma'), ('Diagnosis', 'Classification', 'Nonallergic asthma'), ('Diagnosis', 'Differential diagnosis'), ('Prevention',), ('Management', 'Lifestyle modification'), ('Management', 'Medications', 'Fast–acting'), ('Management', 'Medications', 'Long–term control'), ('Management', 'Medications', 'Delivery methods'), ('Management', 'Medications', 'Adverse effects'), ('Management', 'Others'), ('Management', 'Alternative medicine'), ('Prognosis',), ('Epidemiology',), ('Economics',), ('History',), ('References', 'Notes'), ('External links',)]"
ataxia telangiectasia,769,Ataxia–telangiectasia,"Ataxia–telangiectasia (AT or A–T), also referred to as ataxia–telangiectasia syndrome or Louis–Bar syndrome, is a rare, neurodegenerative, autosomal recessive disease causing severe disability.
It prevents repair of broken DNA, increasing the risk of cancer.Symptoms most often first appear in early childhood (the toddler stage) when children begin to sit or walk.
In late pre-school and early school age, they develop difficulty moving their eyes in a natural manner from one place to the next (oculomotor apraxia).
Because not all children develop in the same manner or at the same rate, it may be some years before A–T is properly diagnosed.
Most children with A–T have stable neurologic symptoms for the first 4–5 years of life, but begin to show increasing problems in early school years.
A–T is caused by a defect in the ATM gene, which is involved in the recognition and repair of damaged DNA.",https://en.wikipedia.org/wiki/Ataxia%E2%80%93telangiectasia,"[('Symptoms', 'Ataxia and other neurologic problems'), ('Symptoms', 'Telangiectasia'), ('Symptoms', 'Immune problems'), ('Symptoms', 'Cancer'), ('Symptoms', 'Skin'), ('Symptoms', 'Lung disease'), ('Symptoms', 'Feeding, swallowing, and nutrition'), ('Symptoms', 'Eye and vision'), ('Symptoms', 'Orthopedics'), ('Genetics',), ('Pathophysiology', 'Cancer and radiosensitivity'), ('Pathophysiology', 'Delayed pubertal development (gonadal dysgenesis)'), ('Pathophysiology', 'Immune system defects and immune-related cancers'), ('Pathophysiology', 'Progeric changes'), ('Pathophysiology', 'Telangiectasia'), ('Pathophysiology', 'Increased alpha-fetoprotein (AFP) levels'), ('Pathophysiology', 'Neurodegeneration'), ('Pathophysiology', 'Radiation exposure'), ('Diagnosis', 'Differential diagnosis'), ('Management', 'Ataxia and other neurologic problems'), ('Management', 'Immune problems'), ('Management', 'Lung disease'), ('Management', 'Feeding, swallowing and nutrition'), ('Management', 'Education and socialization', 'General recommendations'), ('Management', 'Treatment', 'N-Acetyl-Leucine'), ('Prognosis',), ('Epidemiology',), ('Research directions',), ('References',), ('External links',)]"
atherosclerosis,229,Atherosclerosis,"Atherosclerosis is a disease in which the inside of an artery narrows due to the build up of plaque.
Symptoms, if they occur, generally do not begin until middle age.The exact cause is not known.
Risk factors include abnormal cholesterol levels, high blood pressure, diabetes, smoking, obesity, family history, and an unhealthy diet.
Plaque is made up of fat, cholesterol, calcium, and other substances found in the blood.
The narrowing of arteries limits the flow of oxygen-rich blood to parts of the body.
Treatment of established disease may include medications to lower cholesterol such as statins, blood pressure medication, or medications that decrease clotting, such as aspirin.
A number of procedures may also be carried out such as percutaneous coronary intervention, coronary artery bypass graft, or carotid endarterectomy.Atherosclerosis generally starts when a person is young and worsens with age.
Almost all people are affected to some degree by the age of 65.",https://en.wikipedia.org/wiki/Atherosclerosis,"[('Definitions',), ('Signs and symptoms',), ('Risk factors', 'Modifiable'), ('Risk factors', 'Nonmodifiable'), ('Risk factors', 'Lesser or uncertain'), ('Risk factors', 'Dietary'), ('Mechanism', 'Cellular'), ('Mechanism', 'Calcification and lipids'), ('Mechanism', 'Visible features'), ('Mechanism', 'Rupture and stenosis'), ('Mechanism', 'Accelerated growth of plaques'), ('Mechanism', 'Components'), ('Diagnosis',), ('Prevention', 'Diet'), ('Prevention', 'Exercise'), ('Treatment', 'Statins'), ('Treatment', 'Surgery'), ('Treatment', 'Other'), ('Research', 'Lipids'), ('Research', 'miRNA'), ('Research', 'DNA damage'), ('Research', 'Microorganisms'), ('Economics',), ('See also',), ('References',), ('External links',)]"
athletic performance,32,Performance-enhancing substance,"Performance-enhancing substances, also known as performance-enhancing drugs (PED), are substances that are used to improve any form of activity performance in humans. A well-known example involves doping in sport, where banned physical performance–enhancing drugs are used by athletes and bodybuilders. Athletic performance-enhancing substances are sometimes referred to as ergogenic aids. Cognitive performance-enhancing drugs, commonly called nootropics, are sometimes used by students to improve academic performance. Performance-enhancing substances are also used by military personnel to enhance combat performance.The use of performance-enhancing drugs spans the categories of legitimate use and substance abuse.",https://en.wikipedia.org/wiki/Performance-enhancing_substance,"[('Definition',), ('Types',), ('Usage in sport',), ('See also',), ('References',), ('External links',)]"
atrophic,291,Atrophy,"Causes of atrophy include mutations (which can destroy the gene to build up the organ), poor nourishment, poor circulation, loss of hormonal support, loss of nerve supply to the target organ, excessive amount of apoptosis of cells, and disuse or lack of exercise or disease intrinsic to the tissue itself.
In medical practice, hormonal and nerve inputs that maintain an organ or body part are said to have trophic effects.
A diminished muscular trophic condition is designated as atrophy.
Atrophy is reduction in size of cell, organ or tissue, after attaining its normal mature growth.
In contrast, hypoplasia is the reduction in size of a cell, organ, or tissue that has not attained normal maturity.
When it occurs as a result of disease or loss of trophic support because of other diseases, it is termed pathological atrophy, although it can be a part of normal body development and homeostasis as well.",https://en.wikipedia.org/wiki/Atrophy,"[('Normal development',), ('Muscle atrophies',), ('Dystrophies, myositis, and motor neuron conditions',), ('Gland atrophy',), ('Vaginal atrophy',), ('Research',), ('See also',), ('References',)]"
attention deficit hyperactivity disorder,33,Attention deficit hyperactivity disorder,"Although it causes impairment, particularly in modern society, many people with ADHD can have sustained attention for tasks they find interesting or rewarding (known as hyperfocus).Despite being the most commonly studied and diagnosed mental disorder in children and adolescents, the exact cause is unknown in the majority of cases.
About 30–50% of people diagnosed in childhood continue to have symptoms into adulthood and between 2–5% of adults have the condition.
Canadian and American guidelines recommend that medications and behavioral therapy be used together as a first-line therapy, except in preschool-aged children.
Stimulant medication therapy is not recommended as a first-line therapy in preschool-aged children in either guideline.
Treatment with stimulants is effective for at least 14 months; however, their long-term effectiveness is unclear and there are potentially serious side effects.The medical literature has described symptoms similar to those of ADHD since the 18th century.",https://en.wikipedia.org/wiki/Attention_deficit_hyperactivity_disorder,"[('Signs and symptoms', 'Subtypes'), ('Signs and symptoms', 'Associated disorders'), ('Signs and symptoms', 'Intelligence'), ('Causes', 'Genetics'), ('Causes', 'Environment'), ('Causes', 'Society'), ('Pathophysiology', 'Brain structure'), ('Pathophysiology', 'Neurotransmitter pathways'), ('Pathophysiology', 'Executive function and motivation'), ('Diagnosis', 'Diagnostic and Statistical Manual'), ('Diagnosis', 'International Classification of Diseases'), ('Diagnosis', 'Adults'), ('Diagnosis', 'Differential diagnosis'), ('Diagnosis', 'Biomarker research'), ('Management', 'Behavioral therapies'), ('Management', 'Medication'), ('Management', 'Diet'), ('Prognosis',), ('Epidemiology',), ('History',), ('Controversy',), ('References',), ('Further reading',), ('External links',)]"
autistic disorder,414,Autism,"Autism is a developmental disorder characterized by difficulties with social interaction and communication, and by restricted and repetitive behavior.
These signs often develop gradually, though some children with autism experience worsening in their communication and social skills after reaching developmental milestones at a normal pace.Autism is associated with a combination of genetic and environmental factors.
The Diagnostic and Statistical Manual of Mental Disorders (DSM-5), combines autism and less severe forms of the condition, including Asperger syndrome and pervasive developmental disorder not otherwise specified (PDD-NOS) into the diagnosis of autism spectrum disorder (ASD).Early behavioral interventions or speech therapy can help children with autism gain self-care, social, and communication skills.
An autistic culture has developed, with some individuals seeking a cure and others believing autism should be accepted as a difference and not treated as a disorder.Globally, autism is estimated to affect 24.8 million people as of 2015.",https://en.wikipedia.org/wiki/Autism,"[('Characteristics', 'Social development'), ('Characteristics', 'Communication'), ('Characteristics', 'Repetitive behavior'), ('Characteristics', 'Other symptoms'), ('Causes',), ('Mechanism',), ('Diagnosis', 'Classification'), ('Screening',), ('Prevention',), ('Management', 'Education'), ('Management', 'Medication'), ('Management', 'Alternative medicine'), ('Prognosis',), ('Epidemiology',), ('History', 'Clinical development and diagnoses'), ('History', 'Terminology and distinction from schizophrenia'), ('Society and culture', 'Autism rights movement'), ('Society and culture', 'Employment'), ('References',), ('External links',)]"
autoimmune diseases,572,Autoimmune disease,"An autoimmune disease is a condition arising from an abnormal immune response to a normal body part.
There are at least 80 types of autoimmune diseases.
Common symptoms include low grade fever and feeling tired.
Often symptoms come and go.The cause is generally unknown.
Some autoimmune diseases such as lupus run in families, and certain cases may be triggered by infections or other environmental factors.
Some common diseases that are generally considered autoimmune include celiac disease, diabetes mellitus type 1, Graves' disease, inflammatory bowel disease, multiple sclerosis, psoriasis, rheumatoid arthritis, and systemic lupus erythematosus.
The diagnosis can be difficult to determine.Treatment depends on the type and severity of the condition.
While treatment usually improves symptoms, they do not typically cure the disease.About 24 million (7%) people in the United States are affected by an autoimmune disease.
Women are more commonly affected than men.
The first autoimmune diseases were described in the early 1900s.",https://en.wikipedia.org/wiki/Autoimmune_disease,"[('Signs and symptoms',), ('Causes',), ('Pathophysiology', 'Cryptic determinants/molecular sequestration'), ('Pathophysiology', 'Molecular mimicry'), ('Pathophysiology', 'Altered glycan theory'), ('Pathophysiology', 'Hygiene hypothesis'), ('Diagnosis',), ('Epidemiology',), ('Research',), ('History',), ('References',)]"
back pain,320,Back pain,"The lumbar area is the most common area affected.
The majority of back pain is nonspecific with no identifiable causes.
Common underlying mechanisms include degenerative or traumatic changes to the discs and facets joints, which can then cause secondary pain in the muscles, and  nerves, and referred pain to the bones, joints and extremities.
Diseases and inflammation of the gallbladder, pancreas, aorta, and kidneys may also cause referred pain in the back.
Back pain is common, with about nine out of ten adults experiencing it at some point in their life, and five out of ten working adults having it every year.
It is the most common cause of chronic pain, and is a major contributor of missed work and disability.
In the United States, acute low back pain is the fifth most common reason for physician visits and causes 40% of missed days off work.",https://en.wikipedia.org/wiki/Back_pain,"[('Classification',), ('Causes', 'Nonspecific'), ('Causes', 'Spinal disc disease'), ('Causes', 'Degenerative disease'), ('Causes', 'Infection'), ('Causes', 'Cancer'), ('Causes', 'Autoimmune'), ('Causes', 'Referred pain'), ('Causes', 'Risk factors'), ('Diagnosis', 'Imaging'), ('Diagnosis', 'Laboratory studies'), ('Diagnosis', 'Red flags'), ('Prevention',), ('Management', 'Nonspecific pain', 'Non medical'), ('Management', 'Nonspecific pain', 'Medication'), ('Management', 'Surgery'), ('Pregnancy',), ('Economics',), ('References',), ('External links',)]"
bacterial vaginosis,511,Bacterial vaginosis,"Common symptoms include increased vaginal discharge that often smells like fish.
Having BV approximately doubles the risk of infection by a number of other sexually transmitted infections, including HIV/AIDS.
It also increases the risk of early delivery among pregnant women.BV is caused by an imbalance of the naturally occurring bacteria in the vagina.
Diagnosis is suspected based on the symptoms, and may be verified by testing the vaginal discharge and finding a higher than normal vaginal pH, and large numbers of bacteria.
BV is often confused with a vaginal yeast infection or infection with Trichomonas.Usually treatment is with an antibiotic, such as clindamycin or metronidazole.
It is unclear if the use of probiotics or antibiotics affects pregnancy outcomes.BV is the most common vaginal infection in women of reproductive age.
The percentage of women affected at any given time varies between 5% and 70%.
In the United States about 30% of women between the ages of 14 and 49 are affected.",https://en.wikipedia.org/wiki/Bacterial_vaginosis,"[('Signs and symptoms', 'Complications'), ('Causes',), ('Diagnosis', 'Amsel criteria'), ('Diagnosis', 'Gram stain'), ('Diagnosis', 'Nugent score'), ('Prevention',), ('Treatment', 'Antibiotics'), ('Treatment', 'Probiotics'), ('Epidemiology',), ('References',)]"
"basal ganglia disease, biotin-responsive",211,Sydenham's chorea,"Sydenham's chorea, also known as chorea minor and historically referred to as St Vitus' dance, is a disorder characterized by rapid, uncoordinated jerking movements primarily affecting the face, hands and feet. Sydenham's chorea results from childhood infection with Group A beta-haemolytic Streptococcus and is reported to occur in 20–30% of people with acute rheumatic fever. The disease is usually latent, occurring up to 6 months after the acute infection, but may occasionally be the presenting symptom of rheumatic fever. Sydenham's chorea is more common in females than males and most below 16 years of age. Adult onset of Sydenham's chorea is comparatively rare and the majority of the adult cases are associated with exacerbation of chorea following childhood Sydenham's chorea.",https://en.wikipedia.org/wiki/Sydenham%27s_chorea,"[('Signs and symptoms',), ('Causes',), ('Diagnosis',), ('Treatment',), ('Prognosis',), ('History',), ('Etymology',), ('References',), ('Further reading',)]"
bedwetting,703,Nocturnal enuresis,"Nocturnal enuresis, also called bedwetting, is involuntary urination while asleep after the age at which bladder control usually begins.
Bedwetting in children and adults can result in emotional stress.
Complications can include urinary tract infections.Most bedwetting is a developmental delay—not an emotional problem or physical illness.
Only a small percentage (5 to 10%) of bedwetting cases have a specific medical cause.
Secondary nocturnal enuresis (SNE) is when a child or adult begins wetting again after having stayed dry.
Treatments range from behavioral therapy, such as bedwetting alarms, to medication, such as hormone replacement, and even surgery such as urethral dilatation.
Since most bedwetting is simply a developmental delay, most treatment plans aim to protect or improve self-esteem.
Treatment guidelines recommend that the physician counsel the parents, warning about psychological consequences caused by pressure, shaming, or punishment for a condition children cannot control.Bedwetting is the most common childhood complaint.",https://en.wikipedia.org/wiki/Nocturnal_enuresis,"[('Impact', 'Self-esteem'), ('Impact', 'Behavioral impact'), ('Impact', 'Punishment for bedwetting'), ('Impact', 'Families'), ('Impact', 'Sociopathy'), ('Causes', 'Unconfirmed'), ('Mechanism',), ('Diagnosis', 'Voiding diary'), ('Diagnosis', 'Physical examination'), ('Diagnosis', 'Classification', 'Primary nocturnal enuresis'), ('Diagnosis', 'Classification', 'Secondary nocturnal enuresis'), ('Diagnosis', 'Classification', 'Psychological definition'), ('Treatment', 'Effective'), ('Treatment', 'Condition management'), ('Treatment', 'Unproven'), ('Epidemiology',), ('History',), ('See also',), ('References',)]"
behavioral tic,274,Tic,"A tic is a sudden, repetitive, nonrhythmic motor movement or vocalization involving discrete muscle groups.  Tics can be invisible to the observer, such as abdominal tensing or toe crunching.  Common motor and phonic tics are, respectively, eye blinking and throat clearing.Tics must be distinguished from movements of other movement disorders such as chorea, dystonia, myoclonus; movements exhibited in stereotypic movement disorder or some autistic people, and the compulsions of obsessive–compulsive disorder (OCD) and seizure activity.",https://en.wikipedia.org/wiki/Tic,"[('Classification', 'Motor or phonic'), ('Classification', 'Simple or complex'), ('Characteristics',), ('Diagnosis', 'Differential diagnosis'), ('See also',), ('Notes',), ('External links',)]"
benign essential blepharospasm,275,Blepharospasm,"Blepharospasm is any abnormal contraction or twitch of the eyelid.
The condition should be distinguished from the more common, and milder, involuntary quivering of an eyelid, known as myokymia.
In most cases, blepharospasm symptoms last for a few days and then disappear without treatment, but in some cases the twitching is chronic and persistent, causing life-long challenges.
People have normal eyes, but for periods of time are effectively blind due to their inability to open their eyelids.
In contrast, the reflex blepharospasm is due to any pain in and around the eye.
It is of two types: essential and reflex blepharospasm.
The benign essential blepharospasm is a focal dystonia—a neurological movement disorder involving involuntary and sustained contractions of the muscles around the eyes.
Blepharospasm is sometimes part of benign fasciculation syndrome.
The word is from Greek: βλέφαρον / blepharon, eyelid, and σπασμός / spasmos, spasm, an uncontrolled muscle contraction.",https://en.wikipedia.org/wiki/Blepharospasm,"[('Signs and symptoms',), ('Causes',), ('Treatment',), ('See also',), ('References',), ('External links',)]"
benign prostatic hyperplasia,551,Benign prostatic hyperplasia,"Symptoms may include frequent urination, trouble starting to urinate, weak stream, inability to urinate, or loss of bladder control.
Complications can include urinary tract infections, bladder stones, and chronic kidney problems.The cause is unclear.
Medications like pseudoephedrine, anticholinergics, and calcium channel blockers may worsen symptoms.
Diagnosis is typically based on symptoms and examination after ruling out other possible causes.Treatment options including lifestyle changes, medications, a number of procedures, and surgery.
In those with mild symptoms weight loss, exercise, and decreasing caffeine intake is recommended.
In those with more significant symptoms, medications may include alpha blockers such as terazosin or 5α-reductase inhibitors such as finasteride.
BPH typically begins after the age of 40.
Half of males age 50 and over are affected.
After the age of 80 about 90% of males are affected.
Although prostate specific antigen levels may be elevated in males with BPH, the condition does not increase the risk of prostate cancer.",https://en.wikipedia.org/wiki/Benign_prostatic_hyperplasia,"[('Signs and symptoms',), ('Causes', 'Hormones'), ('Causes', 'Diet'), ('Causes', 'Degeneration'), ('Pathophysiology',), ('Diagnosis', 'Differential diagnosis', 'Medical conditions'), ('Diagnosis', 'Differential diagnosis', 'Medications'), ('Management', 'Lifestyle', 'Voiding position'), ('Management', 'Medications', 'Alpha blockers'), ('Management', 'Medications', '5α-Reductase inhibitors'), ('Management', 'Medications', 'Others'), ('Management', 'Self-catheterization'), ('Management', 'Surgery'), ('Management', 'Endovascular'), ('Management', 'Transurethral microwave thermotherapy'), ('Management', 'Alternative medicine'), ('Epidemiology',), ('References',), ('External links',)]"
benign prostatic hypertrophy,632,Benign prostatic hyperplasia,"Symptoms may include frequent urination, trouble starting to urinate, weak stream, inability to urinate, or loss of bladder control.
Complications can include urinary tract infections, bladder stones, and chronic kidney problems.The cause is unclear.
Medications like pseudoephedrine, anticholinergics, and calcium channel blockers may worsen symptoms.
Diagnosis is typically based on symptoms and examination after ruling out other possible causes.Treatment options including lifestyle changes, medications, a number of procedures, and surgery.
In those with mild symptoms weight loss, exercise, and decreasing caffeine intake is recommended.
In those with more significant symptoms, medications may include alpha blockers such as terazosin or 5α-reductase inhibitors such as finasteride.
BPH typically begins after the age of 40.
Half of males age 50 and over are affected.
After the age of 80 about 90% of males are affected.
Although prostate specific antigen levels may be elevated in males with BPH, the condition does not increase the risk of prostate cancer.",https://en.wikipedia.org/wiki/Benign_prostatic_hyperplasia,"[('Signs and symptoms',), ('Causes', 'Hormones'), ('Causes', 'Diet'), ('Causes', 'Degeneration'), ('Pathophysiology',), ('Diagnosis', 'Differential diagnosis', 'Medical conditions'), ('Diagnosis', 'Differential diagnosis', 'Medications'), ('Management', 'Lifestyle', 'Voiding position'), ('Management', 'Medications', 'Alpha blockers'), ('Management', 'Medications', '5α-Reductase inhibitors'), ('Management', 'Medications', 'Others'), ('Management', 'Self-catheterization'), ('Management', 'Surgery'), ('Management', 'Endovascular'), ('Management', 'Transurethral microwave thermotherapy'), ('Management', 'Alternative medicine'), ('Epidemiology',), ('References',), ('External links',)]"
beriberi,650,Berberis,"Berberis (), commonly known as barberry, is a large genus of deciduous and evergreen shrubs from 1–5 m (3.3–16.4 ft) tall, found throughout temperate and subtropical regions of the world (apart from Australia). Species diversity is greatest in South America and Asia; Europe, Africa and North America have native species as well. The best-known Berberis species is the European barberry, Berberis vulgaris, which is common in Europe, North Africa, the Middle East, and central Asia, and has been widely introduced in North America. Many of the species have spines on the shoots and along the margins of the leaves.",https://en.wikipedia.org/wiki/Berberis,"[('Description',), ('Ecology',), ('Cultivation',), ('Culinary uses',), ('Traditional medicine',), ('Other uses',), ('Gallery',), ('References',), ('External links',)]"
