,herb,common_names,background,know,learned,safety,safety_relations,know_relations,learned_relations,background_relations
22,Flaxseed and Flaxseed Oil,"
Common Names: 
  flaxseed, flax, linseed","
Over the thousands of years it’s been cultivated, flaxseed has had a variety of health and industrial uses. Around 500 B.C., Hippocrates wrote about flaxseed being a laxative, and pioneers in North America made flaxseed dressings for cuts and burns. Fiber from the plant is made into linen, and oil from the seed is used in paints, among other products.
Today, flaxseed and flaxseed oil are used as dietary supplements for constipation, diabetes, cholesterol, cancer, and other conditions.
Flaxseed is made into tablets, extracts, powder, and flour. The oil is also put in capsules.
","
There have been a number of studies in people of flaxseed and flaxseed oil, including their effect on hot flashes.
","
Flaxseed contains fiber, which generally helps with constipation. However, there’s little research on the effectiveness of flaxseed for constipation.
Studies of flaxseed and flaxseed oil to lower cholesterol levels have had mixed results. A 2009 research review found that flaxseed lowered cholesterol only in people with relatively high initial cholesterol levels.
Flaxseed doesn’t decrease hot flashes, studies from 2010 and 2012 suggest.
NCCIH is funding preliminary research on the potential role of substances in flaxseed for ovarian cancer, cardiovascular disease, metabolic syndrome, diabetes, asthma, and inflammation.
","
Don’t eat raw or unripe flaxseeds, which may contain potentially toxic compounds.
Flaxseed and flaxseed oil supplements seem to be well tolerated in limited amounts. Few side effects have been reported.
Avoid flaxseed and flaxseed oil during pregnancy as they may have mild hormonal effects. There’s little reliable information on whether it’s safe to use flaxseed when nursing.
Flaxseed, like any fiber supplement, should be taken with plenty of water, as it could worsen constipation or, in rare cases, cause an intestinal blockage. Both flaxseed and flaxseed oil can cause diarrhea.
","[('which', 'eat', 'potentially toxic compounds'), ('Flaxseed and flaxseed oil supplements', ''), ('Few side effects', ''), ('they', 'Avoid', 'mild hormonal effects'), ('it’s', 'There’s little reliable information on', 'flaxseed when nursing'), ('an intestinal blockage', 'taken with', 'Flaxseed cause'), ('Both flaxseed and flaxseed oil', 'can', 'cause diarrhea')]","[('', 'flaxseed and flaxseed oil, their, effect, hot flashes')]","[('which', 'contains', 'constipation'), ('', ''), ('Studies', 'had', 'mixed results'), ('flaxseed', 'found', 'relatively high initial cholesterol levels'), ('doesn’t', 'decrease', '2010'), ('NCCIH', 'funding', 'preliminary research, role, substances, flaxseed, cancer')]","[('health', 'had', 'it’s industrial uses'), ('Hippocrates', 'wrote about', 'cuts'), ('other products', 'made into', 'oil used'), ('dietary supplements', 'used as', 'flaxseed and flaxseed oil for diabetes cholesterol cancer other conditions'), ('tablets', 'made into', 'Flaxseed extracts powder flour'), ('in capsules', 'put', 'The oil')]"
23,Garlic,"
Common Name: 
  garlic","
Garlic is the edible bulb from a plant in the lily family. It was traditionally used for health purposes by people in many parts of the world, including the Egyptians, Greeks, Romans, Chinese, Japanese, and Native Americans.
Currently, garlic is used as a dietary supplement for many purposes, including high blood cholesterol, high blood pressure, and the common cold, as well as in attempts to prevent cancer and other diseases.
Fresh garlic, garlic powder, and garlic oil are used to flavor foods. Garlic dietary supplements are sold as tablets or capsules. Garlic oil may be used topically (applied to the skin).
","
A great deal of research has been done on garlic, but much of it consists of small, preliminary, or low-quality studies.
","
There’s conflicting evidence about whether garlic lowers blood cholesterol levels. If it does, the effect is small, and low-density lipoprotein (LDL) cholesterol (the so-called “bad” cholesterol that’s linked to increased heart disease risk) may not be reduced at all.
Garlic may be helpful for high blood pressure, but the evidence is weak.
Some studies indicate that certain groups of people who eat more garlic may be less likely to develop certain cancers, such as stomach and colon cancers. However, garlic in dietary supplement form has not been shown to help reduce the risk of these cancers. The National Cancer Institute recognizes garlic as one of several vegetables with potential anticancer properties but does not recommend using garlic dietary supplements for cancer prevention.
There’s not enough evidence to show whether garlic is helpful for the common cold.
","
Garlic is probably safe for most people in the amounts usually eaten in foods.
Side effects include breath and body odor, heartburn, and upset stomach. These side effects can be more noticeable with raw garlic. Some people have allergic reactions to garlic.
Taking garlic may increase the risk of bleeding. If you take an anticoagulant (blood thinner) such as warfarin (Coumadin) or if you need surgery, tell your health care provider if you’re taking or planning to take garlic dietary supplements.
Garlic has been found to interfere with the effectiveness of some drugs, including saquinavir, a drug used to treat HIV infection.
","[('most people', 'is', 'in foods'), ('Side effects', 'include', 'breath'), ('These side effects', 'be', 'raw garlic'), ('Some people', 'have', 'to garlic'), ('Taking', 'increase', 'bleeding'), ('you’re', 'tell', 'garlic dietary supplements'), ('HIV infection', 'found', 'Garlic with of including')]","[('small', 'done on', '\nA great deal consists preliminary low-quality studies')]","[('garlic', '\nThere’s conflicting evidence about', 'blood cholesterol levels'), ('at all', 'is small', 'cholesterol to'), ('Garlic', ''), ('who', 'indicate', 'certain cancers, stomach'), ('the risk', 'shown', 'garlic in of'), ('The National Cancer Institute', 'recognizes', 'cancer prevention'), ('garlic', 'There’s', 'the common cold')]","[('\nGarlic', 'is', 'the lily family'), ('the Egyptians', 'used for', 'It Greeks Romans Chinese Japanese Native Americans'), ('cancer', 'used as', 'garlic including pressure common in attempts other diseases'), ('foods', 'used', 'garlic oil'), ('tablets', 'sold as', 'Garlic dietary supplements capsules'), ('the skin', 'used', 'Garlic oil')]"
24,Ginger,"
Common Name: 
  ginger","
Ginger is a tropical plant that has green-purple flowers and a fragrant underground stem (called a rhizome). It is widely used as a flavoring or fragrance in foods, beverages, soaps, and cosmetics.
Ancient Sanskrit, Chinese, Greek, Roman, and Arabic texts discussed the use of ginger for health-related purposes. In Asian medicine, dried ginger has been used for thousands of years to treat stomach ache, diarrhea, and nausea.
Today, ginger is used as a dietary supplement for postsurgery nausea; nausea caused by motion, chemotherapy, or pregnancy; rheumatoid arthritis; and osteoarthritis.
Common forms of ginger include the fresh or dried root, tablets, capsules, liquid extracts, and teas.
","
There’s some information from studies in people on the use of ginger for nausea and vomiting.
Much less is known about other uses of ginger for other health conditions.
","
Some evidence indicates that ginger may help relieve pregnancy-related nausea and vomiting.
Ginger may help to control nausea related to cancer chemotherapy when used in addition to conventional anti-nausea medication.
It’s unclear whether ginger is helpful for postsurgery nausea, motion sickness, rheumatoid arthritis, or osteoarthritis.
","
Ginger, when used as a spice, is believed to be generally safe.
In some people, ginger can have mild side effects such as abdominal discomfort, heartburn, diarrhea, and gas.
Some experts recommend that people with gallstone disease use caution with ginger because it may increase the flow of bile.
Research has not definitely shown whether ginger interacts with medications, but concerns have been raised that it might interact with anticoagulants (blood thinners).
Although several studies have found no evidence of harm from taking ginger during pregnancy, it’s uncertain whether ginger is always safe for pregnant women. If you’re considering using ginger while you’re pregnant, consult your health care provider.
","[('a spice', '\nGinger', '\nGinger'), ('ginger', 'have', 'abdominal discomfort'), ('it', 'recommend', 'of bile'), ('medications', 'shown', 'concerns raised with'), ('ginger', 'uncertain', 'pregnancy, women'), ('you’re', 'consult', 'your health care provider')]","[('\nThere’s', 'information', 'nausea and vomiting'), ('other health conditions', 'known about', 'less about')]","[('ginger', 'indicates', 'pregnancy-related nausea and vomiting'), ('Ginger', 'help', 'nausea, chemotherapy, anti-nausea medication'), ('ginger', 'unclear', 'or osteoarthritis')]","[('that', 'is', 'green-purple flowers'), ('foods', 'used as', 'It fragrance beverages soaps'), ('Ancient Sanskrit', 'discussed', 'health-related purposes'), ('stomach ache', 'used', 'dried ginger diarrhea'), ('', 'ginger as for by chemotherapy pregnancy arthritis and osteoarthritis'), ('Common forms', 'include', 'the fresh or dried root')]"
25,Ginkgo,"
Common Names: 
  ginkgo, Ginkgo biloba, fossil tree, maidenhair tree, Japanese silver apricot, baiguo, yinhsing","
Ginkgo, one of the oldest living tree species in the world, has a long history in traditional Chinese medicine. Members of the royal court were given ginkgo nuts for senility. Other historical uses for ginkgo were for asthma, bronchitis, and kidney and bladder disorders.
Today, the extract from ginkgo leaves is used as a dietary supplement for many conditions, including dementia, eye problems, intermittent claudication (leg pain caused by narrowing arteries), tinnitus, and other health problems.
Ginkgo is made into tablets, capsules, extracts, tea, and cosmetics.
","
There have been a lot of studies on the possible health effects and risks of people using ginkgo.
","
There’s no conclusive evidence that ginkgo is helpful for any health condition.
Ginkgo doesn’t help prevent or slow dementia or cognitive decline, according to studies, including the long-term Ginkgo Evaluation Memory Study, which enrolled more than 3,000 older adults and was funded in part by the National Center for Complementary and Integrative Health (NCCIH).
There’s no strong evidence that ginkgo helps with memory enhancement in healthy people, blood pressure, intermittent claudication, tinnitus, age-related macular degeneration, the risk of having a heart attack or stroke, or with other conditions.
Ongoing NCCIH-funded research is looking at whether a compound in ginkgo may help with diabetes.
","
For many healthy adults, ginkgo appears to be safe when taken by mouth in moderate amounts.
Side effects of ginkgo may include headache, stomach upset, and allergic skin reactions. If you’re older, have a known bleeding risk, or are pregnant you should be cautious about ginkgo possibly increasing your risk of bleeding.
In a 2013 research study, rodents given ginkgo had an increased risk of developing liver and thyroid cancer at the end of the 2-year tests.
Ginkgo may interact with some conventional medications, including anticoagulants (blood thinners), research reviews show.
Eating fresh (raw) or roasted ginkgo seeds can be poisonous and have serious side effects.
","[('ginkgo', 'appears', 'moderate amounts'), ('stomach', 'include', 'headache'), ('you', 'have', 'your risk'), ('rodents', 'had', 'an increased risk, liver, end, 2-year tests'), ('Ginkgo', ''), ('Eating', 'be poisonous', 'serious side effects')]","[('', 'using ginkgo')]","[('ginkgo', 'evidence', 'any health condition'), ('which', 'prevent', 'Complementary and Integrative Health (NCCIH'), ('ginkgo', 'evidence', 'other conditions'), ('a compound', 'looking at', 'with diabetes')]","[('\nGinkgo', 'has', 'traditional Chinese medicine'), ('senility', 'given', 'Members'), ('Other historical uses', ''), ('narrowing arteries', 'used as', 'the extract from eye problems intermittent claudication tinnitus other health problems'), ('tablets', 'made into', 'Ginkgo capsules extracts tea')]"
26,Goldenseal,"
Common Names: 
  goldenseal, yellow root","
Goldenseal is a plant native to North America. Overharvesting and loss of habitat have decreased the availability of wild goldenseal, but the plant is now grown commercially in the United States, especially in the Blue Ridge Mountains.
Historically, Native Americans used goldenseal for skin disorders, ulcers, fevers, and other conditions. European settlers adopted it as a medicinal plant, using it for a variety of conditions.
Currently, goldenseal is used as a dietary supplement for colds and other respiratory tract infections, allergic rhinitis (hay fever), ulcers, and digestive upsets such as diarrhea and constipation. It is also used as a mouthwash for sore gums and as an eyewash for eye inflammation, and it is applied to the skin for rashes and other skin problems.
The roots of goldenseal are dried and used to make teas, extracts, tablets, or capsules. Goldenseal is often combined with echinacea in commercial products.
","
Very little research has been done on the health effects of goldenseal.
","
The scientific evidence does not support the use of goldenseal for any health-related purpose.
Berberine, a substance found in goldenseal, has been studied for heart failure, diarrhea, infections, and other health conditions. However, when people take goldenseal orally (by mouth), very little berberine may be absorbed by the body or enter the bloodstream, so study results on berberine may not apply to goldenseal.
The National Center for Complementary and Integrative Health (NCCIH) is funding research to study how goldenseal may act against bacteria and to develop research-grade goldenseal for use in human studies.
","
There isn’t much reliable information on the safety of goldenseal.
Women who are pregnant or breastfeeding should not use goldenseal, and it should not be given to infants. Berberine can cause or worsen jaundice in newborn infants and could lead to a life-threatening problem called kernicterus.
Goldenseal contains substances that may change the way your body processes many medications. If you’re taking medication, consult your health care provider before using goldenseal.
","[('', 'the safety of goldenseal'), ('goldenseal', 'use', 'it given to'), ('Berberine', 'cause', 'a life-threatening problem called kernicterus'), ('your body', 'contains', 'many medications'), ('you’re', 'consult', 'using goldenseal')]","[('the health effects of goldenseal', 'done on', '\nVery little research')]","[('\nThe scientific evidence', 'support', 'any health-related purpose'), ('goldenseal', 'studied', 'Berberine for diarrhea infections conditions'), ('to goldenseal', 'absorbed', 'very little berberine by enter on'), ('goldenseal', 'funding', 'human studies')]","[('\nGoldenseal', 'is', 'North America'), ('the Blue Ridge Mountains', 'decreased', 'the plant grown'), ('Native Americans', 'used', 'skin disorders'), ('European settlers', 'adopted', 'a variety of conditions'), ('colds', 'used as', 'goldenseal other respiratory tract infections allergic rhinitis ulcers digestive upsets such constipation'), ('rashes', 'used as', 'it applied to other skin problems'), ('teas', 'dried', 'The roots used extracts tablets capsules'), ('commercial products', 'combined with', 'Goldenseal')]"
27,Grape Seed Extract,"
Common Names: 
  grape seed extract, grape seed","
Since ancient Greece people have used grapes, grape leaves, and sap for health purposes. Grape seed extract was developed in the 1970s.
Today, grape seed extract is used as a dietary supplement for various conditions, including for venous insufficiency (when veins have problems sending blood from the legs back to the heart), to promote wound healing, and to reduce inflammation.
Grape seed extract contains the antioxidant compound oligomeric proanthocyanidin (OPC), which has been studied for a variety of health conditions.
OPCs are found in extracts of grape skin and seeds, which are by-products of the wine industry. Grape seed extract is available in capsules and tablets and as a liquid.
","
There are a few well-controlled studies of people using grape seed extract for health conditions.
","
Some studies suggest that compounds in grape seed extract may reduce edema (swelling) and help with symptoms of chronic venous insufficiency, but the evidence isn’t strong.
Grape seed extract may have some heart benefits, including lowering systolic blood pressure and heart rate. The lower heart rate may cause the decrease in systolic blood pressure. The extract had no effect on lipid levels such as cholesterol or C-reactive protein, an indication of inflammation in your arteries.
The National Center for Complementary and Integrative Health (NCCIH) is supporting preliminary research on grape seed extract for Alzheimer’s disease and also for hereditary hemochromatosis, when the body’s iron levels are too high. The National Cancer Institute is supporting preliminary studies on grape seed extract for preventing prostate, lung, and colon cancer.
","
Grape seed extract is generally well tolerated when taken in moderate amounts. It has been tested safely for up to 14 weeks in studies of people. It’s possibly unsafe if you have a bleeding disorder or are going to have surgery or if you take anticoagulants (blood thinners), such as warfarin or aspirin.
","[('', '\nGrape seed extract in'), ('people', 'tested', 'It for in'), ('you', 'unsafe', 'anticoagulants, or aspirin')]","[('', 'health conditions')]","[('compounds', 'suggest', 'edema, symptoms, insufficiency'), ('Grape seed extract', 'have', 'some heart benefits, pressure'), ('The lower heart rate', 'cause', 'the decrease, pressure'), ('The extract', 'had', 'no effect, levels, cholesterol, inflammation, your arteries'), ('the body’s iron levels', 'supporting', 'preliminary research, extract, disease'), ('The National Cancer Institute', 'supporting', 'prostate')]","[('grape', 'leaves', 'health purposes'), ('', 'Grape seed extract in'), ('wound healing', 'used', 'grape seed extract as for including for to reduce inflammation'), ('the antioxidant compound oligomeric proanthocyanidin', 'contains', 'which for of'), ('the wine industry', 'found', 'OPCs in of seeds'), ('Grape seed extract', '')]"
28,Green Tea,"
Common Name: 
  green tea","
Green, black, and oolong teas all come from the same plant, Camellia sinensis, but are prepared using different methods. To produce green tea, fresh leaves from the plant are lightly steamed.
Tea has been used for medicinal purposes in China and Japan for thousands of years.
Current uses of green tea as a beverage or dietary supplement include improving mental alertness, relieving digestive symptoms and headaches, and promoting weight loss. Green tea and its extracts, such as one of its components, EGCG, have been studied for their possible protective effects against heart disease and cancer.
Green tea is consumed as a beverage. It is also sold in liquid extracts, capsules, and tablets and is sometimes used in topical products (intended to be applied to the skin).
","
Although many studies have been done on green tea and its extracts, definite conclusions cannot yet be reached on whether green tea is helpful for most of the purposes for which it is used.
","
There’s evidence that green tea enhances mental alertness, as would be expected because of its caffeine content.
The U.S. Food and Drug Administration has approved a specific green tea extract ointment as a prescription drug for treating genital warts.
Studies of green tea and cancer in people have had inconsistent results. The National Cancer Institute does not recommend for or against using green tea to reduce the risk of any type of cancer.
Very few long-term studies have investigated the effects of tea on heart disease risk. However, the limited evidence currently available suggests that both green and black tea might have beneficial effects on some heart disease risk factors, including blood pressure and cholesterol.
Green tea extracts haven’t been shown to produce a meaningful weight loss in overweight or obese adults. They also haven’t been shown to help people maintain a weight loss.
The National Center for Complementary and Integrative Health (NCCIH) is funding research on green tea and its extracts, including studies of the effects of high doses of tea components on the liver, whether substances in green tea can be helpful for iron overload disease, and the safety of a component of green tea in people who are HIV-positive.
","
Green tea, when consumed as a beverage, is believed to be safe when used in moderate amounts.
Liver problems have been reported in a small number of people who took concentrated green tea extracts. Although the evidence that the green tea products caused the liver problems is not conclusive, experts suggest that concentrated green tea extracts be taken with food and that people discontinue use and consult a health care provider if they have a liver disorder or develop symptoms of liver trouble, such as abdominal pain, dark urine, or jaundice.
Except for decaffeinated green tea products, green tea and green tea extracts contain substantial amounts of caffeine. Too much caffeine can make people feel jittery and shaky; interfere with sleep; and cause headaches.
Green tea has been shown to reduce blood levels (and therefore the effectiveness) of the drug nadolol, a beta-blocker used for high blood pressure and heart problems. It may also interact with other medicines.
","[('', 'moderate amounts'), ('concentrated green tea extracts', 'reported in', 'Liver problems'), ('symptoms', 'suggest', 'concentrated green tea extracts discontinue consult develop of such urine or jaundice'), ('green tea', 'contain', 'substantial amounts, caffeine'), ('people', 'make', 'sleep'), ('blood levels', 'shown', 'Green tea effectiveness of for problems'), ('It', '')]","[('which', 'reached on', 'definite conclusions')]","[('green tea', '\nThere’s evidence', 'its caffeine content'), ('The U.S. Food and Drug Administration', 'approved', 'genital warts'), ('Studies', 'had', 'inconsistent results'), ('The National Cancer Institute', 'recommend for', 'the risk, of cancer'), ('Very few long-term studies', 'investigated', 'the effects, tea, risk'), ('both green and black tea', 'suggests', 'beneficial effects, factors, and cholesterol'), ('a meaningful weight loss', 'shown', 'haven’t in obese'), ('a weight loss', 'shown', 'haven’t'), ('who', 'funding', 'people')]","[('all', 'come from', 'different methods'), ('fresh leaves', 'leaves from', 'the plant'), ('thousands of years', 'used for', 'Tea Japan'), ('Current uses', 'include', 'weight loss'), ('', 'Green tea its extracts such of for against'), ('a beverage', 'consumed as', 'Green tea'), ('the skin', 'sold', 'It in capsules tablets used in')]"
29,Hawthorn,"
Common Names: 
  hawthorn, English hawthorn, oneseed hawthorn, harthorne, haw, hawthorne","
Hawthorn is a flowering shrub or tree of the rose family. It is native to Europe and grows in temperate regions throughout the world.
Historically, hawthorn has been used for heart disease as well as for digestive and kidney problems. It has also been used for anxiety.
Extracts from the hawthorn leaf, flower, or berry may be sold as capsules, tablets, or liquids.
","
Hawthorn has been studied for heart failure in people. Heart failure is a condition in which the heart can’t pump as much blood as it should.
Not much is known about hawthorn for any other health conditions as there is little or no evidence.
","
Although some older, short-term studies suggested that hawthorn may have benefits in patients with heart failure, two longer term studies completed in 2008 and 2009—including a 2-year trial involving almost 2,700 people in 13 European countries—did not confirm these benefits. In these studies, unlike some of the older ones, patients were given hawthorn in addition to the recommended conventional treatments for heart failure.
","
In most studies of hawthorn for heart failure, no serious safety problems have been reported. However, in one study, patients taking hawthorn were more likely than those taking a placebo (an inactive substance) to have their heart failure get worse soon after the study started. The reason for this is not clear, but one possibility is that hawthorn might have interacted with drugs the patients were taking.
Side effects of hawthorn can include dizziness, nausea, and digestive symptoms.
Hawthorn may interact in harmful ways with drugs, including some heart medications. If you’re taking medication and you’re considering using hawthorn, consult your health care provider.
","[('most studies', 'In', 'no serious safety problems'), ('the study', 'were', 'their heart failure'), ('hawthorn', 'is', 'this, drugs'), ('Side effects', 'include', 'dizziness'), ('Hawthorn', ''), ('you’re', 'considering', 'your health care provider')]","[('', '\nHawthorn for in'), ('Heart failure', 'is', 'it should'), ('any other health conditions', 'known about', 'much no evidence')]","[('two longer term studies', 'confirm', 'these benefits'), ('heart failure', 'given', 'patients to')]","[('\nHawthorn', 'is', 'the rose family'), ('It', 'is native', 'temperate regions, the world'), ('', 'hawthorn for for kidney problems'), ('for anxiety', 'used', 'It'), ('capsules', 'sold as', 'Extracts flower berry tablets')]"
30,Hoodia,"
Common Names: 
  hoodia, Kalahari cactus, Xhoba","
Hoodia is a flowering, cactus-like plant that grows in the Kalahari Desert in Africa. Historically, the San Bushmen used hoodia to suppress appetite.
Today, hoodia dietary supplements are used as an appetite suppressant for weight loss.
Hoodia is available as liquids, powders, tablets, and capsules. Some hoodia products also contain other herbs or minerals, such as green tea or chromium.
","
We know very little about hoodia because only one study of this herb has been done in people.
","
In the one small study of hoodia in people, overweight women who took hoodia for 15 days didn’t lose more weight than those who took a placebo.
","
Little is known about the safety of hoodia. However, the one completed study in people raises concerns. In that study, participants taking hoodia had more side effects than those taking placebos, including nausea, vomiting, dizziness, and odd skin sensations; they also had increases in blood pressure and undesirable changes in some blood tests.
Whether hoodia interacts with medicines or other supplements is not known.
","[('hoodia', 'known about', 'Little'), ('the one completed study', 'raises', 'concerns'), ('they', 'had', 'some blood tests'), ('hoodia', 'interacts with', 'medicines')]","[('in people', 'know', 'only one study')]","[('who', 'lose', 'a placebo')]","[('that', 'is', 'Africa'), ('the San Bushmen', 'used', 'suppress appetite'), ('', 'hoodia dietary supplements as for'), ('Hoodia', 'is available', 'liquids'), ('Some hoodia products', 'contain', 'green tea or chromium')]"
31,Horse Chestnut,"
Common Names: 
  horse chestnut, buckeye, Spanish chestnut","
Horse chestnut trees are native to the Balkan Peninsula (which includes such countries as Albania, Bulgaria, Greece, Romania, and Serbia), but are grown worldwide.
Historically, horse chestnut seed extract was used for joint pain, bladder and gastrointestinal problems, fever, and leg cramps.
Today, people use horse chestnut extract as a dietary supplement for chronic venous insufficiency (when the veins of the lower leg are unable to send blood back toward the heart), hemorrhoids, and swelling after surgery. Preparations made from the tree’s bark are applied to skin sores.
Usable parts of the plant include the seed, bark, and leaf, but seed extracts are most common.
","
There have been some studies in people on horse chestnut for chronic venous insufficiency but very little research has been done for other conditions.
","
A 2012 systematic review of 17 studies published between 1976 and 2002 suggested that horse chestnut seed extract can improve leg pain, swelling, and itching in people with chronic venous insufficiency when taken for a short time. Results from one of these studies suggested that horse chestnut seed extract may be as effective as wearing compression stockings.
Preliminary evidence from one Chinese study suggested that escin, the main ingredient in horse chestnut, may help restore fertility in some men. However, since all the men in the study also received other supplements and drugs, it’s unclear whether the improvement was due to this compound alone or the combination approach.
","
The unprocessed seeds, leaves, bark, and flowers of horse chestnut contain esculin, which is poisonous and may increase the risk of bleeding. (Escin, on the other hand, is a different compound and is considered to be safe.)
Properly processing horse chestnut seed extract removes esculin. The processed extract is considered generally safe when used for short periods of time. However, the extract can cause some side effects, including itching, nausea, gastrointestinal upset, muscle spasm, or headache.
","[('which', 'leaves', 'bleeding'), ('esculin', 'considered', '(Escin to'), ('time', 'considered', 'The processed extract'), ('the extract', 'cause', 'some side effects, itching')]","[('other conditions', 'been', 'very little research done')]","[('horse chestnut seed extract', 'suggested', 'a short time'), ('horse chestnut seed extract', ''), ('escin', 'suggested', 'some men'), ('the improvement', 'unclear', 'other supplements, compound')]","[('which', 'native to', 'Albania'), ('', 'horse chestnut seed extract for bladder problems fever leg cramps'), ('the veins', 'use', 'surgery'), ('skin sores', 'applied to', 'Preparations from'), ('the seed, bark, and leaf, but seed extracts', 'include', 'the plant')]"
32,Kava,"
Common Names: 
  kava, kava kava, ava pepper, ava root, kawa","
Kava is native to the islands of the South Pacific and is a member of the pepper family.
Pacific islanders have used kava in ceremonies to bring about a state of relaxation.
Today, people use kava as a dietary supplement for anxiety.
The root and underground stem (fresh or dried) are used to prepare drinks; they are also made into extracts, capsules, and tablets.
","
There is a fair amount of clinical research on kava.
","
Kava supplements may have a small effect on reducing anxiety, but they have been linked to a risk of severe liver disease.
Differences in dosages used, preparation methods, and study designs have resulted in mixed conclusions about kava’s usefulness.
","
In March 2002, the U.S. Food and Drug Administration warned health care providers and the public about the risk of liver damage associated with kava.
Combining kava with alcohol may increase the risk of liver damage.
Long-term use of high doses of kava has been associated with dry, scaly skin or yellowing of the skin.
Heavy consumption of kava has been associated with heart problems and eye irritation.
","[('the U.S. Food and Drug Administration', 'warned', 'associated with kava'), ('Combining', 'increase', 'liver damage'), ('the skin', 'associated with dry', 'Long-term use of of scaly skin yellowing'), ('heart problems', 'associated with', 'Heavy consumption eye irritation')]","[('', 'clinical research on kava')]","[('anxiety', 'have', 'they linked to of'), ('Differences', 'resulted in', 'kava’s usefulness')]","[('\nKava', 'native to', 'the pepper family'), ('Pacific islanders', 'used', 'a state of relaxation'), ('people', 'use', 'a dietary supplement for anxiety'), ('drinks', 'used', 'they into capsules')]"
33,Lavender,"
Common Names: 
  lavender, English lavender, common lavender, French lavender","
Lavender is native to the Mediterranean region, the Arabian Peninsula, and Russia. It is grown in Europe, the United States, and Australia.
Lavender has a long history of use to boost appetite and mood, as well as relieve gastrointestinal problems and anxiety. It was also used in ancient Egypt as part of the process for mummifying bodies.
Today, people use lavender as a dietary supplement for anxiety, depression, intestinal problems, and pain. People also apply it to the skin for hair loss, pain, and for improving emotional health. People may also inhale a lavender vapor to help sleep, to reduce pain, and for agitation related to dementia.
Tea can be made from lavender leaves. A vapor for inhalation can be made by mixing lavender oil (an essential oil) with boiling water. Lavender oil is used for massage and in baths. Lavender is also found in capsules and liquid extracts.
","
Many studies have investigated lavender’s effectiveness for a number of conditions, such as pain, anxiety, stress, and overall well-being, but several were small and of poor quality.
","
There is little scientific evidence of lavender’s effectiveness for most health uses.
Studies on lavender for anxiety have shown mixed results.
Results of a 1998 study suggested that massaging the scalp with a combination of lavender oil and oils from other herbs may help with hair loss from a condition called alopecia areata.
","
Topical use of diluted lavender oil is generally considered safe for most adults, but reports suggest it can cause skin irritation.
There’s not enough evidence to determine its safety when inhaled as aromatherapy.
Some evidence suggests that some topical applications containing lavender oil may affect sex hormone activity.
Lavender oil may be poisonous if taken by mouth.
Lavender extracts may cause stomach upset, joint pain, or headache.
","[('skin irritation', 'considered safe', '\nTopical use for suggest'), ('', 'aromatherapy'), ('some topical applications', 'suggests', 'sex hormone activity'), ('Lavender oil', 'be poisonous', 'by mouth'), ('stomach', '')]","[('several', 'investigated', 'poor quality')]","[('little scientific evidence', 'is', 'most health uses'), ('Studies', 'shown', 'mixed results'), ('massaging', 'suggested', 'a condition')]","[('\nLavender', 'is native', 'the Mediterranean region'), ('Europe', 'grown in', 'It'), ('Lavender', 'has', 'gastrointestinal problems'), ('mummifying bodies', 'used in', 'It'), ('people', 'use', 'anxiety'), ('People', 'apply', 'emotional health'), ('People', 'inhale', 'agitation related to dementia'), ('lavender leaves', 'made from', 'Tea'), ('boiling water', 'made by', 'A vapor'), ('baths', 'used for', 'Lavender oil'), ('', 'Lavender in liquid extracts')]"
