herb,common_names,background,know,learned,safety
Feverfew,"
Common Names: 
  feverfew, bachelor’s buttons, featherfew","
Feverfew grows naturally throughout Europe and North and South America.
Historically, people have used feverfew for fevers, headaches, constipation, diarrhea, difficulty in labor, and dizziness.
Today, people use feverfew as a dietary supplement for migraine headache prevention, problems with menstruation, rheumatoid arthritis, psoriasis, allergies, asthma, tinnitus (ringing or roaring sounds in the ears), dizziness, nausea, vomiting, and for intestinal parasites. Topically, people use it as a skin cleanser to reduce or prevent skin infections and for toothaches.
The dried leaves—and sometimes flowers and stems—of feverfew are made into capsules, tablets, and liquid extracts, and teas.
","
Only a few studies have looked into feverfew’s use for migraine headache. There’s little or no evidence about feverfew for any other health conditions.
","
Some research suggests that feverfew may help to prevent migraine headaches, but results have been mixed. However, evidence-based guidelines from the American Academy of Neurology and the American Headache Society suggest that a feverfew extract may be effective and should be considered for migraine prevention.
There’s not enough evidence to know if feverfew helps other conditions.
","
No serious side effects have been reported from feverfew. Side effects can include nausea, digestive problems, and bloating; if the fresh leaves are chewed, sores and irritation of the mouth may occur.
People who take feverfew for a long time and then stop taking it may have difficulty sleeping, headaches, anxiety, and stiff and painful muscles.
Do not take feverfew while pregnant because it may affect uterine contractions.
Handling the plant may cause skin irritation.
"
Flaxseed and Flaxseed Oil,"
Common Names: 
  flaxseed, flax, linseed","
Over the thousands of years it’s been cultivated, flaxseed has had a variety of health and industrial uses. Around 500 B.C., Hippocrates wrote about flaxseed being a laxative, and pioneers in North America made flaxseed dressings for cuts and burns. Fiber from the plant is made into linen, and oil from the seed is used in paints, among other products.
Today, flaxseed and flaxseed oil are used as dietary supplements for constipation, diabetes, cholesterol, cancer, and other conditions.
Flaxseed is made into tablets, extracts, powder, and flour. The oil is also put in capsules.
","
There have been a number of studies in people of flaxseed and flaxseed oil, including their effect on hot flashes.
","
Flaxseed contains fiber, which generally helps with constipation. However, there’s little research on the effectiveness of flaxseed for constipation.
Studies of flaxseed and flaxseed oil to lower cholesterol levels have had mixed results. A 2009 research review found that flaxseed lowered cholesterol only in people with relatively high initial cholesterol levels.
Flaxseed doesn’t decrease hot flashes, studies from 2010 and 2012 suggest.
NCCIH is funding preliminary research on the potential role of substances in flaxseed for ovarian cancer, cardiovascular disease, metabolic syndrome, diabetes, asthma, and inflammation.
","
Don’t eat raw or unripe flaxseeds, which may contain potentially toxic compounds.
Flaxseed and flaxseed oil supplements seem to be well tolerated in limited amounts. Few side effects have been reported.
Avoid flaxseed and flaxseed oil during pregnancy as they may have mild hormonal effects. There’s little reliable information on whether it’s safe to use flaxseed when nursing.
Flaxseed, like any fiber supplement, should be taken with plenty of water, as it could worsen constipation or, in rare cases, cause an intestinal blockage. Both flaxseed and flaxseed oil can cause diarrhea.
"
Garlic,"
Common Name: 
  garlic","
Garlic is the edible bulb from a plant in the lily family. It was traditionally used for health purposes by people in many parts of the world, including the Egyptians, Greeks, Romans, Chinese, Japanese, and Native Americans.
Currently, garlic is used as a dietary supplement for many purposes, including high blood cholesterol, high blood pressure, and the common cold, as well as in attempts to prevent cancer and other diseases.
Fresh garlic, garlic powder, and garlic oil are used to flavor foods. Garlic dietary supplements are sold as tablets or capsules. Garlic oil may be used topically (applied to the skin).
","
A great deal of research has been done on garlic, but much of it consists of small, preliminary, or low-quality studies.
","
There’s conflicting evidence about whether garlic lowers blood cholesterol levels. If it does, the effect is small, and low-density lipoprotein (LDL) cholesterol (the so-called “bad” cholesterol that’s linked to increased heart disease risk) may not be reduced at all.
Garlic may be helpful for high blood pressure, but the evidence is weak.
Some studies indicate that certain groups of people who eat more garlic may be less likely to develop certain cancers, such as stomach and colon cancers. However, garlic in dietary supplement form has not been shown to help reduce the risk of these cancers. The National Cancer Institute recognizes garlic as one of several vegetables with potential anticancer properties but does not recommend using garlic dietary supplements for cancer prevention.
There’s not enough evidence to show whether garlic is helpful for the common cold.
","
Garlic is probably safe for most people in the amounts usually eaten in foods.
Side effects include breath and body odor, heartburn, and upset stomach. These side effects can be more noticeable with raw garlic. Some people have allergic reactions to garlic.
Taking garlic may increase the risk of bleeding. If you take an anticoagulant (blood thinner) such as warfarin (Coumadin) or if you need surgery, tell your health care provider if you’re taking or planning to take garlic dietary supplements.
Garlic has been found to interfere with the effectiveness of some drugs, including saquinavir, a drug used to treat HIV infection.
"
Ginger,"
Common Name: 
  ginger","
Ginger is a tropical plant that has green-purple flowers and a fragrant underground stem (called a rhizome). It is widely used as a flavoring or fragrance in foods, beverages, soaps, and cosmetics.
Ancient Sanskrit, Chinese, Greek, Roman, and Arabic texts discussed the use of ginger for health-related purposes. In Asian medicine, dried ginger has been used for thousands of years to treat stomach ache, diarrhea, and nausea.
Today, ginger is used as a dietary supplement for postsurgery nausea; nausea caused by motion, chemotherapy, or pregnancy; rheumatoid arthritis; and osteoarthritis.
Common forms of ginger include the fresh or dried root, tablets, capsules, liquid extracts, and teas.
","
There’s some information from studies in people on the use of ginger for nausea and vomiting.
Much less is known about other uses of ginger for other health conditions.
","
Some evidence indicates that ginger may help relieve pregnancy-related nausea and vomiting.
Ginger may help to control nausea related to cancer chemotherapy when used in addition to conventional anti-nausea medication.
It’s unclear whether ginger is helpful for postsurgery nausea, motion sickness, rheumatoid arthritis, or osteoarthritis.
","
Ginger, when used as a spice, is believed to be generally safe.
In some people, ginger can have mild side effects such as abdominal discomfort, heartburn, diarrhea, and gas.
Some experts recommend that people with gallstone disease use caution with ginger because it may increase the flow of bile.
Research has not definitely shown whether ginger interacts with medications, but concerns have been raised that it might interact with anticoagulants (blood thinners).
Although several studies have found no evidence of harm from taking ginger during pregnancy, it’s uncertain whether ginger is always safe for pregnant women. If you’re considering using ginger while you’re pregnant, consult your health care provider.
"
Ginkgo,"
Common Names: 
  ginkgo, Ginkgo biloba, fossil tree, maidenhair tree, Japanese silver apricot, baiguo, yinhsing","
Ginkgo, one of the oldest living tree species in the world, has a long history in traditional Chinese medicine. Members of the royal court were given ginkgo nuts for senility. Other historical uses for ginkgo were for asthma, bronchitis, and kidney and bladder disorders.
Today, the extract from ginkgo leaves is used as a dietary supplement for many conditions, including dementia, eye problems, intermittent claudication (leg pain caused by narrowing arteries), tinnitus, and other health problems.
Ginkgo is made into tablets, capsules, extracts, tea, and cosmetics.
","
There have been a lot of studies on the possible health effects and risks of people using ginkgo.
","
There’s no conclusive evidence that ginkgo is helpful for any health condition.
Ginkgo doesn’t help prevent or slow dementia or cognitive decline, according to studies, including the long-term Ginkgo Evaluation Memory Study, which enrolled more than 3,000 older adults and was funded in part by the National Center for Complementary and Integrative Health (NCCIH).
There’s no strong evidence that ginkgo helps with memory enhancement in healthy people, blood pressure, intermittent claudication, tinnitus, age-related macular degeneration, the risk of having a heart attack or stroke, or with other conditions.
Ongoing NCCIH-funded research is looking at whether a compound in ginkgo may help with diabetes.
","
For many healthy adults, ginkgo appears to be safe when taken by mouth in moderate amounts.
Side effects of ginkgo may include headache, stomach upset, and allergic skin reactions. If you’re older, have a known bleeding risk, or are pregnant you should be cautious about ginkgo possibly increasing your risk of bleeding.
In a 2013 research study, rodents given ginkgo had an increased risk of developing liver and thyroid cancer at the end of the 2-year tests.
Ginkgo may interact with some conventional medications, including anticoagulants (blood thinners), research reviews show.
Eating fresh (raw) or roasted ginkgo seeds can be poisonous and have serious side effects.
"
Goldenseal,"
Common Names: 
  goldenseal, yellow root","
Goldenseal is a plant native to North America. Overharvesting and loss of habitat have decreased the availability of wild goldenseal, but the plant is now grown commercially in the United States, especially in the Blue Ridge Mountains.
Historically, Native Americans used goldenseal for skin disorders, ulcers, fevers, and other conditions. European settlers adopted it as a medicinal plant, using it for a variety of conditions.
Currently, goldenseal is used as a dietary supplement for colds and other respiratory tract infections, allergic rhinitis (hay fever), ulcers, and digestive upsets such as diarrhea and constipation. It is also used as a mouthwash for sore gums and as an eyewash for eye inflammation, and it is applied to the skin for rashes and other skin problems.
The roots of goldenseal are dried and used to make teas, extracts, tablets, or capsules. Goldenseal is often combined with echinacea in commercial products.
","
Very little research has been done on the health effects of goldenseal.
","
The scientific evidence does not support the use of goldenseal for any health-related purpose.
Berberine, a substance found in goldenseal, has been studied for heart failure, diarrhea, infections, and other health conditions. However, when people take goldenseal orally (by mouth), very little berberine may be absorbed by the body or enter the bloodstream, so study results on berberine may not apply to goldenseal.
The National Center for Complementary and Integrative Health (NCCIH) is funding research to study how goldenseal may act against bacteria and to develop research-grade goldenseal for use in human studies.
","
There isn’t much reliable information on the safety of goldenseal.
Women who are pregnant or breastfeeding should not use goldenseal, and it should not be given to infants. Berberine can cause or worsen jaundice in newborn infants and could lead to a life-threatening problem called kernicterus.
Goldenseal contains substances that may change the way your body processes many medications. If you’re taking medication, consult your health care provider before using goldenseal.
"
Grape Seed Extract,"
Common Names: 
  grape seed extract, grape seed","
Since ancient Greece people have used grapes, grape leaves, and sap for health purposes. Grape seed extract was developed in the 1970s.
Today, grape seed extract is used as a dietary supplement for various conditions, including for venous insufficiency (when veins have problems sending blood from the legs back to the heart), to promote wound healing, and to reduce inflammation.
Grape seed extract contains the antioxidant compound oligomeric proanthocyanidin (OPC), which has been studied for a variety of health conditions.
OPCs are found in extracts of grape skin and seeds, which are by-products of the wine industry. Grape seed extract is available in capsules and tablets and as a liquid.
","
There are a few well-controlled studies of people using grape seed extract for health conditions.
","
Some studies suggest that compounds in grape seed extract may reduce edema (swelling) and help with symptoms of chronic venous insufficiency, but the evidence isn’t strong.
Grape seed extract may have some heart benefits, including lowering systolic blood pressure and heart rate. The lower heart rate may cause the decrease in systolic blood pressure. The extract had no effect on lipid levels such as cholesterol or C-reactive protein, an indication of inflammation in your arteries.
The National Center for Complementary and Integrative Health (NCCIH) is supporting preliminary research on grape seed extract for Alzheimer’s disease and also for hereditary hemochromatosis, when the body’s iron levels are too high. The National Cancer Institute is supporting preliminary studies on grape seed extract for preventing prostate, lung, and colon cancer.
","
Grape seed extract is generally well tolerated when taken in moderate amounts. It has been tested safely for up to 14 weeks in studies of people. It’s possibly unsafe if you have a bleeding disorder or are going to have surgery or if you take anticoagulants (blood thinners), such as warfarin or aspirin.
"
Green Tea,"
Common Name: 
  green tea","
Green, black, and oolong teas all come from the same plant, Camellia sinensis, but are prepared using different methods. To produce green tea, fresh leaves from the plant are lightly steamed.
Tea has been used for medicinal purposes in China and Japan for thousands of years.
Current uses of green tea as a beverage or dietary supplement include improving mental alertness, relieving digestive symptoms and headaches, and promoting weight loss. Green tea and its extracts, such as one of its components, EGCG, have been studied for their possible protective effects against heart disease and cancer.
Green tea is consumed as a beverage. It is also sold in liquid extracts, capsules, and tablets and is sometimes used in topical products (intended to be applied to the skin).
","
Although many studies have been done on green tea and its extracts, definite conclusions cannot yet be reached on whether green tea is helpful for most of the purposes for which it is used.
","
There’s evidence that green tea enhances mental alertness, as would be expected because of its caffeine content.
The U.S. Food and Drug Administration has approved a specific green tea extract ointment as a prescription drug for treating genital warts.
Studies of green tea and cancer in people have had inconsistent results. The National Cancer Institute does not recommend for or against using green tea to reduce the risk of any type of cancer.
Very few long-term studies have investigated the effects of tea on heart disease risk. However, the limited evidence currently available suggests that both green and black tea might have beneficial effects on some heart disease risk factors, including blood pressure and cholesterol.
Green tea extracts haven’t been shown to produce a meaningful weight loss in overweight or obese adults. They also haven’t been shown to help people maintain a weight loss.
The National Center for Complementary and Integrative Health (NCCIH) is funding research on green tea and its extracts, including studies of the effects of high doses of tea components on the liver, whether substances in green tea can be helpful for iron overload disease, and the safety of a component of green tea in people who are HIV-positive.
","
Green tea, when consumed as a beverage, is believed to be safe when used in moderate amounts.
Liver problems have been reported in a small number of people who took concentrated green tea extracts. Although the evidence that the green tea products caused the liver problems is not conclusive, experts suggest that concentrated green tea extracts be taken with food and that people discontinue use and consult a health care provider if they have a liver disorder or develop symptoms of liver trouble, such as abdominal pain, dark urine, or jaundice.
Except for decaffeinated green tea products, green tea and green tea extracts contain substantial amounts of caffeine. Too much caffeine can make people feel jittery and shaky; interfere with sleep; and cause headaches.
Green tea has been shown to reduce blood levels (and therefore the effectiveness) of the drug nadolol, a beta-blocker used for high blood pressure and heart problems. It may also interact with other medicines.
"
Hawthorn,"
Common Names: 
  hawthorn, English hawthorn, oneseed hawthorn, harthorne, haw, hawthorne","
Hawthorn is a flowering shrub or tree of the rose family. It is native to Europe and grows in temperate regions throughout the world.
Historically, hawthorn has been used for heart disease as well as for digestive and kidney problems. It has also been used for anxiety.
Extracts from the hawthorn leaf, flower, or berry may be sold as capsules, tablets, or liquids.
","
Hawthorn has been studied for heart failure in people. Heart failure is a condition in which the heart can’t pump as much blood as it should.
Not much is known about hawthorn for any other health conditions as there is little or no evidence.
","
Although some older, short-term studies suggested that hawthorn may have benefits in patients with heart failure, two longer term studies completed in 2008 and 2009—including a 2-year trial involving almost 2,700 people in 13 European countries—did not confirm these benefits. In these studies, unlike some of the older ones, patients were given hawthorn in addition to the recommended conventional treatments for heart failure.
","
In most studies of hawthorn for heart failure, no serious safety problems have been reported. However, in one study, patients taking hawthorn were more likely than those taking a placebo (an inactive substance) to have their heart failure get worse soon after the study started. The reason for this is not clear, but one possibility is that hawthorn might have interacted with drugs the patients were taking.
Side effects of hawthorn can include dizziness, nausea, and digestive symptoms.
Hawthorn may interact in harmful ways with drugs, including some heart medications. If you’re taking medication and you’re considering using hawthorn, consult your health care provider.
"
Hoodia,"
Common Names: 
  hoodia, Kalahari cactus, Xhoba","
Hoodia is a flowering, cactus-like plant that grows in the Kalahari Desert in Africa. Historically, the San Bushmen used hoodia to suppress appetite.
Today, hoodia dietary supplements are used as an appetite suppressant for weight loss.
Hoodia is available as liquids, powders, tablets, and capsules. Some hoodia products also contain other herbs or minerals, such as green tea or chromium.
","
We know very little about hoodia because only one study of this herb has been done in people.
","
In the one small study of hoodia in people, overweight women who took hoodia for 15 days didn’t lose more weight than those who took a placebo.
","
Little is known about the safety of hoodia. However, the one completed study in people raises concerns. In that study, participants taking hoodia had more side effects than those taking placebos, including nausea, vomiting, dizziness, and odd skin sensations; they also had increases in blood pressure and undesirable changes in some blood tests.
Whether hoodia interacts with medicines or other supplements is not known.
"
Horse Chestnut,"
Common Names: 
  horse chestnut, buckeye, Spanish chestnut","
Horse chestnut trees are native to the Balkan Peninsula (which includes such countries as Albania, Bulgaria, Greece, Romania, and Serbia), but are grown worldwide.
Historically, horse chestnut seed extract was used for joint pain, bladder and gastrointestinal problems, fever, and leg cramps.
Today, people use horse chestnut extract as a dietary supplement for chronic venous insufficiency (when the veins of the lower leg are unable to send blood back toward the heart), hemorrhoids, and swelling after surgery. Preparations made from the tree’s bark are applied to skin sores.
Usable parts of the plant include the seed, bark, and leaf, but seed extracts are most common.
","
There have been some studies in people on horse chestnut for chronic venous insufficiency but very little research has been done for other conditions.
","
A 2012 systematic review of 17 studies published between 1976 and 2002 suggested that horse chestnut seed extract can improve leg pain, swelling, and itching in people with chronic venous insufficiency when taken for a short time. Results from one of these studies suggested that horse chestnut seed extract may be as effective as wearing compression stockings.
Preliminary evidence from one Chinese study suggested that escin, the main ingredient in horse chestnut, may help restore fertility in some men. However, since all the men in the study also received other supplements and drugs, it’s unclear whether the improvement was due to this compound alone or the combination approach.
","
The unprocessed seeds, leaves, bark, and flowers of horse chestnut contain esculin, which is poisonous and may increase the risk of bleeding. (Escin, on the other hand, is a different compound and is considered to be safe.)
Properly processing horse chestnut seed extract removes esculin. The processed extract is considered generally safe when used for short periods of time. However, the extract can cause some side effects, including itching, nausea, gastrointestinal upset, muscle spasm, or headache.
"
Kava,"
Common Names: 
  kava, kava kava, ava pepper, ava root, kawa","
Kava is native to the islands of the South Pacific and is a member of the pepper family.
Pacific islanders have used kava in ceremonies to bring about a state of relaxation.
Today, people use kava as a dietary supplement for anxiety.
The root and underground stem (fresh or dried) are used to prepare drinks; they are also made into extracts, capsules, and tablets.
","
There is a fair amount of clinical research on kava.
","
Kava supplements may have a small effect on reducing anxiety, but they have been linked to a risk of severe liver disease.
Differences in dosages used, preparation methods, and study designs have resulted in mixed conclusions about kava’s usefulness.
","
In March 2002, the U.S. Food and Drug Administration warned health care providers and the public about the risk of liver damage associated with kava.
Combining kava with alcohol may increase the risk of liver damage.
Long-term use of high doses of kava has been associated with dry, scaly skin or yellowing of the skin.
Heavy consumption of kava has been associated with heart problems and eye irritation.
"
Lavender,"
Common Names: 
  lavender, English lavender, common lavender, French lavender","
Lavender is native to the Mediterranean region, the Arabian Peninsula, and Russia. It is grown in Europe, the United States, and Australia.
Lavender has a long history of use to boost appetite and mood, as well as relieve gastrointestinal problems and anxiety. It was also used in ancient Egypt as part of the process for mummifying bodies.
Today, people use lavender as a dietary supplement for anxiety, depression, intestinal problems, and pain. People also apply it to the skin for hair loss, pain, and for improving emotional health. People may also inhale a lavender vapor to help sleep, to reduce pain, and for agitation related to dementia.
Tea can be made from lavender leaves. A vapor for inhalation can be made by mixing lavender oil (an essential oil) with boiling water. Lavender oil is used for massage and in baths. Lavender is also found in capsules and liquid extracts.
","
Many studies have investigated lavender’s effectiveness for a number of conditions, such as pain, anxiety, stress, and overall well-being, but several were small and of poor quality.
","
There is little scientific evidence of lavender’s effectiveness for most health uses.
Studies on lavender for anxiety have shown mixed results.
Results of a 1998 study suggested that massaging the scalp with a combination of lavender oil and oils from other herbs may help with hair loss from a condition called alopecia areata.
","
Topical use of diluted lavender oil is generally considered safe for most adults, but reports suggest it can cause skin irritation.
There’s not enough evidence to determine its safety when inhaled as aromatherapy.
Some evidence suggests that some topical applications containing lavender oil may affect sex hormone activity.
Lavender oil may be poisonous if taken by mouth.
Lavender extracts may cause stomach upset, joint pain, or headache.
"
Licorice Root,"
Common Names: 
  licorice root, licorice, liquorice, sweet root, gan cao, gan-zao, Chinese licorice","
Most licorice root grows in Greece, Turkey, and Asia. Anise oil is often used instead of licorice root to flavor licorice candy.
Centuries ago, licorice root was used in Greece, China, and Egypt for stomach inflammation and upper respiratory problems. Licorice root also has been used as a sweetener.
Today, people use licorice root as a dietary supplement for digestive problems, menopausal symptoms, cough, and bacterial and viral infections. People also use it as a shampoo.
Licorice is harvested from the plants’ roots and underground stems. Licorice supplements are available as capsules, tablets, and liquid extracts.
","
A number of studies of licorice root in people have been published, but not enough to support the use for any specific health condition.
","
Glycyrrhizin—a compound found in licorice root—has been tested in a few clinical trials in hepatitis C patients, but there’s currently not enough evidence to determine if it’s helpful. Laboratory studies done in Japan (where an injectable glycyrrhizin compound is used in people with chronic hepatitis C who do not respond to conventional treatment) suggest that glycyrrhizin may have some effect against hepatitis C.
There’s some evidence that topical licorice extract may improve skin rash symptoms, such as redness, swelling, and itching.
A Finnish study of mothers and their young children suggested that eating a lot of actual licorice root during pregnancy may harm a child’s developing brain, leading to reasoning and behavioral issues, such as attention problems, rule-breaking, and aggression.
Studies of licorice root extracts in people for cavities, mouth ulcers, and oral yeast infections have returned mixed results.
","
In large amounts and with long-term use, licorice root can cause high blood pressure and low potassium levels, which could lead to heart and muscle problems. Some side effects are thought to be due to a chemical called glycyrrhizic acid. Licorice that has had this chemical removed (called DGL for deglycyrrhizinated licorice) may not have the same degree of side effects.
Taking licorice root containing glycyrrhizinic acid with medications that reduce potassium levels such as diuretics might be bad for your heart.
Pregnant women should avoid using licorice root as a supplement or consuming large amounts of it as food.
"
Milk Thistle,"
Common Names: 
  milk thistle, Mary thistle, holy thistle.","
Milk thistle is native to southern Europe, southern Russia, Asia Minor, and northern Africa. It also grows in North and South America and South Australia.
Silymarin is considered to be the main component of milk thistle seeds, but the terms “milk thistle” and “silymarin” often are used interchangeably.
Historically, people have used milk thistle for liver disorders, such as hepatitis and cirrhosis, and gallbladder problems.
Silymarin is the most commonly used herbal supplement in the United States for liver problems.
Milk thistle products are available as capsules, powders, and extracts.
","
We know little about whether milk thistle is effective in people, as only a few well-designed clinical studies have been conducted.
","
Results from clinical trials of milk thistle for liver diseases have been mixed, and two rigorously designed studies found no benefit.
The 2008 Hepatitis C Antiviral Long-Term Treatment Against Cirrhosis (HALT-C) study, sponsored by the National Institutes of Health (NIH), found that hepatitis C patients who used silymarin had fewer and milder symptoms of liver disease and somewhat better quality of life but no change in virus activity or liver inflammation.
A 2012 clinical trial, cofunded by the National Center for Complementary and Integrative Health (NCCIH) and the National Institute of Diabetes and Digestive and Kidney Diseases, showed that two higher-than-usual doses of silymarin were no better than placebo for chronic hepatitis C in people who had not responded to standard antiviral treatment.
Results from a 2013 clinical study suggest that milk thistle may enhance standard treatment in young people with a particular form of anemia (Cooley’s anemia).
","
In clinical trials, milk thistle appears to be well tolerated in recommended doses. Occasionally, people report various gastrointestinal side effects.
Milk thistle may produce allergic reactions, which tend to be more common among people who are allergic to plants in the same family (for example, ragweed, chrysanthemum, marigold, and daisy).
Compounds in milk thistle may lower blood sugar levels in people with type 2 diabetes. People with diabetes should use caution.
"
Noni,"
Common Names: 
  noni, morinda, Indian mulberry, hog apple, canarywood","
Noni is a small evergreen tree found from Southeastern Asia to Australia, especially in Polynesia; it often grows among lava flows.
Historically, many parts of the noni plant were used both externally and internally for a variety of health purposes, alone or in combination with other herbs.
Today, the principal part of the noni plant used for health purposes is the ripe fruit, which is used as a dietary supplement for various chronic diseases, including cancer.
The noni fruit is most commonly combined with other fruits to make juice. Preparations of the fruit and leaves are also available in capsules, tablets, and teas.
","
Only a few studies have investigated the effects of noni in people.
","
In laboratory research, noni has shown antioxidant, immune-stimulating, and tumor-fighting properties. These results suggest that noni may warrant further study for various diseases. However, noni has not been shown to have beneficial effects on any chronic health condition in studies of people.
","
Few side effects have been reported in studies of noni. However, several cases of liver toxicity have been reported in people who had consumed noni. It is unclear whether noni caused the liver problems.
The U.S. Food and Drug Administration has issued warnings to noni manufacturers about making unsupported health claims.
Noni contains a substantial amount of potassium. People who need to restrict their intake of potassium should consult a health care provider before using noni.
"
Omega-3 Supplements: An Introduction,,"How much do we know about omega-3 fatty acids (omega-3s)?Extensive research has been done on omega-3s, especially the types found in seafood (fish and shellfish) and fish oil supplements.",Omega-3s (short for omega-3 fatty acids) are a kind of fat found in foods and in the human body. They are also sold as dietary supplements. ,,"According to the 2012 National Health Interview Survey, which included a comprehensive survey on the use of complementary health approaches in the United States, fish oil supplements are the nonvitamin/nonmineral natural product most commonly taken by both adults and children. The survey findings indicated that about 7.8 percent of adults (18.8 million) and 1.1 percent of children age 4 to 17 (664,000) had taken a fish oil supplement in the previous 30 days."
Peppermint Oil,"
Common Names: 
  peppermint, peppermint oil",,,,
Pomegranate,"
Common Name: 
  Pomegranate","
The pomegranate fruit has a leathery rind (or husk) with many little pockets of edible seeds and juice inside.
Since ancient times, the pomegranate has been a symbol of fertility.
Researchers have studied all parts of the pomegranate for their potential health benefits. Those parts include the fruit, seed, seed oil, tannin-rich peel, root, leaf, and flower.
The pomegranate has been used as a dietary supplement for many conditions including wounds, heart conditions, intestinal problems, and as a gargle for a sore throat.
Pomegranate is made into capsules, extracts, teas, powders, and juice products.
","
We don’t have a lot of strong scientific evidence on the effects of pomegranate for people’s health.
","
A 2012 clinical trial of about 100 dialysis patients suggested that pomegranate juice may help ward off infections. In the study, the patients who were given pomegranate juice three times a week for a year had fewer hospitalizations for infections and fewer signs of inflammation, compared with patients who got the placebo.
Pomegranate extract in mouthwash may help control dental plaque, according to a small 2011 clinical trial with 30 healthy participants.
Pomegranate may help improve some signs of heart disease but the research isn’t definitive.
","
Some people, particularly those with plant allergies, may be allergic to pomegranate.
It’s unclear whether pomegranate interacts with the anticoagulant (blood thinning) medicine warfarin or drugs that work similarly in the body to warfarin.
Federal agencies have taken action against companies selling pomegranate juice and supplements for deceptive advertising and making drug-like claims about the products. For more on this, view the NCCIH Director’s Page entitled Excessive Claims.
"
Probiotics: In Depth,,"Probiotics are live microorganisms that are intended to have health benefits when consumed or applied to the body. They can be found in yogurt and other fermented foods, dietary supplements, and beauty products. ","Probiotics may contain a variety of microorganisms. The most common are bacteria that belong to groups called Lactobacillus and Bifidobacterium. Other bacteria may also be used as probiotics, and so may yeasts such as Saccharomyces boulardii. ","No, prebiotics aren’t the same as probiotics. Prebiotics are nondigestible food components that selectively stimulate the growth or activity of desirable microorganisms. ",Synbiotics are products that combine probiotics and prebiotics.
Red Clover,"
Common Names: 
  red clover, cow clover, meadow clover, wild clover",,,,
Red Yeast Rice: An Introduction,,"
Some red yeast rice products contain substantial amounts of monacolin K, which is chemically identical to the active ingredient in the cholesterol-lowering drug lovastatin. These products may lower blood cholesterol levels and can cause the same types of side effects and drug interactions as lovastatin.
Other red yeast rice products contain little or no monacolin K. It is not known whether these products have any effect on blood cholesterol levels.
Consumers have no way of knowing how much monacolin K is present in most red yeast rice products. The labels on these products usually state only the amount of red yeast rice that they contain, not the amount of monacolin K.
The U.S. Food and Drug Administration (FDA) has determined that red yeast rice products that contain more than trace amounts of monacolin K are unapproved new drugs and cannot be sold legally as dietary supplements.
Some red yeast rice products contain a contaminant called citrinin, which can cause kidney failure.
Tell all your health care providers about any complementary health approaches you use. Give them a full picture of what you do to manage your health. This will help ensure coordinated and safe care.
","Red yeast rice is made by culturing rice with various strains of the yeast Monascus purpureus. Some preparations of red yeast rice are used in food products in Chinese cuisine, including Peking duck. Others have been sold as dietary supplements to lower blood levels of cholesterol and related lipids.","
The same types of side effects that can occur in patients taking lovastatin as a drug can also occur in patients who take red yeast rice products that contain monacolin K. Potential side effects include myopathy (muscle symptoms such as pain and weakness), rhabdomyolysis (a condition in which muscle fibers break down, releasing substances into the bloodstream that can harm the kidneys), and liver toxicity. Each of these three side effects has been reported in people who were taking red yeast rice.
Red yeast rice supplements should not be used while pregnant or breastfeeding.
Lovastatin can interact with a variety of drugs to increase the risk of rhabdomyolysis; these drugs include other cholesterol-lowering agents, certain antibiotics, the antidepressant nefazodone, drugs used to treat fungal infections, and drugs used to treat HIV infection. Red yeast rice containing monacolin K could interact with drugs in the same way.
If the process of culturing red yeast rice is not carefully controlled, a substance called citrinin can form. Citrinin has been shown to cause kidney failure in experimental animals and genetic damage in human cells. In a 2011 analysis of red yeast rice products sold as dietary supplements, 4 of 11 products were found to contain this contaminant.
","Red yeast rice products that contain substantial amounts of monacolin K can lower blood cholesterol levels. Researchers have not reported results of any studies of red yeast rice products that contain little or no monacolin K, so whether these products have any effect on blood cholesterol is unknown."
S-Adenosyl-L-Methionine (SAMe): An Introduction,,"Research has evaluated several potential uses of SAMe, and a substantial number of studies on depression and liver diseases have been completed. However, some of the studies used injected SAMe, which may not have the same effects as SAMe taken as a dietary supplement.","SAMe was discovered in the early 1950s. It’s made in the body from methionine, an amino acid found in foods. It has been found to regulate key functions in living cells.",Depression,NCCIH-Funded Research
Sage,"
Common Names: 
  sage, common sage, garden sage, true sage","
Sage has a long history of use as a spice and for health purposes. It was used in ancient Egyptian, Roman, and Greek medicine. In Native American rituals, dried sage is burned to promote healing, wisdom, protection, and longevity.
Today, sage is used as a dietary supplement for digestive problems, sore mouth or throat, memory loss, and depression.
Sage leaves or their extracts are available as liquids, throat sprays, tablets, lozenges, and capsules.
","
We don’t know much about the health effects of sage because little research has been done on it.
","
Sage has not been clearly shown to be helpful for any health condition.
There have been a few studies of sage for sore throat, mood, memory, and blood cholesterol levels. However, the findings are preliminary, and some of the research is of poor quality.
","
Sage is generally recognized as safe by the U.S. Food and Drug Administration and is approved for food use as a spice or seasoning. However, some species of sage contain thujone, which can affect the nervous system. Extended use or taking large amounts of sage leaf or oil may result in restlessness, vomiting, vertigo, rapid heart rate, tremors, seizures, and kidney damage. Twelve drops or more of the essential oil is considered a toxic dose.
"
Saw Palmetto,"
Common Names: 
  saw palmetto, American dwarf palm tree, cabbage palm",,,,
Soy,"
Common Name: 
  soy",,,,
