,name_used,summary
Omega-3 Supplements: An Introduction,Dietary supplement,"In 2017, the American Heart Association issued a science advisory stating that it could not recommend use of omega-3 fish oil supplements for primary prevention of cardiovascular disease or stroke, although it reaffirmed supplementation for people who have a history of coronary heart disease.In the United States, the Dietary Supplement Health and Education Act of 1994 provides this description: ""The Dietary Supplement Health and Education Act of 1994 (DSHEA) defines the term “dietary supplement” to mean a product (other than tobacco) intended to supplement the diet that bears or contains one or more of the following dietary ingredients: a vitamin, a mineral, an herb or other botanical, an amino acid, a dietary substance for use by man to supplement the diet by increasing the total dietary intake, or a concentrate, metabolite, constituent, extract, or combination of any of the aforementioned ingredients."
Peppermint Oil,Peppermint Oil,"Mentha piperita and Mentha haplocalyx are both recognized as plant sources of menthol and menthone and are among the oldest herbs used for both culinary and medicinal products.Peppermint generally grows best in moist, shaded locations, and expands by underground rhizomes.
It is known to repel some pest insects, including mosquitos, and has uses in organic gardening.The chemical composition of the essential oil from peppermint (Mentha × piperita L.) was analyzed by GC/FID and GC-MS.
Argentina accounted for 8% of the world total.In the United States, Oregon and Washington produce most of the country's peppermint, the leaves of which are processed for the essential oil to produce flavorings mainly for chewing gum and toothpaste.ISO 676:1995 - contains the information about the nomenclature of the variety and cultivars
ISO 5563:1984 - a specification for its dried leaves of Mentha piperita Linnaeus
Peppermint oil - ISO 856:2006A number of cultivars have been selected for garden use:"
Pomegranate,Pomegranate,"Pomegranates symbolize the mystical experience in the Jewish mystical tradition, or kabbalah, with the typical reference being to entering the ""garden of pomegranates"" or pardes rimonim; this is also the title of a book by the 16th-century mystic Moses ben Jacob Cordovero.Compared to the pulp, the inedible pomegranate peel contains as much as three times the total amount of polyphenols, including condensed tannins, catechins, gallocatechins and prodelphinidins.The higher phenolic content of the peel yields extracts for use in dietary supplements and food preservatives.The pomegranate (known as ""anār"" انار  in Urdu) is a popular fruit in Pakistan."
Probiotics: In Depth,Probiotics: In Depth,"IBD is a multifactorial disease that is nonetheless driven in part by an exaggerated immune response to gut microbiota that causes defects in epithelial barrier function.Inflammatory bowel disease-22Medical treatment of IBD is individualised to each patient.
Biological therapy for inflammatory bowel disease, especially the TNF inhibitors, are used in people with more severe or resistant Crohn's disease and sometimes in ulcerative colitis.Treatment is usually started by administering drugs with high anti-inflammatory effects, such as prednisone.
Gluten sensitivity was reported in 23.6 and 27.3% of Crohn's disease and ulcerative colitis patients, respectively.A diet high in protein, particularly animal protein, may be associated with increased risk of inflammatory bowel disease and relapses.In spite of Crohn's and UC being very different diseases, both may present with any of the following symptoms: abdominal pain, diarrhea, rectal bleeding, severe internal cramps/muscle spasms in the region of the pelvis and weight loss."
Red Clover,Red Clover,"Trifolium pratense, the red clover, is a herbaceous species of flowering plant in the bean family Fabaceae, native to Europe, Western Asia, and northwest Africa, but planted and naturalised in many other regions.Red-clover seed production in the Intermountain States hosted by the UNT Government Documents Department
List of ineffective cancer treatmentsThe red clover is native to Europe, Western Asia, and northwest Africa, but it has been naturalized in other continents, like North and South America.
doi:10.1111/pbr.12224.Trifolium pratense is the national flower of Denmark and the state flower of Vermont.Trifolium pratense is used in traditional medicine of India as deobstruent, antispasmodic, expectorant, sedative, anti-inflammatory and antidermatosis agent.In alternative medicine, red clover is promoted as a treatment for a variety of human maladies, including symptoms of menopause, coughs, disorders of the lymphatic system and a variety of cancers."
Red Yeast Rice: An Introduction,Red Yeast Rice: An Introduction,"If fermentation is unintentionally stopped, such as when the yeasts become exhausted of available nutrients and the wine has not yet reached dryness, this is considered a stuck fermentation.The most common yeast associated with winemaking is Saccharomyces cerevisiae which has been favored due to its predictable and vigorous fermentation capabilities, tolerance of relatively high levels of alcohol and sulfur dioxide as well as its ability to thrive in normal wine pH between 2.8 and 4.
Not only could this unpredictability include the presence of off-flavors/aromas and higher volatile acidity but also the potential for a stuck fermentation if the indigenous yeast strains are not vigorous enough to fully convert all the sugars.It is virtually inevitable that non-Saccharomyces wild yeast will have a role in beginning the fermentation of virtually every wine but for the wineries that choose to allow these yeasts to continue fermenting versus minimizing their influence do so with the intent of enhancing complexity through bio-diversity."
S-Adenosyl-L-Methionine (SAMe): An Introduction,S-Adenosyl-L-Methionine (SAMe): An Introduction,"The fluorinase enzyme (EC 2.5.1.63, also known as adenosyl-fluoride synthase) catalyzes the reaction between fluoride ion and the co-factor S-adenosyl-L-methionine to generate L-methionine and 5'-fluoro-5'-deoxyadenosine, the first committed product of the fluorometabolite biosynthesis pathway.
A homologous chlorinase enzyme, which catalyses the same reaction with chloride rather than fluoride ion, has been isolated from Salinospora tropica, from the biosynthetic pathway of salinosporamide A.
The reaction catalysed by the fluorinase is reversible, and upon incubation of 5'-fluoro-5'-deoxyadenosine and L-methionine with the fluorinase, SAM and fluoride ion are produced.
While the equilibrium for reaction between SAM and fluoride ion lies towards products FDA and L-methionine, the equilibrium position is reversed in the case for chloride ion.
Incubation of SAM and chloride ion with the fluorinase does not result in generation of 5'-chloro-5'-deoxyadenosine (ClDA), unless an additional enzyme, an L-amino acid oxidase, is added.
Incubation of 5'-chloro nucleosides with the enzyme, along with catalytic L-selenomethionine or L-methionine results in the production of 5-fluoro nucleosides."
Sage,Salvia officinalis,"Salvia officinalis (sage, also called garden sage, common sage, or culinary sage) is a perennial, evergreen subshrub, with woody stems, grayish leaves, and blue to purplish flowers.
'Tricolor', a cultivar with white, purple and green variegated leaves'Icterina' and 'Purpurascens' have gained the Royal Horticultural Society's Award of Garden Merit.Some research has suggested certain extracts of salvia officinalis may have positive effects on human brain function, but due to significant methodological problems, no firm conclusions can be drawn.
Modern cultivars include leaves with purple, rose, cream, and yellow in many variegated combinations.In Britain, sage has for generations been listed as one of the essential herbs, along with parsley, rosemary, and thyme (as in the folk song ""Scarborough Fair"").
Despite the common use of traditional and available herbs in French cuisine, sage never found favor there.
The specific epithet officinalis refers to plants with a well-established medicinal or culinary value."
Saw Palmetto,Saw Palmetto,"It is marketed as a treatment for benign prostatic hyperplasia (BPH), but reviews of clinical trials, including those conducted by the National Center for Complementary and Alternative Medicine, found it ineffective for this purpose.Saw Palmetto NIH National Center for Complementary and Integrative HealthSaw palmetto extract may decrease the effectiveness of estrogen products by reducing estrogen levels in the body via its antiestrogenic effects.
Saw palmetto extract should also be avoided during breastfeeding due to a lack of available information.In a case report, a patient taking saw palmetto extract had increased bleeding time during surgery.
One clinical trial pre-treated prostate surgery patients with saw palmetto for five weeks prior to the surgery, because there was evidence from earlier literature that such pre-treatment reduced operative bleeding."
Soy,Soy,"For example, soybean products, such as textured vegetable protein (TVP), are ingredients in many meat and dairy substitutes.Soy beans contain significant amounts of phytic acid, dietary minerals and B vitamins.
Soybeans were probably first cultivated in Canada by 1855, and definitely in 1895 at Ontario Agricultural College.It was not until Lafayette Mendel and Thomas Burr Osborne showed that the nutritional value of soybean seeds could be increased by cooking, moisture or heat, that soy went from a farm animal feed to a human food.William Morse is considered the ""father"" of modern soybean agriculture in America.
The soy-based meat substitute textured vegetable protein has been used for more than 50 years as a way of inexpensively extending ground beef without reducing its nutritional value.Soybeans contain a high level of phytic acid, which has many effects including acting as an antioxidant and a chelating agent."
St. John's Wort,St. John's Wort,"Horses may show signs of anorexia, depression (with a comatose state), dilated pupils, and injected conjunctiva.The specific epithet perforatum is Latin, referring to the perforated appearance of the plant's leaves.Hypericin, pseudohypericin, and hyperforin may be quantitated in plasma as confirmation of usage and to estimate the dosage.
In response to hyperforin's incorporation into a new bath oil, a study to assess potential skin irritation was conducted which found good skin tolerance of St John's wort.It is probable that Hypericum perforatum originated as a hybrid between two closely related species with subsequent doubling of chromosomes.
A 2008 Cochrane review of 29 clinical trials concluded that it was superior to placebo in patients with major depression, as effective as standard antidepressants and had fewer side-effects.In the United States, St John's wort is considered a dietary supplement by the FDA, and is not regulated by the same standards as a prescription drug."
Tea Tree Oil,Tea Tree Oil,"It is poisonous if consumed by mouth, and unsafe to use on children.Tea tree oil has been used in traditional medicine in the belief it treats acne, nail fungus, or athlete's foot, with little evidence to support these uses.
It is not recommended for treating head lice in children because its safety has not been established and it could cause skin irritation or allergic reactions.Tea tree oil is defined by the International Standard ISO 4730 (""Oil of Melaleuca, terpinen-4-ol type""), containing terpinen-4-ol, γ-terpinene, and α-terpinene as about 70% to 90% of whole oil, while ρ-cymene, terpinolene, α-terpineol, and α-pinene collectively account for some 15% of the oil (table, right).
A 2012 review of head lice treatment recommended against the use of tea tree oil on children because it could cause skin irritation or allergic reactions, and because of a lack of knowledge about safety and effectiveness.Tea tree oil is poisonous when taken internally."
Thunder God Vine,Thunder God Vine,"Evidence is insufficient to deem it effective as a method of birth control.The United Kingdom government does not recommend the use of Tripterygium due to potential side effects.At medicinal doses, T.
In August 2011, the UK Medicines and Healthcare Products Regulatory Agency published a drug safety bulletin advising consumers not to use medicines containing lei gong teng due to potentially serious side effects.China State Food and Drug Administration issued a warning in April 2012 about this medicine, urging caution.A 2016 review found gastrointestinal symptoms in 13%, adverse reproductive outcomes in 12%, adverse skin reactions in 8%, hematologic events in 6.5%, cardiovascular events in 5%.
Triptolide has pharmacological activities including anti-inflammatory, immune modulation, antiproliferative, and proapoptotic activity, but its clinical use is limited by severe toxicity.Evidence is lacking that Tripterygium is either safe or effective as a method of birth control in men."
Turmeric,Turmeric,"The rhizomes are used fresh or boiled in water and dried, after which they are ground into a deep orange-yellow powder commonly used as a coloring and flavoring agent in many Asian cuisines, especially for curries, as well as for dyeing.
Turmeric powder has a warm, bitter, black pepper-like flavor and earthy, mustard-like aroma.Although long used in Ayurvedic medicine, where it is also known as haridra, no high-quality clinical evidence exists for therapeutic use of turmeric or its constituent, curcumin.Turmeric is a perennial herbaceous plant that reaches up to 1 m (3 ft 3 in) tall.
The bracts are light green and ovate to oblong with a blunt upper end with a length of 3 to 5 cm (1.2 to 2.0 in).Turmeric is one of the key ingredients in many Asian dishes, imparting a mustard-like, earthy aroma and pungent, slightly bitter flavor to foods."
Valerian,Valerian,"Crude extract of valerian root may have sedative and anxiolytic effects, and is commonly sold in dietary supplement capsules to promote sleep.Valerian is considered an invasive species in many jurisdictions, including the US state of Connecticut where it is officially banned, and in New Brunswick, Canada where it is listed as a plant of concern.Because the compounds in valerian produce central nervous system depression, they should not be used with other depressants, such as ethanol, benzodiazepines, barbiturates, opiates, kava, or antihistamine drugs.
Valerenic acid in valerian stimulates serotonin receptors as a partial agonist, including 5-HT5A which is implicated in the sleep-wake cycle.Valerian is unusual in having flowers with ""handedness"", that is, having neither radial nor bilateral symmetry.The name of the herb is derived from the personal name Valeria and the Latin verb valere (to be strong, healthy)."
Yohimbe,Yohimbe,"Yohimbine (), also known as quebrachine, and not to be confused with yohimbe, is a indoloquinolizidine alkaloid derived from the bark of the African tree Pausinystalia johimbe; also from the bark of the unrelated South American tree Aspidosperma quebracho-blanco.
Substances which have purported to be extracts from the yohimbe tree have been marketed as dietary supplements for various purposes, but they contain highly variable amounts of yohimbine, if any; no published scientific evidence supports their efficacy.Aspidosperma quebracho-blanco is an unrelated tree whose common name is quebracho blanco.
According to yet another source the yohimbe sold in markets in West Africa, where the tree grows, is frequently adulterated with other species of the genus Pausinystalia; these contain little yohimbine.
Others include rauwolscine, corynanthine and ajmalicine; the bark also contains non-alkaloids about which virtually nothing is known.Yohimbe, thus a complex mixture, has been studied far less thoroughly than yohimbine, the pure compound."
